value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
111940,000,人口・総数,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
117060,000,人口・総数,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
121049,000,人口・総数,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
123611,000,人口・総数,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
124043,000,人口・総数,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
55091,000,人口・総数,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
57594,000,人口・総数,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
59497,000,人口・総数,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
60697,000,人口・総数,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
60905,000,人口・総数,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
56849,000,人口・総数,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
59467,000,人口・総数,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
61552,000,人口・総数,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
62914,000,人口・総数,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
63139,000,人口・総数,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
10001,001,人口・０－４歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
8515,001,人口・０－４歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
7459,001,人口・０－４歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
6493,001,人口・０－４歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
6340,001,人口・０－４歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
5127,001,人口・０－４歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4366,001,人口・０－４歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
3819,001,人口・０－４歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3326,001,人口・０－４歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3251,001,人口・０－４歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4873,001,人口・０－４歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4149,001,人口・０－４歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
3640,001,人口・０－４歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3167,001,人口・０－４歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3089,001,人口・０－４歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
8938,002,人口・５－９歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
10032,002,人口・５－９歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
8532,002,人口・５－９歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
7467,002,人口・５－９歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
7329,002,人口・５－９歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4584,002,人口・５－９歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
5142,002,人口・５－９歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4373,002,人口・５－９歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3822,002,人口・５－９歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3755,002,人口・５－９歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4354,002,人口・５－９歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4890,002,人口・５－９歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4159,002,人口・５－９歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3645,002,人口・５－９歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3574,002,人口・５－９歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
8282,003,人口・１０－１４歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
8960,003,人口・１０－１４歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
10042,003,人口・１０－１４歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
8527,003,人口・１０－１４歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
8235,003,人口・１０－１４歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4237,003,人口・１０－１４歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4595,003,人口・１０－１４歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
5147,003,人口・１０－１４歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4370,003,人口・１０－１４歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4224,003,人口・１０－１４歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4045,003,人口・１０－１４歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4365,003,人口・１０－１４歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4895,003,人口・１０－１４歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4157,003,人口・１０－１４歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4012,003,人口・１０－１４歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
7949,004,人口・１５－１９歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
8272,004,人口・１５－１９歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
8980,004,人口・１５－１９歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
10007,004,人口・１５－１９歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
9898,004,人口・１５－１９歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4040,004,人口・１５－１９歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4224,004,人口・１５－１９歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4600,004,人口・１５－１９歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
5122,004,人口・１５－１９歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
5077,004,人口・１５－１９歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
