value,cat01,cat01_label,area,area_label,time,time_label
7446,10100,販売額（１０億円）,00042,北海道,25000000,平成25年
7636,10100,販売額（１０億円）,00042,北海道,26000000,平成26年
7859,10100,販売額（１０億円）,00042,北海道,27000000,平成27年
7574,10100,販売額（１０億円）,00042,北海道,25010000,平成25年度
7647,10100,販売額（１０億円）,00042,北海道,26010000,平成26年度
1948,10100,販売額（１０億円）,00042,北海道,27000103,平成27年 1 ～ 3 月
1898,10100,販売額（１０億円）,00042,北海道,27000406,平成27年 4 ～ 6 月
1922,10100,販売額（１０億円）,00042,北海道,27000709,平成27年 7 ～ 9 月
2091,10100,販売額（１０億円）,00042,北海道,27001012,平成27年10～12月
642,10100,販売額（１０億円）,00042,北海道,27000101,平成27年1月
590,10100,販売額（１０億円）,00042,北海道,27000202,平成27年2月
716,10100,販売額（１０億円）,00042,北海道,27000303,平成27年3月
642,10100,販売額（１０億円）,00042,北海道,27000404,平成27年4月
631,10100,販売額（１０億円）,00042,北海道,27000505,平成27年5月
625,10100,販売額（１０億円）,00042,北海道,27000606,平成27年6月
669,10100,販売額（１０億円）,00042,北海道,27000707,平成27年7月
627,10100,販売額（１０億円）,00042,北海道,27000808,平成27年8月
625,10100,販売額（１０億円）,00042,北海道,27000909,平成27年9月
665,10100,販売額（１０億円）,00042,北海道,27001010,平成27年10月
647,10100,販売額（１０億円）,00042,北海道,27001111,平成27年11月
779,10100,販売額（１０億円）,00042,北海道,27001212,平成27年12月
7171,10100,販売額（１０億円）,00043,東北,25000000,平成25年
7097,10100,販売額（１０億円）,00043,東北,26000000,平成26年
6932,10100,販売額（１０億円）,00043,東北,27000000,平成27年
7241,10100,販売額（１０億円）,00043,東北,25010000,平成25年度
7038,10100,販売額（１０億円）,00043,東北,26010000,平成26年度
1741,10100,販売額（１０億円）,00043,東北,27000103,平成27年 1 ～ 3 月
1720,10100,販売額（１０億円）,00043,東北,27000406,平成27年 4 ～ 6 月
1708,10100,販売額（１０億円）,00043,東北,27000709,平成27年 7 ～ 9 月
1763,10100,販売額（１０億円）,00043,東北,27001012,平成27年10～12月
578,10100,販売額（１０億円）,00043,東北,27000101,平成27年1月
541,10100,販売額（１０億円）,00043,東北,27000202,平成27年2月
621,10100,販売額（１０億円）,00043,東北,27000303,平成27年3月
577,10100,販売額（１０億円）,00043,東北,27000404,平成27年4月
580,10100,販売額（１０億円）,00043,東北,27000505,平成27年5月
563,10100,販売額（１０億円）,00043,東北,27000606,平成27年6月
572,10100,販売額（１０億円）,00043,東北,27000707,平成27年7月
593,10100,販売額（１０億円）,00043,東北,27000808,平成27年8月
542,10100,販売額（１０億円）,00043,東北,27000909,平成27年9月
564,10100,販売額（１０億円）,00043,東北,27001010,平成27年10月
552,10100,販売額（１０億円）,00043,東北,27001111,平成27年11月
646,10100,販売額（１０億円）,00043,東北,27001212,平成27年12月
57627,10100,販売額（１０億円）,00044,関東,25000000,平成25年
58177,10100,販売額（１０億円）,00044,関東,26000000,平成26年
56911,10100,販売額（１０億円）,00044,関東,27000000,平成27年
58627,10100,販売額（１０億円）,00044,関東,25010000,平成25年度
57077,10100,販売額（１０億円）,00044,関東,26010000,平成26年度
14053,10100,販売額（１０億円）,00044,関東,27000103,平成27年 1 ～ 3 月
14144,10100,販売額（１０億円）,00044,関東,27000406,平成27年 4 ～ 6 月
13956,10100,販売額（１０億円）,00044,関東,27000709,平成27年 7 ～ 9 月
14759,10100,販売額（１０億円）,00044,関東,27001012,平成27年10～12月
4721,10100,販売額（１０億円）,00044,関東,27000101,平成27年1月
4313,10100,販売額（１０億円）,00044,関東,27000202,平成27年2月
5019,10100,販売額（１０億円）,00044,関東,27000303,平成27年3月
4675,10100,販売額（１０億円）,00044,関東,27000404,平成27年4月
4807,10100,販売額（１０億円）,00044,関東,27000505,平成27年5月
4661,10100,販売額（１０億円）,00044,関東,27000606,平成27年6月
4848,10100,販売額（１０億円）,00044,関東,27000707,平成27年7月
4611,10100,販売額（１０億円）,00044,関東,27000808,平成27年8月
4496,10100,販売額（１０億円）,00044,関東,27000909,平成27年9月
4681,10100,販売額（１０億円）,00044,関東,27001010,平成27年10月
4675,10100,販売額（１０億円）,00044,関東,27001111,平成27年11月
5403,10100,販売額（１０億円）,00044,関東,27001212,平成27年12月
14977,10100,販売額（１０億円）,00058,中部,25000000,平成25年
14994,10100,販売額（１０億円）,00058,中部,26000000,平成26年
14686,10100,販売額（１０億円）,00058,中部,27000000,平成27年
15291,10100,販売額（１０億円）,00058,中部,25010000,平成25年度
14637,10100,販売額（１０億円）,00058,中部,26010000,平成26年度
3632,10100,販売額（１０億円）,00058,中部,27000103,平成27年 1 ～ 3 月
3656,10100,販売額（１０億円）,00058,中部,27000406,平成27年 4 ～ 6 月
3600,10100,販売額（１０億円）,00058,中部,27000709,平成27年 7 ～ 9 月
3798,10100,販売額（１０億円）,00058,中部,27001012,平成27年10～12月
1208,10100,販売額（１０億円）,00058,中部,27000101,平成27年1月
1124,10100,販売額（１０億円）,00058,中部,27000202,平成27年2月
1301,10100,販売額（１０億円）,00058,中部,27000303,平成27年3月
1213,10100,販売額（１０億円）,00058,中部,27000404,平成27年4月
1241,10100,販売額（１０億円）,00058,中部,27000505,平成27年5月
1202,10100,販売額（１０億円）,00058,中部,27000606,平成27年6月
1230,10100,販売額（１０億円）,00058,中部,27000707,平成27年7月
1210,10100,販売額（１０億円）,00058,中部,27000808,平成27年8月
1160,10100,販売額（１０億円）,00058,中部,27000909,平成27年9月
1210,10100,販売額（１０億円）,00058,中部,27001010,平成27年10月
1207,10100,販売額（１０億円）,00058,中部,27001111,平成27年11月
1382,10100,販売額（１０億円）,00058,中部,27001212,平成27年12月
22937,10100,販売額（１０億円）,00051,近畿,25000000,平成25年
24448,10100,販売額（１０億円）,00051,近畿,26000000,平成26年
25520,10100,販売額（１０億円）,00051,近畿,27000000,平成27年
23423,10100,販売額（１０億円）,00051,近畿,25010000,平成25年度
24551,10100,販売額（１０億円）,00051,近畿,26010000,平成26年度
6204,10100,販売額（１０億円）,00051,近畿,27000103,平成27年 1 ～ 3 月
6256,10100,販売額（１０億円）,00051,近畿,27000406,平成27年 4 ～ 6 月
6394,10100,販売額（１０億円）,00051,近畿,27000709,平成27年 7 ～ 9 月
6666,10100,販売額（１０億円）,00051,近畿,27001012,平成27年10～12月
2052,10100,販売額（１０億円）,00051,近畿,27000101,平成27年1月
1934,10100,販売額（１０億円）,00051,近畿,27000202,平成27年2月
2218,10100,販売額（１０億円）,00051,近畿,27000303,平成27年3月
2090,10100,販売額（１０億円）,00051,近畿,27000404,平成27年4月
2098,10100,販売額（１０億円）,00051,近畿,27000505,平成27年5月
2067,10100,販売額（１０億円）,00051,近畿,27000606,平成27年6月
2236,10100,販売額（１０億円）,00051,近畿,27000707,平成27年7月
2060,10100,販売額（１０億円）,00051,近畿,27000808,平成27年8月
2097,10100,販売額（１０億円）,00051,近畿,27000909,平成27年9月
2113,10100,販売額（１０億円）,00051,近畿,27001010,平成27年10月
2108,10100,販売額（１０億円）,00051,近畿,27001111,平成27年11月
2445,10100,販売額（１０億円）,00051,近畿,27001212,平成27年12月
8529,10100,販売額（１０億円）,00053,中国,25000000,平成25年
8889,10100,販売額（１０億円）,00053,中国,26000000,平成26年
8293,10100,販売額（１０億円）,00053,中国,27000000,平成27年
8770,10100,販売額（１０億円）,00053,中国,25010000,平成25年度
8703,10100,販売額（１０億円）,00053,中国,26010000,平成26年度
2136,10100,販売額（１０億円）,00053,中国,27000103,平成27年 1 ～ 3 月
2105,10100,販売額（１０億円）,00053,中国,27000406,平成27年 4 ～ 6 月
2025,10100,販売額（１０億円）,00053,中国,27000709,平成27年 7 ～ 9 月
2027,10100,販売額（１０億円）,00053,中国,27001012,平成27年10～12月
682,10100,販売額（１０億円）,00053,中国,27000101,平成27年1月
680,10100,販売額（１０億円）,00053,中国,27000202,平成27年2月
774,10100,販売額（１０億円）,00053,中国,27000303,平成27年3月
700,10100,販売額（１０億円）,00053,中国,27000404,平成27年4月
715,10100,販売額（１０億円）,00053,中国,27000505,平成27年5月
690,10100,販売額（１０億円）,00053,中国,27000606,平成27年6月
709,10100,販売額（１０億円）,00053,中国,27000707,平成27年7月
680,10100,販売額（１０億円）,00053,中国,27000808,平成27年8月
636,10100,販売額（１０億円）,00053,中国,27000909,平成27年9月
644,10100,販売額（１０億円）,00053,中国,27001010,平成27年10月
639,10100,販売額（１０億円）,00053,中国,27001111,平成27年11月
743,10100,販売額（１０億円）,00053,中国,27001212,平成27年12月
3893,10100,販売額（１０億円）,00054,四国,25000000,平成25年
4199,10100,販売額（１０億円）,00054,四国,26000000,平成26年
4323,10100,販売額（１０億円）,00054,四国,27000000,平成27年
3901,10100,販売額（１０億円）,00054,四国,25010000,平成25年度
4265,10100,販売額（１０億円）,00054,四国,26010000,平成26年度
1058,10100,販売額（１０億円）,00054,四国,27000103,平成27年 1 ～ 3 月
1068,10100,販売額（１０億円）,00054,四国,27000406,平成27年 4 ～ 6 月
1068,10100,販売額（１０億円）,00054,四国,27000709,平成27年 7 ～ 9 月
1128,10100,販売額（１０億円）,00054,四国,27001012,平成27年10～12月
351,10100,販売額（１０億円）,00054,四国,27000101,平成27年1月
330,10100,販売額（１０億円）,00054,四国,27000202,平成27年2月
377,10100,販売額（１０億円）,00054,四国,27000303,平成27年3月
357,10100,販売額（１０億円）,00054,四国,27000404,平成27年4月
363,10100,販売額（１０億円）,00054,四国,27000505,平成27年5月
348,10100,販売額（１０億円）,00054,四国,27000606,平成27年6月
363,10100,販売額（１０億円）,00054,四国,27000707,平成27年7月
364,10100,販売額（１０億円）,00054,四国,27000808,平成27年8月
341,10100,販売額（１０億円）,00054,四国,27000909,平成27年9月
358,10100,販売額（１０億円）,00054,四国,27001010,平成27年10月
358,10100,販売額（１０億円）,00054,四国,27001111,平成27年11月
412,10100,販売額（１０億円）,00054,四国,27001212,平成27年12月
16318,10100,販売額（１０億円）,00059,九州・沖縄,25000000,平成25年
15779,10100,販売額（１０億円）,00059,九州・沖縄,26000000,平成26年
16144,10100,販売額（１０億円）,00059,九州・沖縄,27000000,平成27年
16310,10100,販売額（１０億円）,00059,九州・沖縄,25010000,平成25年度
15549,10100,販売額（１０億円）,00059,九州・沖縄,26010000,平成26年度
3846,10100,販売額（１０億円）,00059,九州・沖縄,27000103,平成27年 1 ～ 3 月
3952,10100,販売額（１０億円）,00059,九州・沖縄,27000406,平成27年 4 ～ 6 月
4132,10100,販売額（１０億円）,00059,九州・沖縄,27000709,平成27年 7 ～ 9 月
4215,10100,販売額（１０億円）,00059,九州・沖縄,27001012,平成27年10～12月
1255,10100,販売額（１０億円）,00059,九州・沖縄,27000101,平成27年1月
1214,10100,販売額（１０億円）,00059,九州・沖縄,27000202,平成27年2月
1377,10100,販売額（１０億円）,00059,九州・沖縄,27000303,平成27年3月
1302,10100,販売額（１０億円）,00059,九州・沖縄,27000404,平成27年4月
1336,10100,販売額（１０億円）,00059,九州・沖縄,27000505,平成27年5月
1314,10100,販売額（１０億円）,00059,九州・沖縄,27000606,平成27年6月
1403,10100,販売額（１０億円）,00059,九州・沖縄,27000707,平成27年7月
1395,10100,販売額（１０億円）,00059,九州・沖縄,27000808,平成27年8月
1334,10100,販売額（１０億円）,00059,九州・沖縄,27000909,平成27年9月
1338,10100,販売額（１０億円）,00059,九州・沖縄,27001010,平成27年10月
1330,10100,販売額（１０億円）,00059,九州・沖縄,27001111,平成27年11月
1547,10100,販売額（１０億円）,00059,九州・沖縄,27001212,平成27年12月
5.3,10900,前年（度、同期、同月）比（％）,00042,北海道,25000000,平成25年
2.6,10900,前年（度、同期、同月）比（％）,00042,北海道,26000000,平成26年
2.9,10900,前年（度、同期、同月）比（％）,00042,北海道,27000000,平成27年
6.8,10900,前年（度、同期、同月）比（％）,00042,北海道,25010000,平成25年度
1,10900,前年（度、同期、同月）比（％）,00042,北海道,26010000,平成26年度
0.5,10900,前年（度、同期、同月）比（％）,00042,北海道,27000103,平成27年 1 ～ 3 月
4.1,10900,前年（度、同期、同月）比（％）,00042,北海道,27000406,平成27年 4 ～ 6 月
1,10900,前年（度、同期、同月）比（％）,00042,北海道,27000709,平成27年 7 ～ 9 月
6,10900,前年（度、同期、同月）比（％）,00042,北海道,27001012,平成27年10～12月
4.1,10900,前年（度、同期、同月）比（％）,00042,北海道,27000101,平成27年1月
1.3,10900,前年（度、同期、同月）比（％）,00042,北海道,27000202,平成27年2月
-3,10900,前年（度、同期、同月）比（％）,00042,北海道,27000303,平成27年3月
6.3,10900,前年（度、同期、同月）比（％）,00042,北海道,27000404,平成27年4月
4,10900,前年（度、同期、同月）比（％）,00042,北海道,27000505,平成27年5月
1.9,10900,前年（度、同期、同月）比（％）,00042,北海道,27000606,平成27年6月
4.7,10900,前年（度、同期、同月）比（％）,00042,北海道,27000707,平成27年7月
-3.5,10900,前年（度、同期、同月）比（％）,00042,北海道,27000808,平成27年8月
1.9,10900,前年（度、同期、同月）比（％）,00042,北海道,27000909,平成27年9月
5.7,10900,前年（度、同期、同月）比（％）,00042,北海道,27001010,平成27年10月
3.3,10900,前年（度、同期、同月）比（％）,00042,北海道,27001111,平成27年11月
8.7,10900,前年（度、同期、同月）比（％）,00042,北海道,27001212,平成27年12月
-1.8,10900,前年（度、同期、同月）比（％）,00043,東北,25000000,平成25年
-1,10900,前年（度、同期、同月）比（％）,00043,東北,26000000,平成26年
-2.3,10900,前年（度、同期、同月）比（％）,00043,東北,27000000,平成27年
0,10900,前年（度、同期、同月）比（％）,00043,東北,25010000,平成25年度
-2.8,10900,前年（度、同期、同月）比（％）,00043,東北,26010000,平成26年度
-3.3,10900,前年（度、同期、同月）比（％）,00043,東北,27000103,平成27年 1 ～ 3 月
0,10900,前年（度、同期、同月）比（％）,00043,東北,27000406,平成27年 4 ～ 6 月
-3.6,10900,前年（度、同期、同月）比（％）,00043,東北,27000709,平成27年 7 ～ 9 月
-2.4,10900,前年（度、同期、同月）比（％）,00043,東北,27001012,平成27年10～12月
-2.8,10900,前年（度、同期、同月）比（％）,00043,東北,27000101,平成27年1月
0.9,10900,前年（度、同期、同月）比（％）,00043,東北,27000202,平成27年2月
-7.1,10900,前年（度、同期、同月）比（％）,00043,東北,27000303,平成27年3月
3.7,10900,前年（度、同期、同月）比（％）,00043,東北,27000404,平成27年4月
-1.3,10900,前年（度、同期、同月）比（％）,00043,東北,27000505,平成27年5月
-2.2,10900,前年（度、同期、同月）比（％）,00043,東北,27000606,平成27年6月
-2.4,10900,前年（度、同期、同月）比（％）,00043,東北,27000707,平成27年7月
-3.9,10900,前年（度、同期、同月）比（％）,00043,東北,27000808,平成27年8月
-4.6,10900,前年（度、同期、同月）比（％）,00043,東北,27000909,平成27年9月
-1.4,10900,前年（度、同期、同月）比（％）,00043,東北,27001010,平成27年10月
-3,10900,前年（度、同期、同月）比（％）,00043,東北,27001111,平成27年11月
-2.6,10900,前年（度、同期、同月）比（％）,00043,東北,27001212,平成27年12月
0.6,10900,前年（度、同期、同月）比（％）,00044,関東,25000000,平成25年
1,10900,前年（度、同期、同月）比（％）,00044,関東,26000000,平成26年
-2.2,10900,前年（度、同期、同月）比（％）,00044,関東,27000000,平成27年
2.8,10900,前年（度、同期、同月）比（％）,00044,関東,25010000,平成25年度
-2.6,10900,前年（度、同期、同月）比（％）,00044,関東,26010000,平成26年度
-7.3,10900,前年（度、同期、同月）比（％）,00044,関東,27000103,平成27年 1 ～ 3 月
1.1,10900,前年（度、同期、同月）比（％）,00044,関東,27000406,平成27年 4 ～ 6 月
-0.8,10900,前年（度、同期、同月）比（％）,00044,関東,27000709,平成27年 7 ～ 9 月
-1.3,10900,前年（度、同期、同月）比（％）,00044,関東,27001012,平成27年10～12月
-3.6,10900,前年（度、同期、同月）比（％）,00044,関東,27000101,平成27年1月
-4.5,10900,前年（度、同期、同月）比（％）,00044,関東,27000202,平成27年2月
-12.5,10900,前年（度、同期、同月）比（％）,00044,関東,27000303,平成27年3月
2.7,10900,前年（度、同期、同月）比（％）,00044,関東,27000404,平成27年4月
0.7,10900,前年（度、同期、同月）比（％）,00044,関東,27000505,平成27年5月
-0.1,10900,前年（度、同期、同月）比（％）,00044,関東,27000606,平成27年6月
-1.3,10900,前年（度、同期、同月）比（％）,00044,関東,27000707,平成27年7月
1.2,10900,前年（度、同期、同月）比（％）,00044,関東,27000808,平成27年8月
-2.3,10900,前年（度、同期、同月）比（％）,00044,関東,27000909,平成27年9月
1.1,10900,前年（度、同期、同月）比（％）,00044,関東,27001010,平成27年10月
-2.8,10900,前年（度、同期、同月）比（％）,00044,関東,27001111,平成27年11月
-2.2,10900,前年（度、同期、同月）比（％）,00044,関東,27001212,平成27年12月
-1.8,10900,前年（度、同期、同月）比（％）,00058,中部,25000000,平成25年
0.1,10900,前年（度、同期、同月）比（％）,00058,中部,26000000,平成26年
-2.1,10900,前年（度、同期、同月）比（％）,00058,中部,27000000,平成27年
2,10900,前年（度、同期、同月）比（％）,00058,中部,25010000,平成25年度
-4.3,10900,前年（度、同期、同月）比（％）,00058,中部,26010000,平成26年度
-9,10900,前年（度、同期、同月）比（％）,00058,中部,27000103,平成27年 1 ～ 3 月
3,10900,前年（度、同期、同月）比（％）,00058,中部,27000406,平成27年 4 ～ 6 月
-0.2,10900,前年（度、同期、同月）比（％）,00058,中部,27000709,平成27年 7 ～ 9 月
-1.3,10900,前年（度、同期、同月）比（％）,00058,中部,27001012,平成27年10～12月
-9.2,10900,前年（度、同期、同月）比（％）,00058,中部,27000101,平成27年1月
-4.6,10900,前年（度、同期、同月）比（％）,00058,中部,27000202,平成27年2月
-12.2,10900,前年（度、同期、同月）比（％）,00058,中部,27000303,平成27年3月
4.8,10900,前年（度、同期、同月）比（％）,00058,中部,27000404,平成27年4月
4.1,10900,前年（度、同期、同月）比（％）,00058,中部,27000505,平成27年5月
0.1,10900,前年（度、同期、同月）比（％）,00058,中部,27000606,平成27年6月
0.7,10900,前年（度、同期、同月）比（％）,00058,中部,27000707,平成27年7月
