value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
118739328,050001000,計,000000,合計,020020,合計 (t),0020000000,平成20年
87534137,050001000,計,000000,合計,020020,合計 (t),0021000000,平成21年
109598507,050001000,計,000000,合計,020020,合計 (t),0022000000,平成22年
107601194,050001000,計,000000,合計,020020,合計 (t),0023000000,平成23年
107232297,050001000,計,000000,合計,020020,合計 (t),0024000000,平成24年
110792860,050001000,計,000000,合計,020020,合計 (t),0022010000,平成22年度
106462454,050001000,計,000000,合計,020020,合計 (t),0023010000,平成23年度
26565763,050001000,計,000000,合計,020020,合計 (t),0024000103,平成24年 1 ～ 3 月
27498429,050001000,計,000000,合計,020020,合計 (t),0024000406,平成24年 4 ～ 6 月
27259592,050001000,計,000000,合計,020020,合計 (t),0024000709,平成24年 7 ～ 9 月
25908513,050001000,計,000000,合計,020020,合計 (t),0024001012,平成24年 10 ～ 12 月
8630007,050001000,計,000000,合計,020020,合計 (t),0024000101,平成24年1月
8612114,050001000,計,000000,合計,020020,合計 (t),0024000202,平成24年2月
9323642,050001000,計,000000,合計,020020,合計 (t),0024000303,平成24年3月
9076677,050001000,計,000000,合計,020020,合計 (t),0024000404,平成24年4月
9224221,050001000,計,000000,合計,020020,合計 (t),0024000505,平成24年5月
9197531,050001000,計,000000,合計,020020,合計 (t),0024000606,平成24年6月
9251221,050001000,計,000000,合計,020020,合計 (t),0024000707,平成24年7月
9206704,050001000,計,000000,合計,020020,合計 (t),0024000808,平成24年8月
8801667,050001000,計,000000,合計,020020,合計 (t),0024000909,平成24年9月
8836286,050001000,計,000000,合計,020020,合計 (t),0024001010,平成24年10月
8505470,050001000,計,000000,合計,020020,合計 (t),0024001111,平成24年11月
8566757,050001000,計,000000,合計,020020,合計 (t),0024001212,平成24年12月
92572178,050001000,計,000000,合計,020030,普通鋼 (t),0020000000,平成20年
71407407,050001000,計,000000,合計,020030,普通鋼 (t),0021000000,平成21年
84928806,050001000,計,000000,合計,020030,普通鋼 (t),0022000000,平成22年
83216667,050001000,計,000000,合計,020030,普通鋼 (t),0023000000,平成23年
83240577,050001000,計,000000,合計,020030,普通鋼 (t),0024000000,平成24年
85646176,050001000,計,000000,合計,020030,普通鋼 (t),0022010000,平成22年度
81995971,050001000,計,000000,合計,020030,普通鋼 (t),0023010000,平成23年度
20279441,050001000,計,000000,合計,020030,普通鋼 (t),0024000103,平成24年 1 ～ 3 月
21069841,050001000,計,000000,合計,020030,普通鋼 (t),0024000406,平成24年 4 ～ 6 月
21292979,050001000,計,000000,合計,020030,普通鋼 (t),0024000709,平成24年 7 ～ 9 月
20598316,050001000,計,000000,合計,020030,普通鋼 (t),0024001012,平成24年 10 ～ 12 月
6570088,050001000,計,000000,合計,020030,普通鋼 (t),0024000101,平成24年1月
6547763,050001000,計,000000,合計,020030,普通鋼 (t),0024000202,平成24年2月
7161590,050001000,計,000000,合計,020030,普通鋼 (t),0024000303,平成24年3月
6879167,050001000,計,000000,合計,020030,普通鋼 (t),0024000404,平成24年4月
7065790,050001000,計,000000,合計,020030,普通鋼 (t),0024000505,平成24年5月
7124884,050001000,計,000000,合計,020030,普通鋼 (t),0024000606,平成24年6月
7168870,050001000,計,000000,合計,020030,普通鋼 (t),0024000707,平成24年7月
7219352,050001000,計,000000,合計,020030,普通鋼 (t),0024000808,平成24年8月
6904757,050001000,計,000000,合計,020030,普通鋼 (t),0024000909,平成24年9月
6893017,050001000,計,000000,合計,020030,普通鋼 (t),0024001010,平成24年10月
6811955,050001000,計,000000,合計,020030,普通鋼 (t),0024001111,平成24年11月
6893344,050001000,計,000000,合計,020030,普通鋼 (t),0024001212,平成24年12月
26167150,050001000,計,000000,合計,020040,特殊鋼 (t),0020000000,平成20年
16126730,050001000,計,000000,合計,020040,特殊鋼 (t),0021000000,平成21年
24669701,050001000,計,000000,合計,020040,特殊鋼 (t),0022000000,平成22年
24384527,050001000,計,000000,合計,020040,特殊鋼 (t),0023000000,平成23年
23991720,050001000,計,000000,合計,020040,特殊鋼 (t),0024000000,平成24年
25146684,050001000,計,000000,合計,020040,特殊鋼 (t),0022010000,平成22年度
24466483,050001000,計,000000,合計,020040,特殊鋼 (t),0023010000,平成23年度
6286322,050001000,計,000000,合計,020040,特殊鋼 (t),0024000103,平成24年 1 ～ 3 月
6428588,050001000,計,000000,合計,020040,特殊鋼 (t),0024000406,平成24年 4 ～ 6 月
5966613,050001000,計,000000,合計,020040,特殊鋼 (t),0024000709,平成24年 7 ～ 9 月
5310197,050001000,計,000000,合計,020040,特殊鋼 (t),0024001012,平成24年 10 ～ 12 月
2059919,050001000,計,000000,合計,020040,特殊鋼 (t),0024000101,平成24年1月
2064351,050001000,計,000000,合計,020040,特殊鋼 (t),0024000202,平成24年2月
2162052,050001000,計,000000,合計,020040,特殊鋼 (t),0024000303,平成24年3月
2197510,050001000,計,000000,合計,020040,特殊鋼 (t),0024000404,平成24年4月
2158431,050001000,計,000000,合計,020040,特殊鋼 (t),0024000505,平成24年5月
2072647,050001000,計,000000,合計,020040,特殊鋼 (t),0024000606,平成24年6月
2082351,050001000,計,000000,合計,020040,特殊鋼 (t),0024000707,平成24年7月
1987352,050001000,計,000000,合計,020040,特殊鋼 (t),0024000808,平成24年8月
1896910,050001000,計,000000,合計,020040,特殊鋼 (t),0024000909,平成24年9月
1943269,050001000,計,000000,合計,020040,特殊鋼 (t),0024001010,平成24年10月
1693515,050001000,計,000000,合計,020040,特殊鋼 (t),0024001111,平成24年11月
1673413,050001000,計,000000,合計,020040,特殊鋼 (t),0024001212,平成24年12月
89238291,050001000,計,006010,転炉,020020,合計 (t),0020000000,平成20年
68337358,050001000,計,006010,転炉,020020,合計 (t),0021000000,平成21年
85755570,050001000,計,006010,転炉,020020,合計 (t),0022000000,平成22年
82743436,050001000,計,006010,転炉,020020,合計 (t),0023000000,平成23年
82307395,050001000,計,006010,転炉,020020,合計 (t),0024000000,平成24年
86296641,050001000,計,006010,転炉,020020,合計 (t),0022010000,平成22年度
81217470,050001000,計,006010,転炉,020020,合計 (t),0023010000,平成23年度
20141633,050001000,計,006010,転炉,020020,合計 (t),0024000103,平成24年 1 ～ 3 月
20766211,050001000,計,006010,転炉,020020,合計 (t),0024000406,平成24年 4 ～ 6 月
21389707,050001000,計,006010,転炉,020020,合計 (t),0024000709,平成24年 7 ～ 9 月
20009844,050001000,計,006010,転炉,020020,合計 (t),0024001012,平成24年 10 ～ 12 月
6635791,050001000,計,006010,転炉,020020,合計 (t),0024000101,平成24年1月
6469537,050001000,計,006010,転炉,020020,合計 (t),0024000202,平成24年2月
7036305,050001000,計,006010,転炉,020020,合計 (t),0024000303,平成24年3月
6822600,050001000,計,006010,転炉,020020,合計 (t),0024000404,平成24年4月
6987709,050001000,計,006010,転炉,020020,合計 (t),0024000505,平成24年5月
6955902,050001000,計,006010,転炉,020020,合計 (t),0024000606,平成24年6月
7226699,050001000,計,006010,転炉,020020,合計 (t),0024000707,平成24年7月
7384719,050001000,計,006010,転炉,020020,合計 (t),0024000808,平成24年8月
6778289,050001000,計,006010,転炉,020020,合計 (t),0024000909,平成24年9月
6791774,050001000,計,006010,転炉,020020,合計 (t),0024001010,平成24年10月
6521949,050001000,計,006010,転炉,020020,合計 (t),0024001111,平成24年11月
6696121,050001000,計,006010,転炉,020020,合計 (t),0024001212,平成24年12月
71151419,050001000,計,006010,転炉,020030,普通鋼 (t),0020000000,平成20年
57028592,050001000,計,006010,転炉,020030,普通鋼 (t),0021000000,平成21年
68622367,050001000,計,006010,転炉,020030,普通鋼 (t),0022000000,平成22年
65804004,050001000,計,006010,転炉,020030,普通鋼 (t),0023000000,平成23年
65428993,050001000,計,006010,転炉,020030,普通鋼 (t),0024000000,平成24年
68940496,050001000,計,006010,転炉,020030,普通鋼 (t),0022010000,平成22年度
64200929,050001000,計,006010,転炉,020030,普通鋼 (t),0023010000,平成23年度
15783181,050001000,計,006010,転炉,020030,普通鋼 (t),0024000103,平成24年 1 ～ 3 月
16288414,050001000,計,006010,転炉,020030,普通鋼 (t),0024000406,平成24年 4 ～ 6 月
17087410,050001000,計,006010,転炉,020030,普通鋼 (t),0024000709,平成24年 7 ～ 9 月
16269988,050001000,計,006010,転炉,020030,普通鋼 (t),0024001012,平成24年 10 ～ 12 月
5182907,050001000,計,006010,転炉,020030,普通鋼 (t),0024000101,平成24年1月
5062654,050001000,計,006010,転炉,020030,普通鋼 (t),0024000202,平成24年2月
5537620,050001000,計,006010,転炉,020030,普通鋼 (t),0024000303,平成24年3月
5284805,050001000,計,006010,転炉,020030,普通鋼 (t),0024000404,平成24年4月
5459660,050001000,計,006010,転炉,020030,普通鋼 (t),0024000505,平成24年5月
5543949,050001000,計,006010,転炉,020030,普通鋼 (t),0024000606,平成24年6月
5724202,050001000,計,006010,転炉,020030,普通鋼 (t),0024000707,平成24年7月
5923669,050001000,計,006010,転炉,020030,普通鋼 (t),0024000808,平成24年8月
5439539,050001000,計,006010,転炉,020030,普通鋼 (t),0024000909,平成24年9月
