value,cat01,cat01_label,cat02,cat02_label,time,time_label
115357783,010005,生産,030200,合計 (t),0020000000,平成20年
85359365,010005,生産,030200,合計 (t),0021000000,平成21年
106960339,010005,生産,030200,合計 (t),0022000000,平成22年
104593516,010005,生産,030200,合計 (t),0023000000,平成23年
104571050,010005,生産,030200,合計 (t),0024000000,平成24年
107999034,010005,生産,030200,合計 (t),0022010000,平成22年度
103437971,010005,生産,030200,合計 (t),0023010000,平成23年度
25842719,010005,生産,030200,合計 (t),0024000103,平成24年 1 ～ 3 月
26803348,010005,生産,030200,合計 (t),0024000406,平成24年 4 ～ 6 月
26624372,010005,生産,030200,合計 (t),0024000709,平成24年 7 ～ 9 月
25300611,010005,生産,030200,合計 (t),0024001012,平成24年 10 ～ 12 月
8388935,010005,生産,030200,合計 (t),0024000101,平成24年1月
8379391,010005,生産,030200,合計 (t),0024000202,平成24年2月
9074393,010005,生産,030200,合計 (t),0024000303,平成24年3月
8826117,010005,生産,030200,合計 (t),0024000404,平成24年4月
8996171,010005,生産,030200,合計 (t),0024000505,平成24年5月
8981060,010005,生産,030200,合計 (t),0024000606,平成24年6月
9029987,010005,生産,030200,合計 (t),0024000707,平成24年7月
8983609,010005,生産,030200,合計 (t),0024000808,平成24年8月
8610776,010005,生産,030200,合計 (t),0024000909,平成24年9月
8608511,010005,生産,030200,合計 (t),0024001010,平成24年10月
8292424,010005,生産,030200,合計 (t),0024001111,平成24年11月
8399676,010005,生産,030200,合計 (t),0024001212,平成24年12月
91600759,010005,生産,031000,普通鋼 (t),0020000000,平成20年
70757011,010005,生産,031000,普通鋼 (t),0021000000,平成21年
84078680,010005,生産,031000,普通鋼 (t),0022000000,平成22年
82335467,010005,生産,031000,普通鋼 (t),0023000000,平成23年
82537129,010005,生産,031000,普通鋼 (t),0024000000,平成24年
84802803,010005,生産,031000,普通鋼 (t),0022010000,平成22年度
81123648,010005,生産,031000,普通鋼 (t),0023010000,平成23年度
20083310,010005,生産,031000,普通鋼 (t),0024000103,平成24年 1 ～ 3 月
20887337,010005,生産,031000,普通鋼 (t),0024000406,平成24年 4 ～ 6 月
21126067,010005,生産,031000,普通鋼 (t),0024000709,平成24年 7 ～ 9 月
20440415,010005,生産,031000,普通鋼 (t),0024001012,平成24年 10 ～ 12 月
6509301,010005,生産,031000,普通鋼 (t),0024000101,平成24年1月
6476039,010005,生産,031000,普通鋼 (t),0024000202,平成24年2月
7097970,010005,生産,031000,普通鋼 (t),0024000303,平成24年3月
6824253,010005,生産,031000,普通鋼 (t),0024000404,平成24年4月
7006502,010005,生産,031000,普通鋼 (t),0024000505,平成24年5月
7056582,010005,生産,031000,普通鋼 (t),0024000606,平成24年6月
7108235,010005,生産,031000,普通鋼 (t),0024000707,平成24年7月
7161315,010005,生産,031000,普通鋼 (t),0024000808,平成24年8月
6856517,010005,生産,031000,普通鋼 (t),0024000909,平成24年9月
6840107,010005,生産,031000,普通鋼 (t),0024001010,平成24年10月
6755282,010005,生産,031000,普通鋼 (t),0024001111,平成24年11月
6845026,010005,生産,031000,普通鋼 (t),0024001212,平成24年12月
23757024,010005,生産,032000,特殊鋼 (t),0020000000,平成20年
14602354,010005,生産,032000,特殊鋼 (t),0021000000,平成21年
22881659,010005,生産,032000,特殊鋼 (t),0022000000,平成22年
22258049,010005,生産,032000,特殊鋼 (t),0023000000,平成23年
22033921,010005,生産,032000,特殊鋼 (t),0024000000,平成24年
23196231,010005,生産,032000,特殊鋼 (t),0022010000,平成22年度
22314323,010005,生産,032000,特殊鋼 (t),0023010000,平成23年度
5759409,010005,生産,032000,特殊鋼 (t),0024000103,平成24年 1 ～ 3 月
5916011,010005,生産,032000,特殊鋼 (t),0024000406,平成24年 4 ～ 6 月
5498305,010005,生産,032000,特殊鋼 (t),0024000709,平成24年 7 ～ 9 月
4860196,010005,生産,032000,特殊鋼 (t),0024001012,平成24年 10 ～ 12 月
1879634,010005,生産,032000,特殊鋼 (t),0024000101,平成24年1月
1903352,010005,生産,032000,特殊鋼 (t),0024000202,平成24年2月
1976423,010005,生産,032000,特殊鋼 (t),0024000303,平成24年3月
2001864,010005,生産,032000,特殊鋼 (t),0024000404,平成24年4月
1989669,010005,生産,032000,特殊鋼 (t),0024000505,平成24年5月
1924478,010005,生産,032000,特殊鋼 (t),0024000606,平成24年6月
1921752,010005,生産,032000,特殊鋼 (t),0024000707,平成24年7月
1822294,010005,生産,032000,特殊鋼 (t),0024000808,平成24年8月
1754259,010005,生産,032000,特殊鋼 (t),0024000909,平成24年9月
1768404,010005,生産,032000,特殊鋼 (t),0024001010,平成24年10月
1537142,010005,生産,032000,特殊鋼 (t),0024001111,平成24年11月
1554650,010005,生産,032000,特殊鋼 (t),0024001212,平成24年12月
8760683,020005,受入,030200,合計 (t),0020000000,平成20年
4739827,020005,受入,030200,合計 (t),0021000000,平成21年
7985021,020005,受入,030200,合計 (t),0022000000,平成22年
7000238,020005,受入,030200,合計 (t),0023000000,平成23年
6094596,020005,受入,030200,合計 (t),0024000000,平成24年
7931824,020005,受入,030200,合計 (t),0022010000,平成22年度
6862021,020005,受入,030200,合計 (t),0023010000,平成23年度
1762779,020005,受入,030200,合計 (t),0024000103,平成24年 1 ～ 3 月
1488642,020005,受入,030200,合計 (t),0024000406,平成24年 4 ～ 6 月
1502389,020005,受入,030200,合計 (t),0024000709,平成24年 7 ～ 9 月
1340786,020005,受入,030200,合計 (t),0024001012,平成24年 10 ～ 12 月
571303,020005,受入,030200,合計 (t),0024000101,平成24年1月
632919,020005,受入,030200,合計 (t),0024000202,平成24年2月
558557,020005,受入,030200,合計 (t),0024000303,平成24年3月
524943,020005,受入,030200,合計 (t),0024000404,平成24年4月
445585,020005,受入,030200,合計 (t),0024000505,平成24年5月
518114,020005,受入,030200,合計 (t),0024000606,平成24年6月
493254,020005,受入,030200,合計 (t),0024000707,平成24年7月
539281,020005,受入,030200,合計 (t),0024000808,平成24年8月
469854,020005,受入,030200,合計 (t),0024000909,平成24年9月
511627,020005,受入,030200,合計 (t),0024001010,平成24年10月
398317,020005,受入,030200,合計 (t),0024001111,平成24年11月
430842,020005,受入,030200,合計 (t),0024001212,平成24年12月
6185780,020005,受入,031000,普通鋼 (t),0020000000,平成20年
3099713,020005,受入,031000,普通鋼 (t),0021000000,平成21年
5400477,020005,受入,031000,普通鋼 (t),0022000000,平成22年
4425285,020005,受入,031000,普通鋼 (t),0023000000,平成23年
3795039,020005,受入,031000,普通鋼 (t),0024000000,平成24年
5264148,020005,受入,031000,普通鋼 (t),0022010000,平成22年度
4288416,020005,受入,031000,普通鋼 (t),0023010000,平成23年度
1104655,020005,受入,031000,普通鋼 (t),0024000103,平成24年 1 ～ 3 月
891746,020005,受入,031000,普通鋼 (t),0024000406,平成24年 4 ～ 6 月
924883,020005,受入,031000,普通鋼 (t),0024000709,平成24年 7 ～ 9 月
873755,020005,受入,031000,普通鋼 (t),0024001012,平成24年 10 ～ 12 月
354738,020005,受入,031000,普通鋼 (t),0024000101,平成24年1月
410920,020005,受入,031000,普通鋼 (t),0024000202,平成24年2月
338997,020005,受入,031000,普通鋼 (t),0024000303,平成24年3月
318495,020005,受入,031000,普通鋼 (t),0024000404,平成24年4月
247552,020005,受入,031000,普通鋼 (t),0024000505,平成24年5月
325699,020005,受入,031000,普通鋼 (t),0024000606,平成24年6月
289008,020005,受入,031000,普通鋼 (t),0024000707,平成24年7月
347538,020005,受入,031000,普通鋼 (t),0024000808,平成24年8月
288337,020005,受入,031000,普通鋼 (t),0024000909,平成24年9月
326448,020005,受入,031000,普通鋼 (t),0024001010,平成24年10月
264928,020005,受入,031000,普通鋼 (t),0024001111,平成24年11月
282379,020005,受入,031000,普通鋼 (t),0024001212,平成24年12月
2574903,020005,受入,032000,特殊鋼 (t),0020000000,平成20年
1640114,020005,受入,032000,特殊鋼 (t),0021000000,平成21年
2584544,020005,受入,032000,特殊鋼 (t),0022000000,平成22年
2574953,020005,受入,032000,特殊鋼 (t),0023000000,平成23年
2299557,020005,受入,032000,特殊鋼 (t),0024000000,平成24年
2667676,020005,受入,032000,特殊鋼 (t),0022010000,平成22年度
2573605,020005,受入,032000,特殊鋼 (t),0023010000,平成23年度
658124,020005,受入,032000,特殊鋼 (t),0024000103,平成24年 1 ～ 3 月
596896,020005,受入,032000,特殊鋼 (t),0024000406,平成24年 4 ～ 6 月
577506,020005,受入,032000,特殊鋼 (t),0024000709,平成24年 7 ～ 9 月
467031,020005,受入,032000,特殊鋼 (t),0024001012,平成24年 10 ～ 12 月
216565,020005,受入,032000,特殊鋼 (t),0024000101,平成24年1月
221999,020005,受入,032000,特殊鋼 (t),0024000202,平成24年2月
219560,020005,受入,032000,特殊鋼 (t),0024000303,平成24年3月
206448,020005,受入,032000,特殊鋼 (t),0024000404,平成24年4月
198033,020005,受入,032000,特殊鋼 (t),0024000505,平成24年5月
192415,020005,受入,032000,特殊鋼 (t),0024000606,平成24年6月
204246,020005,受入,032000,特殊鋼 (t),0024000707,平成24年7月
