value,cat01,cat01_label,time,time_label
1138221,1000000,合計 (人),0020000000,平成20年
1087075,1000000,合計 (人),0021000000,平成21年
1076789,1000000,合計 (人),0022000000,平成22年
1076734,1000000,合計 (人),0023000000,平成23年
1051162,1000000,合計 (人),0024000000,平成24年
1076916,1000000,合計 (人),0024000101,平成24年1月
1072896,1000000,合計 (人),0024000202,平成24年2月
1074356,1000000,合計 (人),0024000303,平成24年3月
1079855,1000000,合計 (人),0024000404,平成24年4月
1080476,1000000,合計 (人),0024000505,平成24年5月
1078288,1000000,合計 (人),0024000606,平成24年6月
1075550,1000000,合計 (人),0024000707,平成24年7月
1072072,1000000,合計 (人),0024000808,平成24年8月
1067096,1000000,合計 (人),0024000909,平成24年9月
1060858,1000000,合計 (人),0024001010,平成24年10月
1056903,1000000,合計 (人),0024001111,平成24年11月
1051162,1000000,合計 (人),0024001212,平成24年12月
291494,1010000,一般機械 (人),0020000000,平成20年
274479,1010000,一般機械 (人),0021000000,平成21年
273259,1010000,一般機械 (人),0022000000,平成22年
277797,1010000,一般機械 (人),0023000000,平成23年
273504,1010000,一般機械 (人),0024000000,平成24年
279514,1010000,一般機械 (人),0024000101,平成24年1月
279313,1010000,一般機械 (人),0024000202,平成24年2月
279659,1010000,一般機械 (人),0024000303,平成24年3月
281281,1010000,一般機械 (人),0024000404,平成24年4月
281781,1010000,一般機械 (人),0024000505,平成24年5月
280552,1010000,一般機械 (人),0024000606,平成24年6月
280013,1010000,一般機械 (人),0024000707,平成24年7月
278943,1010000,一般機械 (人),0024000808,平成24年8月
276079,1010000,一般機械 (人),0024000909,平成24年9月
274720,1010000,一般機械 (人),0024001010,平成24年10月
274352,1010000,一般機械 (人),0024001111,平成24年11月
273504,1010000,一般機械 (人),0024001212,平成24年12月
27370,1010100,一般機械 ボイラ及び原動機 (1) (人),0020000000,平成20年
27828,1010100,一般機械 ボイラ及び原動機 (1) (人),0021000000,平成21年
28481,1010100,一般機械 ボイラ及び原動機 (1) (人),0022000000,平成22年
29687,1010100,一般機械 ボイラ及び原動機 (1) (人),0023000000,平成23年
30537,1010100,一般機械 ボイラ及び原動機 (1) (人),0024000000,平成24年
30411,1010100,一般機械 ボイラ及び原動機 (1) (人),0024000101,平成24年1月
30269,1010100,一般機械 ボイラ及び原動機 (1) (人),0024000202,平成24年2月
30294,1010100,一般機械 ボイラ及び原動機 (1) (人),0024000303,平成24年3月
30658,1010100,一般機械 ボイラ及び原動機 (1) (人),0024000404,平成24年4月
