value,cat01,cat01_label,cat02,cat02_label
15067165,101010000,生産数量 (t),102010000,紙 計
3253556,101010000,生産数量 (t),102011000,紙 新聞巻取紙
8419795,101010000,生産数量 (t),102012000,紙 印刷・情報用紙
1945054,101010000,生産数量 (t),102012100,紙 印刷・情報用紙 非塗工印刷用紙
1089668,101010000,生産数量 (t),102012110,紙 印刷・情報用紙 非塗工印刷用紙 上級印刷紙
341512,101010000,生産数量 (t),102012120,紙 印刷・情報用紙 非塗工印刷用紙 中級印刷紙
489576,101010000,生産数量 (t),102012130,紙 印刷・情報用紙 非塗工印刷用紙 下級印刷紙
24298,101010000,生産数量 (t),102012140,紙 印刷・情報用紙 非塗工印刷用紙 薄葉印刷紙
1237616,101010000,生産数量 (t),102012200,紙 印刷・情報用紙 微塗工印刷用紙
3634006,101010000,生産数量 (t),102012300,紙 印刷・情報用紙 塗工印刷用紙
51527,101010000,生産数量 (t),102012310,紙 印刷・情報用紙 塗工印刷用紙 アート紙
1980006,101010000,生産数量 (t),102012320,紙 印刷・情報用紙 塗工印刷用紙 コート紙
1452178,101010000,生産数量 (t),102012330,紙 印刷・情報用紙 塗工印刷用紙 軽量コート紙
150295,101010000,生産数量 (t),102012390,紙 印刷・情報用紙 塗工印刷用紙 その他塗工印刷紙
236748,101010000,生産数量 (t),102012400,紙 印刷・情報用紙 特殊印刷用紙
87981,101010000,生産数量 (t),102012410,紙 印刷・情報用紙 特殊印刷用紙 色上質紙
148767,101010000,生産数量 (t),102012490,紙 印刷・情報用紙 特殊印刷用紙 その他特殊印刷用紙
1366371,101010000,生産数量 (t),102012500,紙 印刷・情報用紙 情報用紙
154576,101010000,生産数量 (t),102012510,紙 印刷・情報用紙 情報用紙 複写原紙
253657,101010000,生産数量 (t),102012520,紙 印刷・情報用紙 情報用紙 フォーム用紙
786084,101010000,生産数量 (t),102012530,紙 印刷・情報用紙 情報用紙 ＰＰＣ用紙
114934,101010000,生産数量 (t),102012540,紙 印刷・情報用紙 情報用紙 情報記録紙
57120,101010000,生産数量 (t),102012590,紙 印刷・情報用紙 情報用紙 その他情報用紙
871372,101010000,生産数量 (t),102013000,紙 包装用紙
557689,101010000,生産数量 (t),102013100,紙 包装用紙 未ざらし包装紙
332461,101010000,生産数量 (t),102013110,紙 包装用紙 未ざらし包装紙 重袋用両更クラフト紙
192422,101010000,生産数量 (t),102013120,紙 包装用紙 未ざらし包装紙 その他両更クラフト紙
32806,101010000,生産数量 (t),102013190,紙 包装用紙 未ざらし包装紙 その他未ざらし包装紙
313683,101010000,生産数量 (t),102013200,紙 包装用紙 さらし包装紙
73957,101010000,生産数量 (t),102013210,紙 包装用紙 さらし包装紙 純白ロール紙
209308,101010000,生産数量 (t),102013220,紙 包装用紙 さらし包装紙 さらしクラフト紙
30418,101010000,生産数量 (t),102013290,紙 包装用紙 さらし包装紙 その他さらし包装紙
1766850,101010000,生産数量 (t),102014000,紙 衛生用紙
465020,101010000,生産数量 (t),102014100,紙 衛生用紙 ティシュペーパー
1031079,101010000,生産数量 (t),102014200,紙 衛生用紙 トイレットペーパー
168402,101010000,生産数量 (t),102014300,紙 衛生用紙 タオル用紙
102349,101010000,生産数量 (t),102014400,紙 衛生用紙 その他衛生用紙
755592,101010000,生産数量 (t),102015000,紙 雑種紙
707929,101010000,生産数量 (t),102015100,紙 雑種紙 工業用雑種紙
579546,101010000,生産数量 (t),102015110,紙 雑種紙 工業用雑種紙 加工原紙
14030,101010000,生産数量 (t),102015120,紙 雑種紙 工業用雑種紙 電気絶縁紙
114353,101010000,生産数量 (t),102015190,紙 雑種紙 工業用雑種紙 その他工業用雑種紙
47663,101010000,生産数量 (t),102015200,紙 雑種紙 家庭用雑種紙
14527785,101031000,出荷数量 販売数量 (t),102010000,紙 計
3262521,101031000,出荷数量 販売数量 (t),102011000,紙 新聞巻取紙
8060462,101031000,出荷数量 販売数量 (t),102012000,紙 印刷・情報用紙
1924107,101031000,出荷数量 販売数量 (t),102012100,紙 印刷・情報用紙 非塗工印刷用紙
