value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label
1776492,101010000,紙,104010000,消費数量 (t),112010000,パルプ 計
1531326,101010000,紙,104010000,消費数量 (t),112011000,パルプ クラフトパルプ
1488205,101010000,紙,104010000,消費数量 (t),112011100,パルプ クラフトパルプ さらし
593414,101010000,紙,104010000,消費数量 (t),112011110,パルプ クラフトパルプ さらし 針葉樹
894791,101010000,紙,104010000,消費数量 (t),112011120,パルプ クラフトパルプ さらし 広葉樹
43121,101010000,紙,104010000,消費数量 (t),112011200,パルプ クラフトパルプ 未ざらし
174446,101010000,紙,104010000,消費数量 (t),112012000,パルプ 機械パルプ
70720,101010000,紙,104010000,消費数量 (t),112019000,パルプ その他パルプ
97366,101010000,紙,104010000,消費数量 (t),112020000,古紙パルプ
6036751,101010000,紙,104010000,消費数量 (t),112030000,古紙
13406,101010000,紙,104010000,消費数量 (t),112031000,古紙 上白・カード
2946,101010000,紙,104010000,消費数量 (t),112032000,古紙 特白・中白・白マニラ
1668132,101010000,紙,104010000,消費数量 (t),112033000,古紙 模造・色上（アート古紙を含む）
8440,101010000,紙,104010000,消費数量 (t),112034000,古紙 茶模造紙古紙（洋段を含む）
115165,101010000,紙,104010000,消費数量 (t),112035000,古紙 切付（中色）・中更反古
3819495,101010000,紙,104010000,消費数量 (t),112036000,古紙 新聞
402756,101010000,紙,104010000,消費数量 (t),112037000,古紙 雑誌
3096,101010000,紙,104010000,消費数量 (t),112038000,古紙 段ボール古紙
3315,101010000,紙,104010000,消費数量 (t),112039000,古紙 台紙・地券・ボール古紙・込新
22985,101010000,紙,104010000,消費数量 (t),112090000,その他繊維原料
180901,101010000,紙,104020000,在庫数量 (t),112010000,パルプ 計
128960,101010000,紙,104020000,在庫数量 (t),112011000,パルプ クラフトパルプ
117537,101010000,紙,104020000,在庫数量 (t),112011100,パルプ クラフトパルプ さらし
56447,101010000,紙,104020000,在庫数量 (t),112011110,パルプ クラフトパルプ さらし 針葉樹
61090,101010000,紙,104020000,在庫数量 (t),112011120,パルプ クラフトパルプ さらし 広葉樹
11423,101010000,紙,104020000,在庫数量 (t),112011200,パルプ クラフトパルプ 未ざらし
44228,101010000,紙,104020000,在庫数量 (t),112012000,パルプ 機械パルプ
7713,101010000,紙,104020000,在庫数量 (t),112019000,パルプ その他パルプ
3270,101010000,紙,104020000,在庫数量 (t),112020000,古紙パルプ
344292,101010000,紙,104020000,在庫数量 (t),112030000,古紙
880,101010000,紙,104020000,在庫数量 (t),112031000,古紙 上白・カード
159,101010000,紙,104020000,在庫数量 (t),112032000,古紙 特白・中白・白マニラ
82435,101010000,紙,104020000,在庫数量 (t),112033000,古紙 模造・色上（アート古紙を含む）
383,101010000,紙,104020000,在庫数量 (t),112034000,古紙 茶模造紙古紙（洋段を含む）
10263,101010000,紙,104020000,在庫数量 (t),112035000,古紙 切付（中色）・中更反古
224275,101010000,紙,104020000,在庫数量 (t),112036000,古紙 新聞
25266,101010000,紙,104020000,在庫数量 (t),112037000,古紙 雑誌
369,101010000,紙,104020000,在庫数量 (t),112038000,古紙 段ボール古紙
262,101010000,紙,104020000,在庫数量 (t),112039000,古紙 台紙・地券・ボール古紙・込新
1427,101010000,紙,104020000,在庫数量 (t),112090000,その他繊維原料
399705,101020000,板紙,104010000,消費数量 (t),112010000,パルプ 計
394999,101020000,板紙,104010000,消費数量 (t),112011000,パルプ クラフトパルプ
292004,101020000,板紙,104010000,消費数量 (t),112011100,パルプ クラフトパルプ さらし
43698,101020000,板紙,104010000,消費数量 (t),112011110,パルプ クラフトパルプ さらし 針葉樹
248306,101020000,板紙,104010000,消費数量 (t),112011120,パルプ クラフトパルプ さらし 広葉樹
102995,101020000,板紙,104010000,消費数量 (t),112011200,パルプ クラフトパルプ 未ざらし
2842,101020000,板紙,104010000,消費数量 (t),112012000,パルプ 機械パルプ
1864,101020000,板紙,104010000,消費数量 (t),112019000,パルプ その他パルプ
8682,101020000,板紙,104010000,消費数量 (t),112020000,古紙パルプ
10733324,101020000,板紙,104010000,消費数量 (t),112030000,古紙
50413,101020000,板紙,104010000,消費数量 (t),112031000,古紙 上白・カード
50997,101020000,板紙,104010000,消費数量 (t),112032000,古紙 特白・中白・白マニラ
302137,101020000,板紙,104010000,消費数量 (t),112033000,古紙 模造・色上（アート古紙を含む）
43531,101020000,板紙,104010000,消費数量 (t),112034000,古紙 茶模造紙古紙（洋段を含む）
13519,101020000,板紙,104010000,消費数量 (t),112035000,古紙 切付（中色）・中更反古
266283,101020000,板紙,104010000,消費数量 (t),112036000,古紙 新聞
1767603,101020000,板紙,104010000,消費数量 (t),112037000,古紙 雑誌
7864212,101020000,板紙,104010000,消費数量 (t),112038000,古紙 段ボール古紙
374629,101020000,板紙,104010000,消費数量 (t),112039000,古紙 台紙・地券・ボール古紙・込新
9728,101020000,板紙,104010000,消費数量 (t),112090000,その他繊維原料
26331,101020000,板紙,104020000,在庫数量 (t),112010000,パルプ 計
24179,101020000,板紙,104020000,在庫数量 (t),112011000,パルプ クラフトパルプ
21030,101020000,板紙,104020000,在庫数量 (t),112011100,パルプ クラフトパルプ さらし
4974,101020000,板紙,104020000,在庫数量 (t),112011110,パルプ クラフトパルプ さらし 針葉樹
16056,101020000,板紙,104020000,在庫数量 (t),112011120,パルプ クラフトパルプ さらし 広葉樹
3149,101020000,板紙,104020000,在庫数量 (t),112011200,パルプ クラフトパルプ 未ざらし
1872,101020000,板紙,104020000,在庫数量 (t),112012000,パルプ 機械パルプ
280,101020000,板紙,104020000,在庫数量 (t),112019000,パルプ その他パルプ
670,101020000,板紙,104020000,在庫数量 (t),112020000,古紙パルプ
444423,101020000,板紙,104020000,在庫数量 (t),112030000,古紙
7244,101020000,板紙,104020000,在庫数量 (t),112031000,古紙 上白・カード
7440,101020000,板紙,104020000,在庫数量 (t),112032000,古紙 特白・中白・白マニラ
29532,101020000,板紙,104020000,在庫数量 (t),112033000,古紙 模造・色上（アート古紙を含む）
4525,101020000,板紙,104020000,在庫数量 (t),112034000,古紙 茶模造紙古紙（洋段を含む）
1258,101020000,板紙,104020000,在庫数量 (t),112035000,古紙 切付（中色）・中更反古
19090,101020000,板紙,104020000,在庫数量 (t),112036000,古紙 新聞
77062,101020000,板紙,104020000,在庫数量 (t),112037000,古紙 雑誌
277780,101020000,板紙,104020000,在庫数量 (t),112038000,古紙 段ボール古紙
20492,101020000,板紙,104020000,在庫数量 (t),112039000,古紙 台紙・地券・ボール古紙・込新
589,101020000,板紙,104020000,在庫数量 (t),112090000,その他繊維原料
