value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label,unit
1202,38,総患者数,1,総数,1,総数,1,１　感染症及び寄生虫症,1,平成２０年,千人
95,38,総患者数,1,総数,1,総数,2,１　感染症及び寄生虫症（腸管感染症（再掲））,1,平成２０年,千人
27,38,総患者数,1,総数,1,総数,3,１　感染症及び寄生虫症（結核（再掲））,1,平成２０年,千人
254,38,総患者数,1,総数,1,総数,4,１　感染症及び寄生虫症（皮膚及び粘膜の病変を伴うウイルス疾患（再掲））,1,平成２０年,千人
430,38,総患者数,1,総数,1,総数,5,１　感染症及び寄生虫症（真菌症（再掲））,1,平成２０年,千人
1949,38,総患者数,1,総数,1,総数,6,２　新生物,1,平成２０年,千人
1518,38,総患者数,1,総数,1,総数,7,２　新生物（（悪性新生物）（再掲））,1,平成２０年,千人
213,38,総患者数,1,総数,1,総数,8,２　新生物（胃の悪性新生物（再掲））,1,平成２０年,千人
235,38,総患者数,1,総数,1,総数,9,２　新生物（結腸及び直腸の悪性新生物（再掲））,1,平成２０年,千人
131,38,総患者数,1,総数,1,総数,10,２　新生物（気管，気管支及び肺の悪性新生物（再掲））,1,平成２０年,千人
200,38,総患者数,1,総数,1,総数,11,３　血液及び造血器の疾患並びに免疫機構の障害,1,平成２０年,千人
4401,38,総患者数,1,総数,1,総数,12,４　内分泌，栄養及び代謝疾患,1,平成２０年,千人
309,38,総患者数,1,総数,1,総数,13,４　内分泌，栄養及び代謝疾患（甲状腺障害（再掲））,1,平成２０年,千人
2371,38,総患者数,1,総数,1,総数,14,４　内分泌，栄養及び代謝疾患（糖尿病（再掲））,1,平成２０年,千人
2815,38,総患者数,1,総数,1,総数,15,５　精神及び行動の障害,1,平成２０年,千人
795,38,総患者数,1,総数,1,総数,16,５　精神及び行動の障害（統合失調症，統合失調症型障害及び妄想性障害（再掲））,1,平成２０年,千人
1041,38,総患者数,1,総数,1,総数,17,５　精神及び行動の障害（気分［感情］障害（躁うつ病を含む）（再掲））,1,平成２０年,千人
589,38,総患者数,1,総数,1,総数,18,５　精神及び行動の障害（神経症性障害，ストレス関連障害及び身体表現性障害（再掲））,1,平成２０年,千人
1354,38,総患者数,1,総数,1,総数,19,６　神経系の疾患,1,平成２０年,千人
2787,38,総患者数,1,総数,1,総数,20,７　眼及び付属器の疾患,1,平成２０年,千人
917,38,総患者数,1,総数,1,総数,21,７　眼及び付属器の疾患（白内障（再掲））,1,平成２０年,千人
636,38,総患者数,1,総数,1,総数,22,８　耳及び乳様突起の疾患,1,平成２０年,千人
11188,38,総患者数,1,総数,1,総数,23,９　循環器系の疾患,1,平成２０年,千人
7967,38,総患者数,1,総数,1,総数,24,９　循環器系の疾患（高血圧性疾患（再掲））,1,平成２０年,千人
1542,38,総患者数,1,総数,1,総数,25,９　循環器系の疾患（（心疾患（高血圧性のものを除く））（再掲））,1,平成２０年,千人
808,38,総患者数,1,総数,1,総数,26,９　循環器系の疾患（虚血性心疾患（再掲））,1,平成２０年,千人
1339,38,総患者数,1,総数,1,総数,27,９　循環器系の疾患（脳血管疾患（再掲））,1,平成２０年,千人
3258,38,総患者数,1,総数,1,総数,28,１０　呼吸器系の疾患,1,平成２０年,千人
825,38,総患者数,1,総数,1,総数,29,１０　呼吸器系の疾患（急性上気道感染症（再掲））,1,平成２０年,千人
77,38,総患者数,1,総数,1,総数,30,１０　呼吸器系の疾患（肺炎（再掲））,1,平成２０年,千人
322,38,総患者数,1,総数,1,総数,31,１０　呼吸器系の疾患（急性気管支炎及び急性細気管支炎（再掲））,1,平成２０年,千人
224,38,総患者数,1,総数,1,総数,32,１０　呼吸器系の疾患（気管支炎及び慢性閉塞性肺疾患（再掲））,1,平成２０年,千人
888,38,総患者数,1,総数,1,総数,33,１０　呼吸器系の疾患（喘息（再掲））,1,平成２０年,千人
8373,38,総患者数,1,総数,1,総数,34,１１　消化器系の疾患,1,平成２０年,千人
1656,38,総患者数,1,総数,1,総数,35,１１　消化器系の疾患（う蝕（再掲））,1,平成２０年,千人
2592,38,総患者数,1,総数,1,総数,36,１１　消化器系の疾患（歯肉炎及び歯周疾患（再掲））,1,平成２０年,千人
520,38,総患者数,1,総数,1,総数,37,１１　消化器系の疾患（胃潰瘍及び十二指腸潰瘍（再掲））,1,平成２０年,千人
583,38,総患者数,1,総数,1,総数,38,１１　消化器系の疾患（胃炎及び十二指腸炎（再掲））,1,平成２０年,千人
247,38,総患者数,1,総数,1,総数,39,１１　消化器系の疾患（肝疾患（再掲））,1,平成２０年,千人
1726,38,総患者数,1,総数,1,総数,40,１２　皮膚及び皮下組織の疾患,1,平成２０年,千人
5039,38,総患者数,1,総数,1,総数,41,１３　筋骨格系及び結合組織の疾患,1,平成２０年,千人
500,38,総患者数,1,総数,1,総数,42,１３　筋骨格系及び結合組織の疾患（炎症性多発性関節障害（再掲））,1,平成２０年,千人
1185,38,総患者数,1,総数,1,総数,43,１３　筋骨格系及び結合組織の疾患（関節症（再掲））,1,平成２０年,千人
2184,38,総患者数,1,総数,1,総数,44,１３　筋骨格系及び結合組織の疾患（脊柱障害（再掲））,1,平成２０年,千人
502,38,総患者数,1,総数,1,総数,45,１３　筋骨格系及び結合組織の疾患（骨の密度及び構造の障害（再掲））,1,平成２０年,千人
1574,38,総患者数,1,総数,1,総数,46,１４　腎尿路生殖器系の疾患,1,平成２０年,千人
414,38,総患者数,1,総数,1,総数,47,１４　腎尿路生殖器系の疾患（糸球体疾患，腎尿細管間質性疾患及び腎不全（再掲））,1,平成２０年,千人
442,38,総患者数,1,総数,1,総数,48,１４　腎尿路生殖器系の疾患（前立腺肥大（症）（再掲））,1,平成２０年,千人
528,38,総患者数,1,総数,1,総数,49,１４　腎尿路生殖器系の疾患（乳房及び女性生殖器の疾患（再掲））,1,平成２０年,千人
