value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,unit
8275.8,22,推計患者数の年次推移,1,昭和５４年,1,総数,1,総数,千人
383.4,22,推計患者数の年次推移,1,昭和５４年,1,総数,2,１　感染症及び寄生虫症,千人
82.5,22,推計患者数の年次推移,1,昭和５４年,1,総数,3,　腸管感染症（再掲）,千人
76.8,22,推計患者数の年次推移,1,昭和５４年,1,総数,4,　結核（再掲）,千人
38.4,22,推計患者数の年次推移,1,昭和５４年,1,総数,5,　発疹を伴うウイルス疾患（再掲）,千人
61,22,推計患者数の年次推移,1,昭和５４年,1,総数,6,　真菌症（再掲）,千人
151.3,22,推計患者数の年次推移,1,昭和５４年,1,総数,7,２　新生物,千人
30.7,22,推計患者数の年次推移,1,昭和５４年,1,総数,8,　胃の悪性新生物（再掲）,千人
70.2,22,推計患者数の年次推移,1,昭和５４年,1,総数,9,　その他の悪性新生物（再掲）,千人
166.7,22,推計患者数の年次推移,1,昭和５４年,1,総数,10,３　内分泌，栄養及び代謝疾患並びに免疫障害,千人
12,22,推計患者数の年次推移,1,昭和５４年,1,総数,11,　甲状腺の疾患（再掲）,千人
116.4,22,推計患者数の年次推移,1,昭和５４年,1,総数,12,　糖尿病（再掲）,千人
46,22,推計患者数の年次推移,1,昭和５４年,1,総数,13,４　血液及び造血器の疾患,千人
38.1,22,推計患者数の年次推移,1,昭和５４年,1,総数,14,　貧血（再掲）,千人
325.9,22,推計患者数の年次推移,1,昭和５４年,1,総数,15,５　精神障害,千人
199.9,22,推計患者数の年次推移,1,昭和５４年,1,総数,16,　統合失調症（再掲）,千人
32.4,22,推計患者数の年次推移,1,昭和５４年,1,総数,17,　神経症（再掲）,千人
845.2,22,推計患者数の年次推移,1,昭和５４年,1,総数,18,６　神経系及び感覚器の疾患,千人
457.1,22,推計患者数の年次推移,1,昭和５４年,1,総数,19,　視器の疾患（再掲）,千人
251.9,22,推計患者数の年次推移,1,昭和５４年,1,総数,20,　聴器の疾患（再掲）,千人
1115.6,22,推計患者数の年次推移,1,昭和５４年,1,総数,21,７　循環系の疾患,千人
6.6,22,推計患者数の年次推移,1,昭和５４年,1,総数,22,　リウマチ熱及びリウマチ性心疾患（再掲）,千人
549.1,22,推計患者数の年次推移,1,昭和５４年,1,総数,23,　高血圧性疾患（再掲）,千人
108.7,22,推計患者数の年次推移,1,昭和５４年,1,総数,24,　虚血性心疾患（再掲）,千人
85.9,22,推計患者数の年次推移,1,昭和５４年,1,総数,25,　その他の心疾患（再掲）,千人
231,22,推計患者数の年次推移,1,昭和５４年,1,総数,26,　脳血管疾患（再掲）,千人
1194.5,22,推計患者数の年次推移,1,昭和５４年,1,総数,27,８　呼吸系の疾患,千人
588,22,推計患者数の年次推移,1,昭和５４年,1,総数,28,　急性上気道感染（再掲）,千人
159.6,22,推計患者数の年次推移,1,昭和５４年,1,総数,29,　急性及び詳細不明の気管支炎（再掲）,千人
