value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2024000000,2024年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2023000000,2023年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2022000000,2022年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2021000000,2021年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2020000000,2020年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2019000000,2019年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2018000000,2018年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2017000000,2017年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2016000000,2016年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S100,製造業特定産業計,2015000000,2015年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2024000000,2024年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2023000000,2023年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2022000000,2022年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2021000000,2021年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2020000000,2020年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2019000000,2019年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2018000000,2018年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2017000000,2017年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2016000000,2016年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,S110,E09･10_食料品，飲料・たばこ・飼料製造業,2015000000,2015年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2024000000,2024年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2023000000,2023年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2022000000,2022年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2021000000,2021年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2020000000,2020年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2019000000,2019年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2018000000,2018年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2017000000,2017年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2016000000,2016年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1200,E12_木材・木製品製造業（家具を除く）,2015000000,2015年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1300,E13_家具・装備品製造業,2024000000,2024年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1300,E13_家具・装備品製造業,2023000000,2023年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1300,E13_家具・装備品製造業,2022000000,2022年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1300,E13_家具・装備品製造業,2021000000,2021年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1300,E13_家具・装備品製造業,2020000000,2020年,%
100.0,180,事業所割合（総合工事調査）,100,合計【%】,1300,E13_家具・装備品製造業,2019000000,2019年,%
