value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
457241004,100,在院患者延数,100,総数,100,総数,00000,全国,1984000000,昭和59年（1984年）,人
487617896,100,在院患者延数,100,総数,100,総数,00000,全国,1987000000,昭和62年（1987年）,人
511678363,100,在院患者延数,100,総数,100,総数,00000,全国,1990000000,平成２年（1990年）,人
507283305,100,在院患者延数,100,総数,100,総数,00000,全国,1993000000,平成５年（1993年）,人
513605500,100,在院患者延数,100,総数,100,総数,00000,全国,1996000000,平成８年（1996年）,人
509438114,100,在院患者延数,100,総数,100,総数,00000,全国,1999000000,平成11年（1999年）,人
509443294,100,在院患者延数,100,総数,100,総数,00000,全国,2002000000,平成14年（2002年）,人
504499287,100,在院患者延数,100,総数,100,総数,00000,全国,2005000000,平成17年（2005年）,人
482395353,100,在院患者延数,100,総数,100,総数,00000,全国,2008000000,平成20年（2008年）,人
474252454,100,在院患者延数,100,総数,100,総数,00000,全国,2011000000,平成23年（2011年）,人
460330943,100,在院患者延数,100,総数,100,総数,00000,全国,2014000000,平成26年（2014年）,人
457087848,100,在院患者延数,100,総数,100,総数,00000,全国,2017000000,平成29年（2017年）,人
426532344,100,在院患者延数,100,総数,100,総数,00000,全国,2020000000,令和２年（2020年）,人
417038006,100,在院患者延数,100,総数,100,総数,00000,全国,2021000000,令和３年（2021年）,人
123596105,100,在院患者延数,110,精神病床,100,総数,00000,全国,1984000000,昭和59年（1984年）,人
124997557,100,在院患者延数,110,精神病床,100,総数,00000,全国,1987000000,昭和62年（1987年）,人
127202638,100,在院患者延数,110,精神病床,100,総数,00000,全国,1990000000,平成２年（1990年）,人
125644131,100,在院患者延数,110,精神病床,100,総数,00000,全国,1993000000,平成５年（1993年）,人
124593319,100,在院患者延数,110,精神病床,100,総数,00000,全国,1996000000,平成８年（1996年）,人
121991170,100,在院患者延数,110,精神病床,100,総数,00000,全国,1999000000,平成11年（1999年）,人
121188060,100,在院患者延数,110,精神病床,100,総数,00000,全国,2002000000,平成14年（2002年）,人
118634949,100,在院患者延数,110,精神病床,100,総数,00000,全国,2005000000,平成17年（2005年）,人
115326704,100,在院患者延数,110,精神病床,100,総数,00000,全国,2008000000,平成20年（2008年）,人
112220478,100,在院患者延数,110,精神病床,100,総数,00000,全国,2011000000,平成23年（2011年）,人
107974310,100,在院患者延数,110,精神病床,100,総数,00000,全国,2014000000,平成26年（2014年）,人
104491266,100,在院患者延数,110,精神病床,100,総数,00000,全国,2017000000,平成29年（2017年）,人
100959257,100,在院患者延数,110,精神病床,100,総数,00000,全国,2020000000,令和２年（2020年）,人
98798871,100,在院患者延数,110,精神病床,100,総数,00000,全国,2021000000,令和３年（2021年）,人
92450870,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,1984000000,昭和59年（1984年）,人
94260167,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,1987000000,昭和62年（1987年）,人
94662457,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,1990000000,平成２年（1990年）,人
92979660,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,1993000000,平成５年（1993年）,人
92153700,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,1996000000,平成８年（1996年）,人
89592116,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,1999000000,平成11年（1999年）,人
89753253,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,2002000000,平成14年（2002年）,人
88498285,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,2005000000,平成17年（2005年）,人
86633802,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,2008000000,平成20年（2008年）,人
84852775,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,2011000000,平成23年（2011年）,人
81702048,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,2014000000,平成26年（2014年）,人
79078594,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,2017000000,平成29年（2017年）,人
77184153,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,2020000000,令和２年（2020年）,人
75914348,100,在院患者延数,110,精神病床,130,精神科病院,00000,全国,2021000000,令和３年（2021年）,人
31145235,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,1984000000,昭和59年（1984年）,人
30737390,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,1987000000,昭和62年（1987年）,人
32540181,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,1990000000,平成２年（1990年）,人
32664471,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,1993000000,平成５年（1993年）,人
32439619,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,1996000000,平成８年（1996年）,人
32399054,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,1999000000,平成11年（1999年）,人
31434807,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,2002000000,平成14年（2002年）,人
30136664,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,2005000000,平成17年（2005年）,人
28692902,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,2008000000,平成20年（2008年）,人
27367703,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,2011000000,平成23年（2011年）,人
26272262,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,2014000000,平成26年（2014年）,人
25412672,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,2017000000,平成29年（2017年）,人
23775104,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,2020000000,令和２年（2020年）,人
22884523,100,在院患者延数,110,精神病床,150,一般病院,00000,全国,2021000000,令和３年（2021年）,人
77511,100,在院患者延数,120,感染症病床,100,総数,00000,全国,1984000000,昭和59年（1984年）,人
61841,100,在院患者延数,120,感染症病床,100,総数,00000,全国,1987000000,昭和62年（1987年）,人
44651,100,在院患者延数,120,感染症病床,100,総数,00000,全国,1990000000,平成２年（1990年）,人
41674,100,在院患者延数,120,感染症病床,100,総数,00000,全国,1993000000,平成５年（1993年）,人
45459,100,在院患者延数,120,感染症病床,100,総数,00000,全国,1996000000,平成８年（1996年）,人
21818,100,在院患者延数,120,感染症病床,100,総数,00000,全国,1999000000,平成11年（1999年）,人
17084,100,在院患者延数,120,感染症病床,100,総数,00000,全国,2002000000,平成14年（2002年）,人
17414,100,在院患者延数,120,感染症病床,100,総数,00000,全国,2005000000,平成17年（2005年）,人
15719,100,在院患者延数,120,感染症病床,100,総数,00000,全国,2008000000,平成20年（2008年）,人
16421,100,在院患者延数,120,感染症病床,100,総数,00000,全国,2011000000,平成23年（2011年）,人
20794,100,在院患者延数,120,感染症病床,100,総数,00000,全国,2014000000,平成26年（2014年）,人
22148,100,在院患者延数,120,感染症病床,100,総数,00000,全国,2017000000,平成29年（2017年）,人
794173,100,在院患者延数,120,感染症病床,100,総数,00000,全国,2020000000,令和２年（2020年）,人
2379831,100,在院患者延数,120,感染症病床,100,総数,00000,全国,2021000000,令和３年（2021年）,人
12688589,100,在院患者延数,130,結核病床,100,総数,00000,全国,1984000000,昭和59年（1984年）,人
9793590,100,在院患者延数,130,結核病床,100,総数,00000,全国,1987000000,昭和62年（1987年）,人
7564835,100,在院患者延数,130,結核病床,100,総数,00000,全国,1990000000,平成２年（1990年）,人
6083225,100,在院患者延数,130,結核病床,100,総数,00000,全国,1993000000,平成５年（1993年）,人
4980108,100,在院患者延数,130,結核病床,100,総数,00000,全国,1996000000,平成８年（1996年）,人
4136216,100,在院患者延数,130,結核病床,100,総数,00000,全国,1999000000,平成11年（1999年）,人
2988075,100,在院患者延数,130,結核病床,100,総数,00000,全国,2002000000,平成14年（2002年）,人
2011705,100,在院患者延数,130,結核病床,100,総数,00000,全国,2005000000,平成17年（2005年）,人
1350029,100,在院患者延数,130,結核病床,100,総数,00000,全国,2008000000,平成20年（2008年）,人
1041548,100,在院患者延数,130,結核病床,100,総数,00000,全国,2011000000,平成23年（2011年）,人
793850,100,在院患者延数,130,結核病床,100,総数,00000,全国,2014000000,平成26年（2014年）,人
644133,100,在院患者延数,130,結核病床,100,総数,00000,全国,2017000000,平成29年（2017年）,人
480674,100,在院患者延数,130,結核病床,100,総数,00000,全国,2020000000,令和２年（2020年）,人
420907,100,在院患者延数,130,結核病床,100,総数,00000,全国,2021000000,令和３年（2021年）,人
849436,100,在院患者延数,130,結核病床,140,結核療養所,00000,全国,1984000000,昭和59年（1984年）,人
499246,100,在院患者延数,130,結核病床,140,結核療養所,00000,全国,1987000000,昭和62年（1987年）,人
316276,100,在院患者延数,130,結核病床,140,結核療養所,00000,全国,1990000000,平成２年（1990年）,人
244719,100,在院患者延数,130,結核病床,140,結核療養所,00000,全国,1993000000,平成５年（1993年）,人
135222,100,在院患者延数,130,結核病床,140,結核療養所,00000,全国,1996000000,平成８年（1996年）,人
79915,100,在院患者延数,130,結核病床,140,結核療養所,00000,全国,1999000000,平成11年（1999年）,人
