value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label,unit
1249292,190,１日平均在院患者数,100,総数,00000,全国,1984000000,昭和59年（1984年）,人
1335939,190,１日平均在院患者数,100,総数,00000,全国,1987000000,昭和62年（1987年）,人
1401859,190,１日平均在院患者数,100,総数,00000,全国,1990000000,平成２年（1990年）,人
1389817,190,１日平均在院患者数,100,総数,00000,全国,1993000000,平成５年（1993年）,人
1403294,190,１日平均在院患者数,100,総数,00000,全国,1996000000,平成８年（1996年）,人
1395721,190,１日平均在院患者数,100,総数,00000,全国,1999000000,平成11年（1999年）,人
1395735,190,１日平均在院患者数,100,総数,00000,全国,2002000000,平成14年（2002年）,人
1382190,190,１日平均在院患者数,100,総数,00000,全国,2005000000,平成17年（2005年）,人
1318020,190,１日平均在院患者数,100,総数,00000,全国,2008000000,平成20年（2008年）,人
1299322,190,１日平均在院患者数,100,総数,00000,全国,2011000000,平成23年（2011年）,人
1261181,190,１日平均在院患者数,100,総数,00000,全国,2014000000,平成26年（2014年）,人
1252295,190,１日平均在院患者数,100,総数,00000,全国,2017000000,平成29年（2017年）,人
1165389,190,１日平均在院患者数,100,総数,00000,全国,2020000000,令和２年（2020年）,人
1142570,190,１日平均在院患者数,100,総数,00000,全国,2021000000,令和３年（2021年）,人
337694,190,１日平均在院患者数,110,精神病床,00000,全国,1984000000,昭和59年（1984年）,人
342459,190,１日平均在院患者数,110,精神病床,00000,全国,1987000000,昭和62年（1987年）,人
348500,190,１日平均在院患者数,110,精神病床,00000,全国,1990000000,平成２年（1990年）,人
344230,190,１日平均在院患者数,110,精神病床,00000,全国,1993000000,平成５年（1993年）,人
340419,190,１日平均在院患者数,110,精神病床,00000,全国,1996000000,平成８年（1996年）,人
334222,190,１日平均在院患者数,110,精神病床,00000,全国,1999000000,平成11年（1999年）,人
332022,190,１日平均在院患者数,110,精神病床,00000,全国,2002000000,平成14年（2002年）,人
325027,190,１日平均在院患者数,110,精神病床,00000,全国,2005000000,平成17年（2005年）,人
315100,190,１日平均在院患者数,110,精神病床,00000,全国,2008000000,平成20年（2008年）,人
307453,190,１日平均在院患者数,110,精神病床,00000,全国,2011000000,平成23年（2011年）,人
295820,190,１日平均在院患者数,110,精神病床,00000,全国,2014000000,平成26年（2014年）,人
286277,190,１日平均在院患者数,110,精神病床,00000,全国,2017000000,平成29年（2017年）,人
275845,190,１日平均在院患者数,110,精神病床,00000,全国,2020000000,令和２年（2020年）,人
270682,190,１日平均在院患者数,110,精神病床,00000,全国,2021000000,令和３年（2021年）,人
212,190,１日平均在院患者数,120,感染症病床,00000,全国,1984000000,昭和59年（1984年）,人
169,190,１日平均在院患者数,120,感染症病床,00000,全国,1987000000,昭和62年（1987年）,人
122,190,１日平均在院患者数,120,感染症病床,00000,全国,1990000000,平成２年（1990年）,人
114,190,１日平均在院患者数,120,感染症病床,00000,全国,1993000000,平成５年（1993年）,人
124,190,１日平均在院患者数,120,感染症病床,00000,全国,1996000000,平成８年（1996年）,人
60,190,１日平均在院患者数,120,感染症病床,00000,全国,1999000000,平成11年（1999年）,人
47,190,１日平均在院患者数,120,感染症病床,00000,全国,2002000000,平成14年（2002年）,人
48,190,１日平均在院患者数,120,感染症病床,00000,全国,2005000000,平成17年（2005年）,人
43,190,１日平均在院患者数,120,感染症病床,00000,全国,2008000000,平成20年（2008年）,人
45,190,１日平均在院患者数,120,感染症病床,00000,全国,2011000000,平成23年（2011年）,人
57,190,１日平均在院患者数,120,感染症病床,00000,全国,2014000000,平成26年（2014年）,人
61,190,１日平均在院患者数,120,感染症病床,00000,全国,2017000000,平成29年（2017年）,人
2170,190,１日平均在院患者数,120,感染症病床,00000,全国,2020000000,令和２年（2020年）,人
6520,190,１日平均在院患者数,120,感染症病床,00000,全国,2021000000,令和３年（2021年）,人
34668,190,１日平均在院患者数,130,結核病床,00000,全国,1984000000,昭和59年（1984年）,人
26832,190,１日平均在院患者数,130,結核病床,00000,全国,1987000000,昭和62年（1987年）,人
20726,190,１日平均在院患者数,130,結核病床,00000,全国,1990000000,平成２年（1990年）,人
16666,190,１日平均在院患者数,130,結核病床,00000,全国,1993000000,平成５年（1993年）,人
13607,190,１日平均在院患者数,130,結核病床,00000,全国,1996000000,平成８年（1996年）,人
11332,190,１日平均在院患者数,130,結核病床,00000,全国,1999000000,平成11年（1999年）,人
8187,190,１日平均在院患者数,130,結核病床,00000,全国,2002000000,平成14年（2002年）,人
5512,190,１日平均在院患者数,130,結核病床,00000,全国,2005000000,平成17年（2005年）,人
3689,190,１日平均在院患者数,130,結核病床,00000,全国,2008000000,平成20年（2008年）,人
2854,190,１日平均在院患者数,130,結核病床,00000,全国,2011000000,平成23年（2011年）,人
2175,190,１日平均在院患者数,130,結核病床,00000,全国,2014000000,平成26年（2014年）,人
1765,190,１日平均在院患者数,130,結核病床,00000,全国,2017000000,平成29年（2017年）,人
1313,190,１日平均在院患者数,130,結核病床,00000,全国,2020000000,令和２年（2020年）,人
1153,190,１日平均在院患者数,130,結核病床,00000,全国,2021000000,令和３年（2021年）,人
･,190,１日平均在院患者数,140,療養病床,00000,全国,1984000000,昭和59年（1984年）,人
･,190,１日平均在院患者数,140,療養病床,00000,全国,1987000000,昭和62年（1987年）,人
･,190,１日平均在院患者数,140,療養病床,00000,全国,1990000000,平成２年（1990年）,人
…,190,１日平均在院患者数,140,療養病床,00000,全国,1993000000,平成５年（1993年）,人
29914,190,１日平均在院患者数,140,療養病床,00000,全国,1996000000,平成８年（1996年）,人
139461,190,１日平均在院患者数,140,療養病床,00000,全国,1999000000,平成11年（1999年）,人
276627,190,１日平均在院患者数,140,療養病床,00000,全国,2002000000,平成14年（2002年）,人
333436,190,１日平均在院患者数,140,療養病床,00000,全国,2005000000,平成17年（2005年）,人
308797,190,１日平均在院患者数,140,療養病床,00000,全国,2008000000,平成20年（2008年）,人
302265,190,１日平均在院患者数,140,療養病床,00000,全国,2011000000,平成23年（2011年）,人
293388,190,１日平均在院患者数,140,療養病床,00000,全国,2014000000,平成26年（2014年）,人
287418,190,１日平均在院患者数,140,療養病床,00000,全国,2017000000,平成29年（2017年）,人
