value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
39.24,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1952000000,1952年
32.96,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1953000000,1953年
29.53,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1954000000,1954年
24.49,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1955000000,1955年
22.99,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1956000000,1956年
22.36,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1957000000,1957年
20.29,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1958000000,1958年
18.71,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1959000000,1959年
17.43,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1960000000,1960年
17.4,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1961000000,1961年
15.46,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1962000000,1962年
13.76,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1963000000,1963年
13.45,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1964000000,1964年
12.38,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1965000000,1965年
12.46,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1966000000,1966年
11.81,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1967000000,1967年
11.08,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1968000000,1968年
10.37,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1969000000,1969年
9.2,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1970000000,1970年
8.14,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1971000000,1971年
7.25,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1972000000,1972年
6.67,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1973000000,1973年
5.11,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1974000000,1974年
4.77,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1975000000,1975年
4.37,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1976000000,1976年
4.32,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1977000000,1977年
3.91,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1978000000,1978年
3.65,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1979000000,1979年
3.59,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1980000000,1980年
3.23,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1981000000,1981年
2.98,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1982000000,1982年
3.03,120,度数率,100,調査産業計（総合工事を除く）,100,事業所規模100人以上,1983000000,1983年
