value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label,unit
54389675,00001,観測値,F1101,F1101_労働力人口,00000,全国,1975100000,1975年度,人
57231120,00001,観測値,F1101,F1101_労働力人口,00000,全国,1980100000,1980年度,人
60390551,00001,観測値,F1101,F1101_労働力人口,00000,全国,1985100000,1985年度,人
63595339,00001,観測値,F1101,F1101_労働力人口,00000,全国,1990100000,1990年度,人
67017987,00001,観測値,F1101,F1101_労働力人口,00000,全国,1995100000,1995年度,人
66097816,00001,観測値,F1101,F1101_労働力人口,00000,全国,2000100000,2000年度,人
65399685,00001,観測値,F1101,F1101_労働力人口,00000,全国,2005100000,2005年度,人
63699101,00001,観測値,F1101,F1101_労働力人口,00000,全国,2010100000,2010年度,人
61523327,00001,観測値,F1101,F1101_労働力人口,00000,全国,2015100000,2015年度,人
59949767,00001,観測値,F1101,F1101_労働力人口,00000,全国,2020100000,2020年度,人
2515903,00001,観測値,F1101,F1101_労働力人口,01000,北海道,1975100000,1975年度,人
2668789,00001,観測値,F1101,F1101_労働力人口,01000,北海道,1980100000,1980年度,人
2744844,00001,観測値,F1101,F1101_労働力人口,01000,北海道,1985100000,1985年度,人
2796200,00001,観測値,F1101,F1101_労働力人口,01000,北海道,1990100000,1990年度,人
2935207,00001,観測値,F1101,F1101_労働力人口,01000,北海道,1995100000,1995年度,人
2867676,00001,観測値,F1101,F1101_労働力人口,01000,北海道,2000100000,2000年度,人
2785794,00001,観測値,F1101,F1101_労働力人口,01000,北海道,2005100000,2005年度,人
2701824,00001,観測値,F1101,F1101_労働力人口,01000,北海道,2010100000,2010年度,人
2553043,00001,観測値,F1101,F1101_労働力人口,01000,北海道,2015100000,2015年度,人
2449395,00001,観測値,F1101,F1101_労働力人口,01000,北海道,2020100000,2020年度,人
708001,00001,観測値,F1101,F1101_労働力人口,02000,青森県,1975100000,1975年度,人
747049,00001,観測値,F1101,F1101_労働力人口,02000,青森県,1980100000,1980年度,人
755372,00001,観測値,F1101,F1101_労働力人口,02000,青森県,1985100000,1985年度,人
751672,00001,観測値,F1101,F1101_労働力人口,02000,青森県,1990100000,1990年度,人
775411,00001,観測値,F1101,F1101_労働力人口,02000,青森県,1995100000,1995年度,人
771302,00001,観測値,F1101,F1101_労働力人口,02000,青森県,2000100000,2000年度,人
748122,00001,観測値,F1101,F1101_労働力人口,02000,青森県,2005100000,2005年度,人
702668,00001,観測値,F1101,F1101_労働力人口,02000,青森県,2010100000,2010年度,人
661082,00001,観測値,F1101,F1101_労働力人口,02000,青森県,2015100000,2015年度,人
631696,00001,観測値,F1101,F1101_労働力人口,02000,青森県,2020100000,2020年度,人
714485,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,1975100000,1975年度,人
738930,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,1980100000,1980年度,人
753569,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,1985100000,1985年度,人
758290,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,1990100000,1990年度,人
772555,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,1995100000,1995年度,人
763523,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,2000100000,2000年度,人
734276,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,2005100000,2005年度,人
679332,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,2010100000,2010年度,人
662760,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,2015100000,2015年度,人
628881,00001,観測値,F1101,F1101_労働力人口,03000,岩手県,2020100000,2020年度,人
941104,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,1975100000,1975年度,人
1010374,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,1980100000,1980年度,人
1069988,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,1985100000,1985年度,人
1132188,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,1990100000,1990年度,人
1211112,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,1995100000,1995年度,人
1212783,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,2000100000,2000年度,人
1189491,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,2005100000,2005年度,人
1148862,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,2010100000,2010年度,人
1133081,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,2015100000,2015年度,人
1130271,00001,観測値,F1101,F1101_労働力人口,04000,宮城県,2020100000,2020年度,人
628081,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,1975100000,1975年度,人
639586,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,1980100000,1980年度,人
639718,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,1985100000,1985年度,人
631686,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,1990100000,1990年度,人
629941,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,1995100000,1995年度,人
614905,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,2000100000,2000年度,人
585921,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,2005100000,2005年度,人
540842,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,2010100000,2010年度,人
504758,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,2015100000,2015年度,人
483500,00001,観測値,F1101,F1101_労働力人口,05000,秋田県,2020100000,2020年度,人
636115,00001,観測値,F1101,F1101_労働力人口,06000,山形県,1975100000,1975年度,人
659711,00001,観測値,F1101,F1101_労働力人口,06000,山形県,1980100000,1980年度,人
666837,00001,観測値,F1101,F1101_労働力人口,06000,山形県,1985100000,1985年度,人
668519,00001,観測値,F1101,F1101_労働力人口,06000,山形県,1990100000,1990年度,人
675160,00001,観測値,F1101,F1101_労働力人口,06000,山形県,1995100000,1995年度,人
664791,00001,観測値,F1101,F1101_労働力人口,06000,山形県,2000100000,2000年度,人
643008,00001,観測値,F1101,F1101_労働力人口,06000,山形県,2005100000,2005年度,人
600768,00001,観測値,F1101,F1101_労働力人口,06000,山形県,2010100000,2010年度,人
583140,00001,観測値,F1101,F1101_労働力人口,06000,山形県,2015100000,2015年度,人
559952,00001,観測値,F1101,F1101_労働力人口,06000,山形県,2020100000,2020年度,人
1002413,00001,観測値,F1101,F1101_労働力人口,07000,福島県,1975100000,1975年度,人
1048947,00001,観測値,F1101,F1101_労働力人口,07000,福島県,1980100000,1980年度,人
1076860,00001,観測値,F1101,F1101_労働力人口,07000,福島県,1985100000,1985年度,人
1094438,00001,観測値,F1101,F1101_労働力人口,07000,福島県,1990100000,1990年度,人
1126170,00001,観測値,F1101,F1101_労働力人口,07000,福島県,1995100000,1995年度,人
1108459,00001,観測値,F1101,F1101_労働力人口,07000,福島県,2000100000,2000年度,人
1075110,00001,観測値,F1101,F1101_労働力人口,07000,福島県,2005100000,2005年度,人
1006246,00001,観測値,F1101,F1101_労働力人口,07000,福島県,2010100000,2010年度,人
964491,00001,観測値,F1101,F1101_労働力人口,07000,福島県,2015100000,2015年度,人
909490,00001,観測値,F1101,F1101_労働力人口,07000,福島県,2020100000,2020年度,人
