value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,area,area_label,time,time_label,unit
43441646,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,00000,全国,1980000000,1980年,人
33123177,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,00001,全国市部,1980000000,1980年,人
10318469,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,00002,全国郡部,1980000000,1980年,人
2071166,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,01000,北海道,1980000000,1980年,人
548155,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,02000,青森県,1980000000,1980年,人
521353,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,03000,岩手県,1980000000,1980年,人
778194,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,04000,宮城県,1980000000,1980年,人
468553,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,05000,秋田県,1980000000,1980年,人
471002,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,06000,山形県,1980000000,1980年,人
752425,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,07000,福島県,1980000000,1980年,人
950492,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,08000,茨城県,1980000000,1980年,人
663011,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,09000,栃木県,1980000000,1980年,人
682996,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,10000,群馬県,1980000000,1980年,人
1986558,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,11000,埼玉県,1980000000,1980年,人
1751784,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,12000,千葉県,1980000000,1980年,人
4614440,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,13000,東京都,1980000000,1980年,人
2656673,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,14000,神奈川県,1980000000,1980年,人
911310,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,15000,新潟県,1980000000,1980年,人
404028,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,16000,富山県,1980000000,1980年,人
406058,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,17000,石川県,1980000000,1980年,人
291462,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,18000,福井県,1980000000,1980年,人
298356,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,19000,山梨県,1980000000,1980年,人
768256,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,20000,長野県,1980000000,1980年,人
712719,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,21000,岐阜県,1980000000,1980年,人
1268609,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,22000,静岡県,1980000000,1980年,人
2312952,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,23000,愛知県,1980000000,1980年,人
619578,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,24000,三重県,1980000000,1980年,人
392938,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,25000,滋賀県,1980000000,1980年,人
942656,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,26000,京都府,1980000000,1980年,人
3135480,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,27000,大阪府,1980000000,1980年,人
1877725,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,28000,兵庫県,1980000000,1980年,人
437465,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,29000,奈良県,1980000000,1980年,人
397403,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,30000,和歌山県,1980000000,1980年,人
222887,00700,全域,000,総人口,001,男,515,総数（15歳以上）,000,総数（不詳を含む）,31000,鳥取県,1980000000,1980年,人
