value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
668675,00700,全域,000,男女総数,T01,総数,000,国籍総数,00000,全国,1980000000,1980年,人
614947,00700,全域,000,男女総数,T01,総数,000,国籍総数,00001,全国市部,1980000000,1980年,人
53728,00700,全域,000,男女総数,T01,総数,000,国籍総数,00002,全国郡部,1980000000,1980年,人
7487,00700,全域,000,男女総数,T01,総数,000,国籍総数,01000,北海道,1980000000,1980年,人
1978,00700,全域,000,男女総数,T01,総数,000,国籍総数,02000,青森県,1980000000,1980年,人
1724,00700,全域,000,男女総数,T01,総数,000,国籍総数,03000,岩手県,1980000000,1980年,人
4081,00700,全域,000,男女総数,T01,総数,000,国籍総数,04000,宮城県,1980000000,1980年,人
1165,00700,全域,000,男女総数,T01,総数,000,国籍総数,05000,秋田県,1980000000,1980年,人
920,00700,全域,000,男女総数,T01,総数,000,国籍総数,06000,山形県,1980000000,1980年,人
2598,00700,全域,000,男女総数,T01,総数,000,国籍総数,07000,福島県,1980000000,1980年,人
4625,00700,全域,000,男女総数,T01,総数,000,国籍総数,08000,茨城県,1980000000,1980年,人
2561,00700,全域,000,男女総数,T01,総数,000,国籍総数,09000,栃木県,1980000000,1980年,人
3351,00700,全域,000,男女総数,T01,総数,000,国籍総数,10000,群馬県,1980000000,1980年,人
11379,00700,全域,000,男女総数,T01,総数,000,国籍総数,11000,埼玉県,1980000000,1980年,人
11819,00700,全域,000,男女総数,T01,総数,000,国籍総数,12000,千葉県,1980000000,1980年,人
90267,00700,全域,000,男女総数,T01,総数,000,国籍総数,13000,東京都,1980000000,1980年,人
35006,00700,全域,000,男女総数,T01,総数,000,国籍総数,14000,神奈川県,1980000000,1980年,人
2905,00700,全域,000,男女総数,T01,総数,000,国籍総数,15000,新潟県,1980000000,1980年,人
1956,00700,全域,000,男女総数,T01,総数,000,国籍総数,16000,富山県,1980000000,1980年,人
3087,00700,全域,000,男女総数,T01,総数,000,国籍総数,17000,石川県,1980000000,1980年,人
4780,00700,全域,000,男女総数,T01,総数,000,国籍総数,18000,福井県,1980000000,1980年,人
1585,00700,全域,000,男女総数,T01,総数,000,国籍総数,19000,山梨県,1980000000,1980年,人
5093,00700,全域,000,男女総数,T01,総数,000,国籍総数,20000,長野県,1980000000,1980年,人
10023,00700,全域,000,男女総数,T01,総数,000,国籍総数,21000,岐阜県,1980000000,1980年,人
8104,00700,全域,000,男女総数,T01,総数,000,国籍総数,22000,静岡県,1980000000,1980年,人
51948,00700,全域,000,男女総数,T01,総数,000,国籍総数,23000,愛知県,1980000000,1980年,人
7969,00700,全域,000,男女総数,T01,総数,000,国籍総数,24000,三重県,1980000000,1980年,人
7357,00700,全域,000,男女総数,T01,総数,000,国籍総数,25000,滋賀県,1980000000,1980年,人
43960,00700,全域,000,男女総数,T01,総数,000,国籍総数,26000,京都府,1980000000,1980年,人
168443,00700,全域,000,男女総数,T01,総数,000,国籍総数,27000,大阪府,1980000000,1980年,人
74027,00700,全域,000,男女総数,T01,総数,000,国籍総数,28000,兵庫県,1980000000,1980年,人
5892,00700,全域,000,男女総数,T01,総数,000,国籍総数,29000,奈良県,1980000000,1980年,人
4608,00700,全域,000,男女総数,T01,総数,000,国籍総数,30000,和歌山県,1980000000,1980年,人
1714,00700,全域,000,男女総数,T01,総数,000,国籍総数,31000,鳥取県,1980000000,1980年,人
1584,00700,全域,000,男女総数,T01,総数,000,国籍総数,32000,島根県,1980000000,1980年,人
8054,00700,全域,000,男女総数,T01,総数,000,国籍総数,33000,岡山県,1980000000,1980年,人
15630,00700,全域,000,男女総数,T01,総数,000,国籍総数,34000,広島県,1980000000,1980年,人
13949,00700,全域,000,男女総数,T01,総数,000,国籍総数,35000,山口県,1980000000,1980年,人
545,00700,全域,000,男女総数,T01,総数,000,国籍総数,36000,徳島県,1980000000,1980年,人
1124,00700,全域,000,男女総数,T01,総数,000,国籍総数,37000,香川県,1980000000,1980年,人
2094,00700,全域,000,男女総数,T01,総数,000,国籍総数,38000,愛媛県,1980000000,1980年,人
936,00700,全域,000,男女総数,T01,総数,000,国籍総数,39000,高知県,1980000000,1980年,人
25556,00700,全域,000,男女総数,T01,総数,000,国籍総数,40000,福岡県,1980000000,1980年,人
1474,00700,全域,000,男女総数,T01,総数,000,国籍総数,41000,佐賀県,1980000000,1980年,人
3315,00700,全域,000,男女総数,T01,総数,000,国籍総数,42000,長崎県,1980000000,1980年,人
2080,00700,全域,000,男女総数,T01,総数,000,国籍総数,43000,熊本県,1980000000,1980年,人
