value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
64182000,334,就業者数,100,総数,100,総数,1995000000,1995年,人
63032000,334,就業者数,100,総数,100,総数,2000000000,2000年,人
61530202,334,就業者数,100,総数,100,総数,2005000000,2005年,人
59611311,334,就業者数,100,総数,100,総数,2010000000,2010年,人
58919036,334,就業者数,100,総数,100,総数,2015000000,2015年,人
57643225,334,就業者数,100,総数,100,総数,2020000000,2020年,人
63810382,334,就業者数,100,総数,100,総数,2015000010,2015年_不詳補完値,人
65468436,334,就業者数,100,総数,100,総数,2020000010,2020年_不詳補完値,人
38546000,334,就業者数,100,総数,110,男,1995000000,1995年,人
37272000,334,就業者数,100,総数,110,男,2000000000,2000年,人
35748155,334,就業者数,100,総数,110,男,2005000000,2005年,人
34089629,334,就業者数,100,総数,110,男,2010000000,2010年,人
33077703,334,就業者数,100,総数,110,男,2015000000,2015年,人
31501307,334,就業者数,100,総数,110,男,2020000000,2020年,人
35963316,334,就業者数,100,総数,110,男,2015000010,2015年_不詳補完値,人
36063580,334,就業者数,100,総数,110,男,2020000010,2020年_不詳補完値,人
25636000,334,就業者数,100,総数,120,女,1995000000,1995年,人
25760000,334,就業者数,100,総数,120,女,2000000000,2000年,人
25782047,334,就業者数,100,総数,120,女,2005000000,2005年,人
25521682,334,就業者数,100,総数,120,女,2010000000,2010年,人
25841333,334,就業者数,100,総数,120,女,2015000000,2015年,人
26141918,334,就業者数,100,総数,120,女,2020000000,2020年,人
27847066,334,就業者数,100,総数,120,女,2015000010,2015年_不詳補完値,人
29404856,334,就業者数,100,総数,120,女,2020000010,2020年_不詳補完値,人
3543000,334,就業者数,120,Ａ農業，林業,100,総数,1995000000,1995年,人
2955000,334,就業者数,120,Ａ農業，林業,100,総数,2000000000,2000年,人
2766689,334,就業者数,120,Ａ農業，林業,100,総数,2005000000,2005年,人
2204530,334,就業者数,120,Ａ農業，林業,100,総数,2010000000,2010年,人
2067952,334,就業者数,120,Ａ農業，林業,100,総数,2015000000,2015年,人
1830697,334,就業者数,120,Ａ農業，林業,100,総数,2020000000,2020年,人
2178125,334,就業者数,120,Ａ農業，林業,100,総数,2015000010,2015年_不詳補完値,人
1986273,334,就業者数,120,Ａ農業，林業,100,総数,2020000010,2020年_不詳補完値,人
1931000,334,就業者数,120,Ａ農業，林業,110,男,1995000000,1995年,人
1611000,334,就業者数,120,Ａ農業，林業,110,男,2000000000,2000年,人
1565787,334,就業者数,120,Ａ農業，林業,110,男,2005000000,2005年,人
1310914,334,就業者数,120,Ａ農業，林業,110,男,2010000000,2010年,人
1240348,334,就業者数,120,Ａ農業，林業,110,男,2015000000,2015年,人
1105962,334,就業者数,120,Ａ農業，林業,110,男,2020000000,2020年,人
1310835,334,就業者数,120,Ａ農業，林業,110,男,2015000010,2015年_不詳補完値,人
1205028,334,就業者数,120,Ａ農業，林業,110,男,2020000010,2020年_不詳補完値,人
1612000,334,就業者数,120,Ａ農業，林業,120,女,1995000000,1995年,人
1344000,334,就業者数,120,Ａ農業，林業,120,女,2000000000,2000年,人
1200902,334,就業者数,120,Ａ農業，林業,120,女,2005000000,2005年,人
893616,334,就業者数,120,Ａ農業，林業,120,女,2010000000,2010年,人
827604,334,就業者数,120,Ａ農業，林業,120,女,2015000000,2015年,人
724735,334,就業者数,120,Ａ農業，林業,120,女,2020000000,2020年,人
867290,334,就業者数,120,Ａ農業，林業,120,女,2015000010,2015年_不詳補完値,人
781245,334,就業者数,120,Ａ農業，林業,120,女,2020000010,2020年_不詳補完値,人
305000,334,就業者数,130,Ｂ漁業,100,総数,1995000000,1995年,人
253000,334,就業者数,130,Ｂ漁業,100,総数,2000000000,2000年,人
214142,334,就業者数,130,Ｂ漁業,100,総数,2005000000,2005年,人
176885,334,就業者数,130,Ｂ漁業,100,総数,2010000000,2010年,人
153747,334,就業者数,130,Ｂ漁業,100,総数,2015000000,2015年,人
132065,334,就業者数,130,Ｂ漁業,100,総数,2020000000,2020年,人
160259,334,就業者数,130,Ｂ漁業,100,総数,2015000010,2015年_不詳補完値,人
141248,334,就業者数,130,Ｂ漁業,100,総数,2020000010,2020年_不詳補完値,人
229000,334,就業者数,130,Ｂ漁業,110,男,1995000000,1995年,人
189000,334,就業者数,130,Ｂ漁業,110,男,2000000000,2000年,人
161634,334,就業者数,130,Ｂ漁業,110,男,2005000000,2005年,人
134061,334,就業者数,130,Ｂ漁業,110,男,2010000000,2010年,人
116284,334,就業者数,130,Ｂ漁業,110,男,2015000000,2015年,人
99587,334,就業者数,130,Ｂ漁業,110,男,2020000000,2020年,人
121615,334,就業者数,130,Ｂ漁業,110,男,2015000010,2015年_不詳補完値,人
107021,334,就業者数,130,Ｂ漁業,110,男,2020000010,2020年_不詳補完値,人
76000,334,就業者数,130,Ｂ漁業,120,女,1995000000,1995年,人
64000,334,就業者数,130,Ｂ漁業,120,女,2000000000,2000年,人
52508,334,就業者数,130,Ｂ漁業,120,女,2005000000,2005年,人
42824,334,就業者数,130,Ｂ漁業,120,女,2010000000,2010年,人
37463,334,就業者数,130,Ｂ漁業,120,女,2015000000,2015年,人
32478,334,就業者数,130,Ｂ漁業,120,女,2020000000,2020年,人
38644,334,就業者数,130,Ｂ漁業,120,女,2015000010,2015年_不詳補完値,人
34227,334,就業者数,130,Ｂ漁業,120,女,2020000010,2020年_不詳補完値,人
59000,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,100,総数,1995000000,1995年,人
46000,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,100,総数,2000000000,2000年,人
31074,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,100,総数,2005000000,2005年,人
22152,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,100,総数,2010000000,2010年,人
22281,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,100,総数,2015000000,2015年,人
18891,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,100,総数,2020000000,2020年,人
23837,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,100,総数,2015000010,2015年_不詳補完値,人
20456,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,100,総数,2020000010,2020年_不詳補完値,人
50000,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,110,男,1995000000,1995年,人
39000,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,110,男,2000000000,2000年,人
26462,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,110,男,2005000000,2005年,人
18705,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,110,男,2010000000,2010年,人
18790,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,110,男,2015000000,2015年,人
15796,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,110,男,2020000000,2020年,人
20115,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,110,男,2015000010,2015年_不詳補完値,人
17159,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,110,男,2020000010,2020年_不詳補完値,人
9000,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,120,女,1995000000,1995年,人
7000,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,120,女,2000000000,2000年,人
4612,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,120,女,2005000000,2005年,人
3447,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,120,女,2010000000,2010年,人
3491,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,120,女,2015000000,2015年,人
3095,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,120,女,2020000000,2020年,人
3722,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,120,女,2015000010,2015年_不詳補完値,人
3297,334,就業者数,150,Ｃ鉱業，採石業，砂利採取業,120,女,2020000010,2020年_不詳補完値,人
6711000,334,就業者数,160,Ｄ建設業,100,総数,1995000000,1995年,人
6346000,334,就業者数,160,Ｄ建設業,100,総数,2000000000,2000年,人
5440516,334,就業者数,160,Ｄ建設業,100,総数,2005000000,2005年,人
4474946,334,就業者数,160,Ｄ建設業,100,総数,2010000000,2010年,人
4341338,334,就業者数,160,Ｄ建設業,100,総数,2015000000,2015年,人
4184052,334,就業者数,160,Ｄ建設業,100,総数,2020000000,2020年,人
4904530,334,就業者数,160,Ｄ建設業,100,総数,2015000010,2015年_不詳補完値,人
4857375,334,就業者数,160,Ｄ建設業,100,総数,2020000010,2020年_不詳補完値,人
5661000,334,就業者数,160,Ｄ建設業,110,男,1995000000,1995年,人
5404000,334,就業者数,160,Ｄ建設業,110,男,2000000000,2000年,人
4652290,334,就業者数,160,Ｄ建設業,110,男,2005000000,2005年,人
3797892,334,就業者数,160,Ｄ建設業,110,男,2010000000,2010年,人
3649562,334,就業者数,160,Ｄ建設業,110,男,2015000000,2015年,人
3447458,334,就業者数,160,Ｄ建設業,110,男,2020000000,2020年,人
4125103,334,就業者数,160,Ｄ建設業,110,男,2015000010,2015年_不詳補完値,人
4008793,334,就業者数,160,Ｄ建設業,110,男,2020000010,2020年_不詳補完値,人
1050000,334,就業者数,160,Ｄ建設業,120,女,1995000000,1995年,人
942000,334,就業者数,160,Ｄ建設業,120,女,2000000000,2000年,人
788226,334,就業者数,160,Ｄ建設業,120,女,2005000000,2005年,人
677054,334,就業者数,160,Ｄ建設業,120,女,2010000000,2010年,人
691776,334,就業者数,160,Ｄ建設業,120,女,2015000000,2015年,人
736594,334,就業者数,160,Ｄ建設業,120,女,2020000000,2020年,人
