value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
2598312,334,就業者数,100,総数,100,総数,01000,北海道,1980000000,1980年,人
2625352,334,就業者数,100,総数,100,総数,01000,北海道,1985000000,1985年,人
2694903,334,就業者数,100,総数,100,総数,01000,北海道,1990000000,1990年,人
2806435,334,就業者数,100,総数,100,総数,01000,北海道,1995000000,1995年,人
2730723,334,就業者数,100,総数,100,総数,01000,北海道,2000000000,2000年,人
722131,334,就業者数,100,総数,100,総数,02000,青森県,1980000000,1980年,人
718014,334,就業者数,100,総数,100,総数,02000,青森県,1985000000,1985年,人
717945,334,就業者数,100,総数,100,総数,02000,青森県,1990000000,1990年,人
736263,334,就業者数,100,総数,100,総数,02000,青森県,1995000000,1995年,人
729472,334,就業者数,100,総数,100,総数,02000,青森県,2000000000,2000年,人
723158,334,就業者数,100,総数,100,総数,03000,岩手県,1980000000,1980年,人
729651,334,就業者数,100,総数,100,総数,03000,岩手県,1985000000,1985年,人
738363,334,就業者数,100,総数,100,総数,03000,岩手県,1990000000,1990年,人
747532,334,就業者数,100,総数,100,総数,03000,岩手県,1995000000,1995年,人
732788,334,就業者数,100,総数,100,総数,03000,岩手県,2000000000,2000年,人
988719,334,就業者数,100,総数,100,総数,04000,宮城県,1980000000,1980年,人
1035245,334,就業者数,100,総数,100,総数,04000,宮城県,1985000000,1985年,人
1101276,334,就業者数,100,総数,100,総数,04000,宮城県,1990000000,1990年,人
1163946,334,就業者数,100,総数,100,総数,04000,宮城県,1995000000,1995年,人
1153411,334,就業者数,100,総数,100,総数,04000,宮城県,2000000000,2000年,人
624475,334,就業者数,100,総数,100,総数,05000,秋田県,1980000000,1980年,人
619086,334,就業者数,100,総数,100,総数,05000,秋田県,1985000000,1985年,人
614522,334,就業者数,100,総数,100,総数,05000,秋田県,1990000000,1990年,人
608735,334,就業者数,100,総数,100,総数,05000,秋田県,1995000000,1995年,人
588385,334,就業者数,100,総数,100,総数,05000,秋田県,2000000000,2000年,人
648992,334,就業者数,100,総数,100,総数,06000,山形県,1980000000,1980年,人
652606,334,就業者数,100,総数,100,総数,06000,山形県,1985000000,1985年,人
656851,334,就業者数,100,総数,100,総数,06000,山形県,1990000000,1990年,人
657193,334,就業者数,100,総数,100,総数,06000,山形県,1995000000,1995年,人
642580,334,就業者数,100,総数,100,総数,06000,山形県,2000000000,2000年,人
1027123,334,就業者数,100,総数,100,総数,07000,福島県,1980000000,1980年,人
1046626,334,就業者数,100,総数,100,総数,07000,福島県,1985000000,1985年,人
1067909,334,就業者数,100,総数,100,総数,07000,福島県,1990000000,1990年,人
1087442,334,就業者数,100,総数,100,総数,07000,福島県,1995000000,1995年,人
1060924,334,就業者数,100,総数,100,総数,07000,福島県,2000000000,2000年,人
1241868,334,就業者数,100,総数,100,総数,08000,茨城県,1980000000,1980年,人
1325340,334,就業者数,100,総数,100,総数,08000,茨城県,1985000000,1985年,人
1430686,334,就業者数,100,総数,100,総数,08000,茨城県,1990000000,1990年,人
1515816,334,就業者数,100,総数,100,総数,08000,茨城県,1995000000,1995年,人
1504046,334,就業者数,100,総数,100,総数,08000,茨城県,2000000000,2000年,人
894936,334,就業者数,100,総数,100,総数,09000,栃木県,1980000000,1980年,人
938505,334,就業者数,100,総数,100,総数,09000,栃木県,1985000000,1985年,人
1002011,334,就業者数,100,総数,100,総数,09000,栃木県,1990000000,1990年,人
1040793,334,就業者数,100,総数,100,総数,09000,栃木県,1995000000,1995年,人
1038088,334,就業者数,100,総数,100,総数,09000,栃木県,2000000000,2000年,人
920872,334,就業者数,100,総数,100,総数,10000,群馬県,1980000000,1980年,人
960063,334,就業者数,100,総数,100,総数,10000,群馬県,1985000000,1985年,人
1016221,334,就業者数,100,総数,100,総数,10000,群馬県,1990000000,1990年,人
1050985,334,就業者数,100,総数,100,総数,10000,群馬県,1995000000,1995年,人
1040250,334,就業者数,100,総数,100,総数,10000,群馬県,2000000000,2000年,人
2459243,334,就業者数,100,総数,100,総数,11000,埼玉県,1980000000,1980年,人
