value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
63810382,2020_05,就業者数,0,総数,0,総数,0,総数,00000,全国,2015000000,2015年,人
2609181,2020_05,就業者数,0,総数,0,総数,0,総数,01000,北海道,2015000000,2015年,人
955128,2020_05,就業者数,0,総数,0,総数,0,総数,01100,札幌市,2015000000,2015年,人
125024,2020_05,就業者数,0,総数,0,総数,0,総数,01101,札幌市中央区,2015000000,2015年,人
136026,2020_05,就業者数,0,総数,0,総数,0,総数,01102,札幌市北区,2015000000,2015年,人
130413,2020_05,就業者数,0,総数,0,総数,0,総数,01103,札幌市東区,2015000000,2015年,人
109698,2020_05,就業者数,0,総数,0,総数,0,総数,01104,札幌市白石区,2015000000,2015年,人
112236,2020_05,就業者数,0,総数,0,総数,0,総数,01105,札幌市豊平区,2015000000,2015年,人
63825,2020_05,就業者数,0,総数,0,総数,0,総数,01106,札幌市南区,2015000000,2015年,人
103002,2020_05,就業者数,0,総数,0,総数,0,総数,01107,札幌市西区,2015000000,2015年,人
57529,2020_05,就業者数,0,総数,0,総数,0,総数,01108,札幌市厚別区,2015000000,2015年,人
63175,2020_05,就業者数,0,総数,0,総数,0,総数,01109,札幌市手稲区,2015000000,2015年,人
54200,2020_05,就業者数,0,総数,0,総数,0,総数,01110,札幌市清田区,2015000000,2015年,人
123604,2020_05,就業者数,0,総数,0,総数,0,総数,01202,函館市,2015000000,2015年,人
52815,2020_05,就業者数,0,総数,0,総数,0,総数,01203,小樽市,2015000000,2015年,人
157928,2020_05,就業者数,0,総数,0,総数,0,総数,01204,旭川市,2015000000,2015年,人
38887,2020_05,就業者数,0,総数,0,総数,0,総数,01205,室蘭市,2015000000,2015年,人
81312,2020_05,就業者数,0,総数,0,総数,0,総数,01206,釧路市,2015000000,2015年,人
87026,2020_05,就業者数,0,総数,0,総数,0,総数,01207,帯広市,2015000000,2015年,人
60758,2020_05,就業者数,0,総数,0,総数,0,総数,01208,北見市,2015000000,2015年,人
3729,2020_05,就業者数,0,総数,0,総数,0,総数,01209,夕張市,2015000000,2015年,人
39127,2020_05,就業者数,0,総数,0,総数,0,総数,01210,岩見沢市,2015000000,2015年,人
18826,2020_05,就業者数,0,総数,0,総数,0,総数,01211,網走市,2015000000,2015年,人
10867,2020_05,就業者数,0,総数,0,総数,0,総数,01212,留萌市,2015000000,2015年,人
84509,2020_05,就業者数,0,総数,0,総数,0,総数,01213,苫小牧市,2015000000,2015年,人
18676,2020_05,就業者数,0,総数,0,総数,0,総数,01214,稚内市,2015000000,2015年,人
10241,2020_05,就業者数,0,総数,0,総数,0,総数,01215,美唄市,2015000000,2015年,人
6215,2020_05,就業者数,0,総数,0,総数,0,総数,01216,芦別市,2015000000,2015年,人
55113,2020_05,就業者数,0,総数,0,総数,0,総数,01217,江別市,2015000000,2015年,人
4514,2020_05,就業者数,0,総数,0,総数,0,総数,01218,赤平市,2015000000,2015年,人
11594,2020_05,就業者数,0,総数,0,総数,0,総数,01219,紋別市,2015000000,2015年,人
9677,2020_05,就業者数,0,総数,0,総数,0,総数,01220,士別市,2015000000,2015年,人
14784,2020_05,就業者数,0,総数,0,総数,0,総数,01221,名寄市,2015000000,2015年,人
3413,2020_05,就業者数,0,総数,0,総数,0,総数,01222,三笠市,2015000000,2015年,人
14212,2020_05,就業者数,0,総数,0,総数,0,総数,01223,根室市,2015000000,2015年,人
49012,2020_05,就業者数,0,総数,0,総数,0,総数,01224,千歳市,2015000000,2015年,人
19508,2020_05,就業者数,0,総数,0,総数,0,総数,01225,滝川市,2015000000,2015年,人
7887,2020_05,就業者数,0,総数,0,総数,0,総数,01226,砂川市,2015000000,2015年,人
1306,2020_05,就業者数,0,総数,0,総数,0,総数,01227,歌志内市,2015000000,2015年,人
10145,2020_05,就業者数,0,総数,0,総数,0,総数,01228,深川市,2015000000,2015年,人
12066,2020_05,就業者数,0,総数,0,総数,0,総数,01229,富良野市,2015000000,2015年,人
21695,2020_05,就業者数,0,総数,0,総数,0,総数,01230,登別市,2015000000,2015年,人
33041,2020_05,就業者数,0,総数,0,総数,0,総数,01231,恵庭市,2015000000,2015年,人
16200,2020_05,就業者数,0,総数,0,総数,0,総数,01233,伊達市,2015000000,2015年,人
27093,2020_05,就業者数,0,総数,0,総数,0,総数,01234,北広島市,2015000000,2015年,人
27359,2020_05,就業者数,0,総数,0,総数,0,総数,01235,石狩市,2015000000,2015年,人
