value,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
996120,100,認知件数,100,刑法犯総数,2016000000,2016年,件
1098969,100,認知件数,100,刑法犯総数,2015000000,2015年,件
1212163,100,認知件数,100,刑法犯総数,2014000000,2014年,件
1314140,100,認知件数,100,刑法犯総数,2013000000,2013年,件
1403167,100,認知件数,100,刑法犯総数,2012000000,2012年,件
1502951,100,認知件数,100,刑法犯総数,2011000000,2011年,件
1604019,100,認知件数,100,刑法犯総数,2010000000,2010年,件
1713832,100,認知件数,100,刑法犯総数,2009000000,2009年,件
1826500,100,認知件数,100,刑法犯総数,2008000000,2008年,件
1908836,100,認知件数,100,刑法犯総数,2007000000,2007年,件
2050850,100,認知件数,100,刑法犯総数,2006000000,2006年,件
5130,100,認知件数,110,凶悪犯,2016000000,2016年,件
5618,100,認知件数,110,凶悪犯,2015000000,2015年,件
6453,100,認知件数,110,凶悪犯,2014000000,2014年,件
6757,100,認知件数,110,凶悪犯,2013000000,2013年,件
7070,100,認知件数,110,凶悪犯,2012000000,2012年,件
7062,100,認知件数,110,凶悪犯,2011000000,2011年,件
7624,100,認知件数,110,凶悪犯,2010000000,2010年,件
8392,100,認知件数,110,凶悪犯,2009000000,2009年,件
8630,100,認知件数,110,凶悪犯,2008000000,2008年,件
9051,100,認知件数,110,凶悪犯,2007000000,2007年,件
10124,100,認知件数,110,凶悪犯,2006000000,2006年,件
895,100,認知件数,120,凶悪犯_殺人,2016000000,2016年,件
933,100,認知件数,120,凶悪犯_殺人,2015000000,2015年,件
1054,100,認知件数,120,凶悪犯_殺人,2014000000,2014年,件
938,100,認知件数,120,凶悪犯_殺人,2013000000,2013年,件
1032,100,認知件数,120,凶悪犯_殺人,2012000000,2012年,件
1052,100,認知件数,120,凶悪犯_殺人,2011000000,2011年,件
1068,100,認知件数,120,凶悪犯_殺人,2010000000,2010年,件
1095,100,認知件数,120,凶悪犯_殺人,2009000000,2009年,件
1301,100,認知件数,120,凶悪犯_殺人,2008000000,2008年,件
1199,100,認知件数,120,凶悪犯_殺人,2007000000,2007年,件
1309,100,認知件数,120,凶悪犯_殺人,2006000000,2006年,件
2332,100,認知件数,130,凶悪犯_強盗,2016000000,2016年,件
2426,100,認知件数,130,凶悪犯_強盗,2015000000,2015年,件
3056,100,認知件数,130,凶悪犯_強盗,2014000000,2014年,件
3324,100,認知件数,130,凶悪犯_強盗,2013000000,2013年,件
3691,100,認知件数,130,凶悪犯_強盗,2012000000,2012年,件
3695,100,認知件数,130,凶悪犯_強盗,2011000000,2011年,件
4051,100,認知件数,130,凶悪犯_強盗,2010000000,2010年,件
4535,100,認知件数,130,凶悪犯_強盗,2009000000,2009年,件
4298,100,認知件数,130,凶悪犯_強盗,2008000000,2008年,件
4567,100,認知件数,130,凶悪犯_強盗,2007000000,2007年,件
5108,100,認知件数,130,凶悪犯_強盗,2006000000,2006年,件
914,100,認知件数,140,凶悪犯_放火,2016000000,2016年,件
1092,100,認知件数,140,凶悪犯_放火,2015000000,2015年,件
1093,100,認知件数,140,凶悪犯_放火,2014000000,2014年,件
1086,100,認知件数,140,凶悪犯_放火,2013000000,2013年,件
1081,100,認知件数,140,凶悪犯_放火,2012000000,2012年,件
1122,100,認知件数,140,凶悪犯_放火,2011000000,2011年,件
1212,100,認知件数,140,凶悪犯_放火,2010000000,2010年,件
1347,100,認知件数,140,凶悪犯_放火,2009000000,2009年,件
1441,100,認知件数,140,凶悪犯_放火,2008000000,2008年,件
1519,100,認知件数,140,凶悪犯_放火,2007000000,2007年,件
1759,100,認知件数,140,凶悪犯_放火,2006000000,2006年,件
989,100,認知件数,150,凶悪犯_強姦,2016000000,2016年,件
1167,100,認知件数,150,凶悪犯_強姦,2015000000,2015年,件
1250,100,認知件数,150,凶悪犯_強姦,2014000000,2014年,件
1409,100,認知件数,150,凶悪犯_強姦,2013000000,2013年,件
1266,100,認知件数,150,凶悪犯_強姦,2012000000,2012年,件
1193,100,認知件数,150,凶悪犯_強姦,2011000000,2011年,件
1293,100,認知件数,150,凶悪犯_強姦,2010000000,2010年,件
1415,100,認知件数,150,凶悪犯_強姦,2009000000,2009年,件
1590,100,認知件数,150,凶悪犯_強姦,2008000000,2008年,件
1766,100,認知件数,150,凶悪犯_強姦,2007000000,2007年,件
1948,100,認知件数,150,凶悪犯_強姦,2006000000,2006年,件
62043,100,認知件数,160,粗暴犯,2016000000,2016年,件
64049,100,認知件数,160,粗暴犯,2015000000,2015年,件
