value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
-102849,0010,増減件数,100,認知件数,100,刑法犯総数,2016000000,2016年,件
-113194,0010,増減件数,100,認知件数,100,刑法犯総数,2015000000,2015年,件
-101977,0010,増減件数,100,認知件数,100,刑法犯総数,2014000000,2014年,件
-89027,0010,増減件数,100,認知件数,100,刑法犯総数,2013000000,2013年,件
-99784,0010,増減件数,100,認知件数,100,刑法犯総数,2012000000,2012年,件
-101068,0010,増減件数,100,認知件数,100,刑法犯総数,2011000000,2011年,件
-109813,0010,増減件数,100,認知件数,100,刑法犯総数,2010000000,2010年,件
-112668,0010,増減件数,100,認知件数,100,刑法犯総数,2009000000,2009年,件
-82336,0010,増減件数,100,認知件数,100,刑法犯総数,2008000000,2008年,件
-142014,0010,増減件数,100,認知件数,100,刑法犯総数,2007000000,2007年,件
-218443,0010,増減件数,100,認知件数,100,刑法犯総数,2006000000,2006年,件
-488,0010,増減件数,100,認知件数,110,凶悪犯,2016000000,2016年,件
-835,0010,増減件数,100,認知件数,110,凶悪犯,2015000000,2015年,件
-304,0010,増減件数,100,認知件数,110,凶悪犯,2014000000,2014年,件
-313,0010,増減件数,100,認知件数,110,凶悪犯,2013000000,2013年,件
8,0010,増減件数,100,認知件数,110,凶悪犯,2012000000,2012年,件
-562,0010,増減件数,100,認知件数,110,凶悪犯,2011000000,2011年,件
-768,0010,増減件数,100,認知件数,110,凶悪犯,2010000000,2010年,件
-238,0010,増減件数,100,認知件数,110,凶悪犯,2009000000,2009年,件
-421,0010,増減件数,100,認知件数,110,凶悪犯,2008000000,2008年,件
-1073,0010,増減件数,100,認知件数,110,凶悪犯,2007000000,2007年,件
-1236,0010,増減件数,100,認知件数,110,凶悪犯,2006000000,2006年,件
-38,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2016000000,2016年,件
-121,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2015000000,2015年,件
116,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2014000000,2014年,件
-94,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2013000000,2013年,件
-20,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2012000000,2012年,件
-16,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2011000000,2011年,件
-27,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2010000000,2010年,件
-206,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2009000000,2009年,件
102,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2008000000,2008年,件
-110,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2007000000,2007年,件
-83,0010,増減件数,100,認知件数,120,凶悪犯_殺人,2006000000,2006年,件
-94,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2016000000,2016年,件
-630,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2015000000,2015年,件
-268,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2014000000,2014年,件
-367,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2013000000,2013年,件
-4,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2012000000,2012年,件
-356,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2011000000,2011年,件
-484,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2010000000,2010年,件
237,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2009000000,2009年,件
-269,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2008000000,2008年,件
-541,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2007000000,2007年,件
-880,0010,増減件数,100,認知件数,130,凶悪犯_強盗,2006000000,2006年,件
-178,0010,増減件数,100,認知件数,140,凶悪犯_放火,2016000000,2016年,件
-1,0010,増減件数,100,認知件数,140,凶悪犯_放火,2015000000,2015年,件
7,0010,増減件数,100,認知件数,140,凶悪犯_放火,2014000000,2014年,件
5,0010,増減件数,100,認知件数,140,凶悪犯_放火,2013000000,2013年,件
-41,0010,増減件数,100,認知件数,140,凶悪犯_放火,2012000000,2012年,件
-90,0010,増減件数,100,認知件数,140,凶悪犯_放火,2011000000,2011年,件
-135,0010,増減件数,100,認知件数,140,凶悪犯_放火,2010000000,2010年,件
-94,0010,増減件数,100,認知件数,140,凶悪犯_放火,2009000000,2009年,件
-78,0010,増減件数,100,認知件数,140,凶悪犯_放火,2008000000,2008年,件
-240,0010,増減件数,100,認知件数,140,凶悪犯_放火,2007000000,2007年,件
-145,0010,増減件数,100,認知件数,140,凶悪犯_放火,2006000000,2006年,件
-178,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2016000000,2016年,件
-83,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2015000000,2015年,件
-159,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2014000000,2014年,件
143,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2013000000,2013年,件
73,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2012000000,2012年,件
-100,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2011000000,2011年,件
-122,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2010000000,2010年,件
-175,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2009000000,2009年,件
-176,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2008000000,2008年,件
-182,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2007000000,2007年,件
-128,0010,増減件数,100,認知件数,150,凶悪犯_強姦,2006000000,2006年,件
-2006,0010,増減件数,100,認知件数,160,粗暴犯,2016000000,2016年,件
-1765,0010,増減件数,100,認知件数,160,粗暴犯,2015000000,2015年,件
-680,0010,増減件数,100,認知件数,160,粗暴犯,2014000000,2014年,件
-862,0010,増減件数,100,認知件数,160,粗暴犯,2013000000,2013年,件
