value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label,unit
-102849,0010,増減件数,100,認知件数,00000,全国,2016000000,2016年,件
-113194,0010,増減件数,100,認知件数,00000,全国,2015000000,2015年,件
-101977,0010,増減件数,100,認知件数,00000,全国,2014000000,2014年,件
-89027,0010,増減件数,100,認知件数,00000,全国,2013000000,2013年,件
-99784,0010,増減件数,100,認知件数,00000,全国,2012000000,2012年,件
-101068,0010,増減件数,100,認知件数,00000,全国,2011000000,2011年,件
-109813,0010,増減件数,100,認知件数,00000,全国,2010000000,2010年,件
-112668,0010,増減件数,100,認知件数,00000,全国,2009000000,2009年,件
-82336,0010,増減件数,100,認知件数,00000,全国,2008000000,2008年,件
-142014,0010,増減件数,100,認知件数,00000,全国,2007000000,2007年,件
-218443,0010,増減件数,100,認知件数,00000,全国,2006000000,2006年,件
-3444,0010,増減件数,100,認知件数,01000,北海道,2016000000,2016年,件
-4902,0010,増減件数,100,認知件数,01000,北海道,2015000000,2015年,件
-707,0010,増減件数,100,認知件数,01000,北海道,2014000000,2014年,件
-4423,0010,増減件数,100,認知件数,01000,北海道,2013000000,2013年,件
-3774,0010,増減件数,100,認知件数,01000,北海道,2012000000,2012年,件
-1963,0010,増減件数,100,認知件数,01000,北海道,2011000000,2011年,件
-913,0010,増減件数,100,認知件数,01000,北海道,2010000000,2010年,件
-7594,0010,増減件数,100,認知件数,01000,北海道,2009000000,2009年,件
-1147,0010,増減件数,100,認知件数,01000,北海道,2008000000,2008年,件
-4537,0010,増減件数,100,認知件数,01000,北海道,2007000000,2007年,件
-7654,0010,増減件数,100,認知件数,01000,北海道,2006000000,2006年,件
-1884,0010,増減件数,100,認知件数,01010,札幌方面,2016000000,2016年,件
-3422,0010,増減件数,100,認知件数,01010,札幌方面,2015000000,2015年,件
-870,0010,増減件数,100,認知件数,01010,札幌方面,2014000000,2014年,件
-2957,0010,増減件数,100,認知件数,01010,札幌方面,2013000000,2013年,件
-3587,0010,増減件数,100,認知件数,01010,札幌方面,2012000000,2012年,件
-1562,0010,増減件数,100,認知件数,01010,札幌方面,2011000000,2011年,件
-270,0010,増減件数,100,認知件数,01010,札幌方面,2010000000,2010年,件
-4661,0010,増減件数,100,認知件数,01010,札幌方面,2009000000,2009年,件
-55,0010,増減件数,100,認知件数,01010,札幌方面,2008000000,2008年,件
-2701,0010,増減件数,100,認知件数,01010,札幌方面,2007000000,2007年,件
