value,cat01,cat01_label,area,area_label,time,time_label,unit
996120,100,認知件数,00000,全国,2016000000,2016年,件
1098969,100,認知件数,00000,全国,2015000000,2015年,件
1212163,100,認知件数,00000,全国,2014000000,2014年,件
1314140,100,認知件数,00000,全国,2013000000,2013年,件
1403167,100,認知件数,00000,全国,2012000000,2012年,件
1502951,100,認知件数,00000,全国,2011000000,2011年,件
1604019,100,認知件数,00000,全国,2010000000,2010年,件
1713832,100,認知件数,00000,全国,2009000000,2009年,件
1826500,100,認知件数,00000,全国,2008000000,2008年,件
1908836,100,認知件数,00000,全国,2007000000,2007年,件
2050850,100,認知件数,00000,全国,2006000000,2006年,件
32013,100,認知件数,01000,北海道,2016000000,2016年,件
35457,100,認知件数,01000,北海道,2015000000,2015年,件
40359,100,認知件数,01000,北海道,2014000000,2014年,件
41066,100,認知件数,01000,北海道,2013000000,2013年,件
45489,100,認知件数,01000,北海道,2012000000,2012年,件
49263,100,認知件数,01000,北海道,2011000000,2011年,件
51226,100,認知件数,01000,北海道,2010000000,2010年,件
52139,100,認知件数,01000,北海道,2009000000,2009年,件
59733,100,認知件数,01000,北海道,2008000000,2008年,件
60880,100,認知件数,01000,北海道,2007000000,2007年,件
65417,100,認知件数,01000,北海道,2006000000,2006年,件
22865,100,認知件数,01010,札幌方面,2016000000,2016年,件
24749,100,認知件数,01010,札幌方面,2015000000,2015年,件
28171,100,認知件数,01010,札幌方面,2014000000,2014年,件
29041,100,認知件数,01010,札幌方面,2013000000,2013年,件
31998,100,認知件数,01010,札幌方面,2012000000,2012年,件
35585,100,認知件数,01010,札幌方面,2011000000,2011年,件
37147,100,認知件数,01010,札幌方面,2010000000,2010年,件
37417,100,認知件数,01010,札幌方面,2009000000,2009年,件
42078,100,認知件数,01010,札幌方面,2008000000,2008年,件
42133,100,認知件数,01010,札幌方面,2007000000,2007年,件
44834,100,認知件数,01010,札幌方面,2006000000,2006年,件
2244,100,認知件数,01020,函館方面,2016000000,2016年,件
2407,100,認知件数,01020,函館方面,2015000000,2015年,件
2975,100,認知件数,01020,函館方面,2014000000,2014年,件
3046,100,認知件数,01020,函館方面,2013000000,2013年,件
3389,100,認知件数,01020,函館方面,2012000000,2012年,件
3610,100,認知件数,01020,函館方面,2011000000,2011年,件
3794,100,認知件数,01020,函館方面,2010000000,2010年,件
3845,100,認知件数,01020,函館方面,2009000000,2009年,件
4864,100,認知件数,01020,函館方面,2008000000,2008年,件
5556,100,認知件数,01020,函館方面,2007000000,2007年,件
5457,100,認知件数,01020,函館方面,2006000000,2006年,件
3000,100,認知件数,01030,旭川方面,2016000000,2016年,件
3497,100,認知件数,01030,旭川方面,2015000000,2015年,件
4113,100,認知件数,01030,旭川方面,2014000000,2014年,件
4004,100,認知件数,01030,旭川方面,2013000000,2013年,件
4302,100,認知件数,01030,旭川方面,2012000000,2012年,件
4144,100,認知件数,01030,旭川方面,2011000000,2011年,件
4195,100,認知件数,01030,旭川方面,2010000000,2010年,件
4581,100,認知件数,01030,旭川方面,2009000000,2009年,件
5730,100,認知件数,01030,旭川方面,2008000000,2008年,件
5860,100,認知件数,01030,旭川方面,2007000000,2007年,件
6304,100,認知件数,01030,旭川方面,2006000000,2006年,件
2873,100,認知件数,01040,釧路方面,2016000000,2016年,件
3641,100,認知件数,01040,釧路方面,2015000000,2015年,件
3979,100,認知件数,01040,釧路方面,2014000000,2014年,件
4014,100,認知件数,01040,釧路方面,2013000000,2013年,件
4497,100,認知件数,01040,釧路方面,2012000000,2012年,件
4442,100,認知件数,01040,釧路方面,2011000000,2011年,件
4498,100,認知件数,01040,釧路方面,2010000000,2010年,件
4688,100,認知件数,01040,釧路方面,2009000000,2009年,件
5110,100,認知件数,01040,釧路方面,2008000000,2008年,件
5379,100,認知件数,01040,釧路方面,2007000000,2007年,件
6364,100,認知件数,01040,釧路方面,2006000000,2006年,件
1031,100,認知件数,01050,北見方面,2016000000,2016年,件
1163,100,認知件数,01050,北見方面,2015000000,2015年,件
1121,100,認知件数,01050,北見方面,2014000000,2014年,件
961,100,認知件数,01050,北見方面,2013000000,2013年,件
1303,100,認知件数,01050,北見方面,2012000000,2012年,件
1482,100,認知件数,01050,北見方面,2011000000,2011年,件
1592,100,認知件数,01050,北見方面,2010000000,2010年,件
1608,100,認知件数,01050,北見方面,2009000000,2009年,件
1951,100,認知件数,01050,北見方面,2008000000,2008年,件
1952,100,認知件数,01050,北見方面,2007000000,2007年,件
2458,100,認知件数,01050,北見方面,2006000000,2006年,件
45157,100,認知件数,02900,東北管区,2016000000,2016年,件
49071,100,認知件数,02900,東北管区,2015000000,2015年,件
52775,100,認知件数,02900,東北管区,2014000000,2014年,件
56385,100,認知件数,02900,東北管区,2013000000,2013年,件
58284,100,認知件数,02900,東北管区,2012000000,2012年,件
62345,100,認知件数,02900,東北管区,2011000000,2011年,件
73970,100,認知件数,02900,東北管区,2010000000,2010年,件
77356,100,認知件数,02900,東北管区,2009000000,2009年,件
82349,100,認知件数,02900,東北管区,2008000000,2008年,件
85364,100,認知件数,02900,東北管区,2007000000,2007年,件
93986,100,認知件数,02900,東北管区,2006000000,2006年,件
5050,100,認知件数,02000,青森県,2016000000,2016年,件
5486,100,認知件数,02000,青森県,2015000000,2015年,件
5753,100,認知件数,02000,青森県,2014000000,2014年,件
6515,100,認知件数,02000,青森県,2013000000,2013年,件
7424,100,認知件数,02000,青森県,2012000000,2012年,件
8343,100,認知件数,02000,青森県,2011000000,2011年,件
9943,100,認知件数,02000,青森県,2010000000,2010年,件
9987,100,認知件数,02000,青森県,2009000000,2009年,件
11015,100,認知件数,02000,青森県,2008000000,2008年,件
11784,100,認知件数,02000,青森県,2007000000,2007年,件
13018,100,認知件数,02000,青森県,2006000000,2006年,件
4223,100,認知件数,03000,岩手県,2016000000,2016年,件
4884,100,認知件数,03000,岩手県,2015000000,2015年,件
5115,100,認知件数,03000,岩手県,2014000000,2014年,件
5757,100,認知件数,03000,岩手県,2013000000,2013年,件
6480,100,認知件数,03000,岩手県,2012000000,2012年,件
6353,100,認知件数,03000,岩手県,2011000000,2011年,件
7400,100,認知件数,03000,岩手県,2010000000,2010年,件
8240,100,認知件数,03000,岩手県,2009000000,2009年,件
9111,100,認知件数,03000,岩手県,2008000000,2008年,件
9102,100,認知件数,03000,岩手県,2007000000,2007年,件
10090,100,認知件数,03000,岩手県,2006000000,2006年,件
16466,100,認知件数,04000,宮城県,2016000000,2016年,件
17742,100,認知件数,04000,宮城県,2015000000,2015年,件
18630,100,認知件数,04000,宮城県,2014000000,2014年,件
