value,tab,tab_label,cat02,cat02_label,area,area_label,time,time_label,unit
2690662,020,母集団事業所・企業等数,50000,合計,00000,全国,2013000000,2013年,事業所・企業等
2687655,020,母集団事業所・企業等数,50010,サービス産業計（※「情報通信業」を除く。）,00000,全国,2013000000,2013年,事業所・企業等
118250,020,母集団事業所・企業等数,50030,Ｈ運輸業，郵便業,00000,全国,2013000000,2013年,事業所・企業等
417,020,母集団事業所・企業等数,50060,42鉄道業,00000,全国,2013000000,2013年,事業所・企業等
28833,020,母集団事業所・企業等数,50080,43道路旅客運送業,00000,全国,2013000000,2013年,事業所・企業等
24861,020,母集団事業所・企業等数,50100,432一般乗用旅客自動車運送業,00000,全国,2013000000,2013年,事業所・企業等
3973,020,母集団事業所・企業等数,50120,43a他の道路旅客運送業,00000,全国,2013000000,2013年,事業所・企業等
61379,020,母集団事業所・企業等数,50140,44道路貨物運送業,00000,全国,2013000000,2013年,事業所・企業等
3803,020,母集団事業所・企業等数,50160,45水運業,00000,全国,2013000000,2013年,事業所・企業等
9347,020,母集団事業所・企業等数,50180,47倉庫業,00000,全国,2013000000,2013年,事業所・企業等
14338,020,母集団事業所・企業等数,50200,48運輸に附帯するサービス業,00000,全国,2013000000,2013年,事業所・企業等
133,020,母集団事業所・企業等数,50220,4*航空運輸業，郵便業（信書便事業を含む）,00000,全国,2013000000,2013年,事業所・企業等
392577,020,母集団事業所・企業等数,50230,Ｋ不動産業，物品賃貸業,00000,全国,2013000000,2013年,事業所・企業等
67630,020,母集団事業所・企業等数,50260,68不動産取引業,00000,全国,2013000000,2013年,事業所・企業等
16917,020,母集団事業所・企業等数,50290,681建物売買業，土地売買業,00000,全国,2013000000,2013年,事業所・企業等
50713,020,母集団事業所・企業等数,50310,682不動産代理業・仲介業,00000,全国,2013000000,2013年,事業所・企業等
297001,020,母集団事業所・企業等数,50330,69不動産賃貸業・管理業,00000,全国,2013000000,2013年,事業所・企業等
57550,020,母集団事業所・企業等数,50350,691不動産賃貸業（貸家業，貸間業を除く）,00000,全国,2013000000,2013年,事業所・企業等
163794,020,母集団事業所・企業等数,50370,692貸家業，貸間業,00000,全国,2013000000,2013年,事業所・企業等
36836,020,母集団事業所・企業等数,50390,693駐車場業,00000,全国,2013000000,2013年,事業所・企業等
38821,020,母集団事業所・企業等数,50410,694不動産管理業,00000,全国,2013000000,2013年,事業所・企業等
27946,020,母集団事業所・企業等数,50430,70物品賃貸業,00000,全国,2013000000,2013年,事業所・企業等
4827,020,母集団事業所・企業等数,50450,704自動車賃貸業,00000,全国,2013000000,2013年,事業所・企業等
23119,020,母集団事業所・企業等数,50470,70a他の物品賃貸業,00000,全国,2013000000,2013年,事業所・企業等
230863,020,母集団事業所・企業等数,50480,Ｌ学術研究，専門・技術サービス業(※「学術・開発研究機関」及び「純粋持株会社」を除く。),00000,全国,2013000000,2013年,事業所・企業等
117921,020,母集団事業所・企業等数,50510,72専門サービス業（他に分類されないもの）（※「純粋持株会社」を除く。）,00000,全国,2013000000,2013年,事業所・企業等
32083,020,母集団事業所・企業等数,50530,724公認会計士事務所，税理士事務所,00000,全国,2013000000,2013年,事業所・企業等
