value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
ＮＯ,010121000,010121000,110,単位2,50104,成田,50205,205_英国,2026000000,2026年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50205,205_英国,2025000000,2025年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50234,234_トルコ,2024000000,2024年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50304,304_アメリカ合衆国,2026000000,2026年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50304,304_アメリカ合衆国,2025000000,2025年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50304,304_アメリカ合衆国,2024000000,2024年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50304,304_アメリカ合衆国,2023000000,2023年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50601,601_オーストラリア,2026000000,2026年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50601,601_オーストラリア,2025000000,2025年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50601,601_オーストラリア,2024000000,2024年
ＮＯ,010121000,010121000,110,単位2,50104,成田,50601,601_オーストラリア,2023000000,2023年
ＮＯ,010121000,010121000,110,単位2,50404,関西空港,50234,234_トルコ,2023000000,2023年
ＮＯ,010121000,010121000,110,単位2,50812,千歳,50601,601_オーストラリア,2025000000,2025年
ＮＯ,010121000,010121000,110,単位2,50812,千歳,50601,601_オーストラリア,2024000000,2024年
ＮＯ,010121000,010121000,110,単位2,50812,千歳,50601,601_オーストラリア,2023000000,2023年
0,010121000,010121000,120,合計_数量1,50104,成田,50205,205_英国,2026000000,2026年
0,010121000,010121000,120,合計_数量1,50104,成田,50205,205_英国,2025000000,2025年
0,010121000,010121000,120,合計_数量1,50104,成田,50234,234_トルコ,2024000000,2024年
0,010121000,010121000,120,合計_数量1,50104,成田,50304,304_アメリカ合衆国,2026000000,2026年
0,010121000,010121000,120,合計_数量1,50104,成田,50304,304_アメリカ合衆国,2025000000,2025年
0,010121000,010121000,120,合計_数量1,50104,成田,50304,304_アメリカ合衆国,2024000000,2024年
0,010121000,010121000,120,合計_数量1,50104,成田,50304,304_アメリカ合衆国,2023000000,2023年
0,010121000,010121000,120,合計_数量1,50104,成田,50601,601_オーストラリア,2026000000,2026年
0,010121000,010121000,120,合計_数量1,50104,成田,50601,601_オーストラリア,2025000000,2025年
0,010121000,010121000,120,合計_数量1,50104,成田,50601,601_オーストラリア,2024000000,2024年
0,010121000,010121000,120,合計_数量1,50104,成田,50601,601_オーストラリア,2023000000,2023年
0,010121000,010121000,120,合計_数量1,50404,関西空港,50234,234_トルコ,2023000000,2023年
0,010121000,010121000,120,合計_数量1,50812,千歳,50601,601_オーストラリア,2025000000,2025年
0,010121000,010121000,120,合計_数量1,50812,千歳,50601,601_オーストラリア,2024000000,2024年
0,010121000,010121000,120,合計_数量1,50812,千歳,50601,601_オーストラリア,2023000000,2023年
1,010121000,010121000,130,合計_数量2,50104,成田,50205,205_英国,2026000000,2026年
1,010121000,010121000,130,合計_数量2,50104,成田,50205,205_英国,2025000000,2025年
2,010121000,010121000,130,合計_数量2,50104,成田,50234,234_トルコ,2024000000,2024年
1,010121000,010121000,130,合計_数量2,50104,成田,50304,304_アメリカ合衆国,2026000000,2026年
4,010121000,010121000,130,合計_数量2,50104,成田,50304,304_アメリカ合衆国,2025000000,2025年
3,010121000,010121000,130,合計_数量2,50104,成田,50304,304_アメリカ合衆国,2024000000,2024年
2,010121000,010121000,130,合計_数量2,50104,成田,50304,304_アメリカ合衆国,2023000000,2023年
2,010121000,010121000,130,合計_数量2,50104,成田,50601,601_オーストラリア,2026000000,2026年
1,010121000,010121000,130,合計_数量2,50104,成田,50601,601_オーストラリア,2025000000,2025年
2,010121000,010121000,130,合計_数量2,50104,成田,50601,601_オーストラリア,2024000000,2024年
1,010121000,010121000,130,合計_数量2,50104,成田,50601,601_オーストラリア,2023000000,2023年
1,010121000,010121000,130,合計_数量2,50404,関西空港,50234,234_トルコ,2023000000,2023年
3,010121000,010121000,130,合計_数量2,50812,千歳,50601,601_オーストラリア,2025000000,2025年
4,010121000,010121000,130,合計_数量2,50812,千歳,50601,601_オーストラリア,2024000000,2024年
21,010121000,010121000,130,合計_数量2,50812,千歳,50601,601_オーストラリア,2023000000,2023年
