value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label,unit
164637,100,常時従業者数,100,計,100,計,100,計,2015000000,2015年,人
159396,100,常時従業者数,100,計,100,計,100,計,2014000000,2014年,人
159385,100,常時従業者数,100,計,100,計,100,計,2013000000,2013年,人
160544,100,常時従業者数,100,計,100,計,100,計,2012000000,2012年,人
165873,100,常時従業者数,100,計,100,計,100,計,2009000000,2009年,人
167813,100,常時従業者数,100,計,100,計,100,計,2008000000,2008年,人
170319,100,常時従業者数,100,計,100,計,100,計,2007000000,2007年,人
165844,100,常時従業者数,100,計,100,計,100,計,2006000000,2006年,人
106487,100,常時従業者数,100,計,100,計,110,総合建設業,2015000000,2015年,人
101336,100,常時従業者数,100,計,100,計,110,総合建設業,2014000000,2014年,人
98495,100,常時従業者数,100,計,100,計,110,総合建設業,2013000000,2013年,人
99594,100,常時従業者数,100,計,100,計,110,総合建設業,2012000000,2012年,人
105496,100,常時従業者数,100,計,100,計,110,総合建設業,2009000000,2009年,人
107940,100,常時従業者数,100,計,100,計,110,総合建設業,2008000000,2008年,人
110914,100,常時従業者数,100,計,100,計,110,総合建設業,2007000000,2007年,人
109749,100,常時従業者数,100,計,100,計,110,総合建設業,2006000000,2006年,人
58150,100,常時従業者数,100,計,100,計,120,設備工事業,2015000000,2015年,人
58060,100,常時従業者数,100,計,100,計,120,設備工事業,2014000000,2014年,人
60890,100,常時従業者数,100,計,100,計,120,設備工事業,2013000000,2013年,人
60950,100,常時従業者数,100,計,100,計,120,設備工事業,2012000000,2012年,人
60377,100,常時従業者数,100,計,100,計,120,設備工事業,2009000000,2009年,人
59873,100,常時従業者数,100,計,100,計,120,設備工事業,2008000000,2008年,人
59405,100,常時従業者数,100,計,100,計,120,設備工事業,2007000000,2007年,人
56095,100,常時従業者数,100,計,100,計,120,設備工事業,2006000000,2006年,人
147090,100,常時従業者数,100,計,110,男,100,計,2015000000,2015年,人
142326,100,常時従業者数,100,計,110,男,100,計,2014000000,2014年,人
142416,100,常時従業者数,100,計,110,男,100,計,2013000000,2013年,人
144007,100,常時従業者数,100,計,110,男,100,計,2012000000,2012年,人
150269,100,常時従業者数,100,計,110,男,100,計,2009000000,2009年,人
151805,100,常時従業者数,100,計,110,男,100,計,2008000000,2008年,人
153828,100,常時従業者数,100,計,110,男,100,計,2007000000,2007年,人
149659,100,常時従業者数,100,計,110,男,100,計,2006000000,2006年,人
93661,100,常時従業者数,100,計,110,男,110,総合建設業,2015000000,2015年,人
88950,100,常時従業者数,100,計,110,男,110,総合建設業,2014000000,2014年,人
86351,100,常時従業者数,100,計,110,男,110,総合建設業,2013000000,2013年,人
87754,100,常時従業者数,100,計,110,男,110,総合建設業,2012000000,2012年,人
94370,100,常時従業者数,100,計,110,男,110,総合建設業,2009000000,2009年,人
96357,100,常時従業者数,100,計,110,男,110,総合建設業,2008000000,2008年,人
98784,100,常時従業者数,100,計,110,男,110,総合建設業,2007000000,2007年,人
97613,100,常時従業者数,100,計,110,男,110,総合建設業,2006000000,2006年,人
53429,100,常時従業者数,100,計,110,男,120,設備工事業,2015000000,2015年,人
53376,100,常時従業者数,100,計,110,男,120,設備工事業,2014000000,2014年,人
56065,100,常時従業者数,100,計,110,男,120,設備工事業,2013000000,2013年,人
56253,100,常時従業者数,100,計,110,男,120,設備工事業,2012000000,2012年,人
55899,100,常時従業者数,100,計,110,男,120,設備工事業,2009000000,2009年,人
55448,100,常時従業者数,100,計,110,男,120,設備工事業,2008000000,2008年,人
55044,100,常時従業者数,100,計,110,男,120,設備工事業,2007000000,2007年,人
52046,100,常時従業者数,100,計,110,男,120,設備工事業,2006000000,2006年,人
17547,100,常時従業者数,100,計,120,女,100,計,2015000000,2015年,人
17070,100,常時従業者数,100,計,120,女,100,計,2014000000,2014年,人
16969,100,常時従業者数,100,計,120,女,100,計,2013000000,2013年,人
16537,100,常時従業者数,100,計,120,女,100,計,2012000000,2012年,人
15604,100,常時従業者数,100,計,120,女,100,計,2009000000,2009年,人
16008,100,常時従業者数,100,計,120,女,100,計,2008000000,2008年,人
16491,100,常時従業者数,100,計,120,女,100,計,2007000000,2007年,人
16185,100,常時従業者数,100,計,120,女,100,計,2006000000,2006年,人
12826,100,常時従業者数,100,計,120,女,110,総合建設業,2015000000,2015年,人
12386,100,常時従業者数,100,計,120,女,110,総合建設業,2014000000,2014年,人
12144,100,常時従業者数,100,計,120,女,110,総合建設業,2013000000,2013年,人
11840,100,常時従業者数,100,計,120,女,110,総合建設業,2012000000,2012年,人
11126,100,常時従業者数,100,計,120,女,110,総合建設業,2009000000,2009年,人
11583,100,常時従業者数,100,計,120,女,110,総合建設業,2008000000,2008年,人
12130,100,常時従業者数,100,計,120,女,110,総合建設業,2007000000,2007年,人
12136,100,常時従業者数,100,計,120,女,110,総合建設業,2006000000,2006年,人
4721,100,常時従業者数,100,計,120,女,120,設備工事業,2015000000,2015年,人
4684,100,常時従業者数,100,計,120,女,120,設備工事業,2014000000,2014年,人
4825,100,常時従業者数,100,計,120,女,120,設備工事業,2013000000,2013年,人
4697,100,常時従業者数,100,計,120,女,120,設備工事業,2012000000,2012年,人
4478,100,常時従業者数,100,計,120,女,120,設備工事業,2009000000,2009年,人
4425,100,常時従業者数,100,計,120,女,120,設備工事業,2008000000,2008年,人
4361,100,常時従業者数,100,計,120,女,120,設備工事業,2007000000,2007年,人
4049,100,常時従業者数,100,計,120,女,120,設備工事業,2006000000,2006年,人
37357,100,常時従業者数,110,事務職,100,計,100,計,2015000000,2015年,人
37223,100,常時従業者数,110,事務職,100,計,100,計,2014000000,2014年,人
37853,100,常時従業者数,110,事務職,100,計,100,計,2013000000,2013年,人
37264,100,常時従業者数,110,事務職,100,計,100,計,2012000000,2012年,人
38673,100,常時従業者数,110,事務職,100,計,100,計,2009000000,2009年,人
40809,100,常時従業者数,110,事務職,100,計,100,計,2008000000,2008年,人
42337,100,常時従業者数,110,事務職,100,計,100,計,2007000000,2007年,人
40935,100,常時従業者数,110,事務職,100,計,100,計,2006000000,2006年,人
25299,100,常時従業者数,110,事務職,100,計,110,総合建設業,2015000000,2015年,人
25126,100,常時従業者数,110,事務職,100,計,110,総合建設業,2014000000,2014年,人
25062,100,常時従業者数,110,事務職,100,計,110,総合建設業,2013000000,2013年,人
25164,100,常時従業者数,110,事務職,100,計,110,総合建設業,2012000000,2012年,人
26651,100,常時従業者数,110,事務職,100,計,110,総合建設業,2009000000,2009年,人
28819,100,常時従業者数,110,事務職,100,計,110,総合建設業,2008000000,2008年,人
30489,100,常時従業者数,110,事務職,100,計,110,総合建設業,2007000000,2007年,人
30005,100,常時従業者数,110,事務職,100,計,110,総合建設業,2006000000,2006年,人
12058,100,常時従業者数,110,事務職,100,計,120,設備工事業,2015000000,2015年,人
12097,100,常時従業者数,110,事務職,100,計,120,設備工事業,2014000000,2014年,人
12791,100,常時従業者数,110,事務職,100,計,120,設備工事業,2013000000,2013年,人
12100,100,常時従業者数,110,事務職,100,計,120,設備工事業,2012000000,2012年,人
12022,100,常時従業者数,110,事務職,100,計,120,設備工事業,2009000000,2009年,人
11990,100,常時従業者数,110,事務職,100,計,120,設備工事業,2008000000,2008年,人
11848,100,常時従業者数,110,事務職,100,計,120,設備工事業,2007000000,2007年,人
10930,100,常時従業者数,110,事務職,100,計,120,設備工事業,2006000000,2006年,人
24637,100,常時従業者数,110,事務職,110,男,100,計,2015000000,2015年,人
24489,100,常時従業者数,110,事務職,110,男,100,計,2014000000,2014年,人
25177,100,常時従業者数,110,事務職,110,男,100,計,2013000000,2013年,人
24911,100,常時従業者数,110,事務職,110,男,100,計,2012000000,2012年,人
26695,100,常時従業者数,110,事務職,110,男,100,計,2009000000,2009年,人
28125,100,常時従業者数,110,事務職,110,男,100,計,2008000000,2008年,人
29175,100,常時従業者数,110,事務職,110,男,100,計,2007000000,2007年,人
28161,100,常時従業者数,110,事務職,110,男,100,計,2006000000,2006年,人
15924,100,常時従業者数,110,事務職,110,男,110,総合建設業,2015000000,2015年,人
15807,100,常時従業者数,110,事務職,110,男,110,総合建設業,2014000000,2014年,人
15873,100,常時従業者数,110,事務職,110,男,110,総合建設業,2013000000,2013年,人
16095,100,常時従業者数,110,事務職,110,男,110,総合建設業,2012000000,2012年,人
17853,100,常時従業者数,110,事務職,110,男,110,総合建設業,2009000000,2009年,人
19390,100,常時従業者数,110,事務職,110,男,110,総合建設業,2008000000,2008年,人
20552,100,常時従業者数,110,事務職,110,男,110,総合建設業,2007000000,2007年,人
19988,100,常時従業者数,110,事務職,110,男,110,総合建設業,2006000000,2006年,人
8713,100,常時従業者数,110,事務職,110,男,120,設備工事業,2015000000,2015年,人
8682,100,常時従業者数,110,事務職,110,男,120,設備工事業,2014000000,2014年,人
9304,100,常時従業者数,110,事務職,110,男,120,設備工事業,2013000000,2013年,人
8816,100,常時従業者数,110,事務職,110,男,120,設備工事業,2012000000,2012年,人
8842,100,常時従業者数,110,事務職,110,男,120,設備工事業,2009000000,2009年,人
8735,100,常時従業者数,110,事務職,110,男,120,設備工事業,2008000000,2008年,人
8623,100,常時従業者数,110,事務職,110,男,120,設備工事業,2007000000,2007年,人
8173,100,常時従業者数,110,事務職,110,男,120,設備工事業,2006000000,2006年,人
12720,100,常時従業者数,110,事務職,120,女,100,計,2015000000,2015年,人
12734,100,常時従業者数,110,事務職,120,女,100,計,2014000000,2014年,人
12676,100,常時従業者数,110,事務職,120,女,100,計,2013000000,2013年,人
12353,100,常時従業者数,110,事務職,120,女,100,計,2012000000,2012年,人
11978,100,常時従業者数,110,事務職,120,女,100,計,2009000000,2009年,人
12684,100,常時従業者数,110,事務職,120,女,100,計,2008000000,2008年,人
13162,100,常時従業者数,110,事務職,120,女,100,計,2007000000,2007年,人
12774,100,常時従業者数,110,事務職,120,女,100,計,2006000000,2006年,人
9375,100,常時従業者数,110,事務職,120,女,110,総合建設業,2015000000,2015年,人
9319,100,常時従業者数,110,事務職,120,女,110,総合建設業,2014000000,2014年,人
9189,100,常時従業者数,110,事務職,120,女,110,総合建設業,2013000000,2013年,人
9069,100,常時従業者数,110,事務職,120,女,110,総合建設業,2012000000,2012年,人
8798,100,常時従業者数,110,事務職,120,女,110,総合建設業,2009000000,2009年,人
9429,100,常時従業者数,110,事務職,120,女,110,総合建設業,2008000000,2008年,人
9937,100,常時従業者数,110,事務職,120,女,110,総合建設業,2007000000,2007年,人
10017,100,常時従業者数,110,事務職,120,女,110,総合建設業,2006000000,2006年,人
3345,100,常時従業者数,110,事務職,120,女,120,設備工事業,2015000000,2015年,人
3415,100,常時従業者数,110,事務職,120,女,120,設備工事業,2014000000,2014年,人
3487,100,常時従業者数,110,事務職,120,女,120,設備工事業,2013000000,2013年,人
3284,100,常時従業者数,110,事務職,120,女,120,設備工事業,2012000000,2012年,人
3180,100,常時従業者数,110,事務職,120,女,120,設備工事業,2009000000,2009年,人
3255,100,常時従業者数,110,事務職,120,女,120,設備工事業,2008000000,2008年,人
3225,100,常時従業者数,110,事務職,120,女,120,設備工事業,2007000000,2007年,人
2757,100,常時従業者数,110,事務職,120,女,120,設備工事業,2006000000,2006年,人
112710,100,常時従業者数,120,技術職,100,計,100,計,2015000000,2015年,人
104404,100,常時従業者数,120,技術職,100,計,100,計,2014000000,2014年,人
105351,100,常時従業者数,120,技術職,100,計,100,計,2013000000,2013年,人
106807,100,常時従業者数,120,技術職,100,計,100,計,2012000000,2012年,人
111316,100,常時従業者数,120,技術職,100,計,100,計,2009000000,2009年,人
110317,100,常時従業者数,120,技術職,100,計,100,計,2008000000,2008年,人
110516,100,常時従業者数,120,技術職,100,計,100,計,2007000000,2007年,人
109088,100,常時従業者数,120,技術職,100,計,100,計,2006000000,2006年,人
76941,100,常時従業者数,120,技術職,100,計,110,総合建設業,2015000000,2015年,人
69337,100,常時従業者数,120,技術職,100,計,110,総合建設業,2014000000,2014年,人
68968,100,常時従業者数,120,技術職,100,計,110,総合建設業,2013000000,2013年,人
70235,100,常時従業者数,120,技術職,100,計,110,総合建設業,2012000000,2012年,人
74644,100,常時従業者数,120,技術職,100,計,110,総合建設業,2009000000,2009年,人
74817,100,常時従業者数,120,技術職,100,計,110,総合建設業,2008000000,2008年,人
75911,100,常時従業者数,120,技術職,100,計,110,総合建設業,2007000000,2007年,人
75586,100,常時従業者数,120,技術職,100,計,110,総合建設業,2006000000,2006年,人
35769,100,常時従業者数,120,技術職,100,計,120,設備工事業,2015000000,2015年,人
35067,100,常時従業者数,120,技術職,100,計,120,設備工事業,2014000000,2014年,人
36383,100,常時従業者数,120,技術職,100,計,120,設備工事業,2013000000,2013年,人
36572,100,常時従業者数,120,技術職,100,計,120,設備工事業,2012000000,2012年,人
36672,100,常時従業者数,120,技術職,100,計,120,設備工事業,2009000000,2009年,人
35500,100,常時従業者数,120,技術職,100,計,120,設備工事業,2008000000,2008年,人
34605,100,常時従業者数,120,技術職,100,計,120,設備工事業,2007000000,2007年,人
33502,100,常時従業者数,120,技術職,100,計,120,設備工事業,2006000000,2006年,人
108137,100,常時従業者数,120,技術職,110,男,100,計,2015000000,2015年,人
100305,100,常時従業者数,120,技術職,110,男,100,計,2014000000,2014年,人
101507,100,常時従業者数,120,技術職,110,男,100,計,2013000000,2013年,人
102945,100,常時従業者数,120,技術職,110,男,100,計,2012000000,2012年,人
108110,100,常時従業者数,120,技術職,110,男,100,計,2009000000,2009年,人
107375,100,常時従業者数,120,技術職,110,男,100,計,2008000000,2008年,人
107671,100,常時従業者数,120,技術職,110,男,100,計,2007000000,2007年,人
106103,100,常時従業者数,120,技術職,110,男,100,計,2006000000,2006年,人
73694,100,常時従業者数,120,技術職,110,男,110,総合建設業,2015000000,2015年,人
66438,100,常時従業者数,120,技術職,110,男,110,総合建設業,2014000000,2014年,人
66210,100,常時従業者数,120,技術職,110,男,110,総合建設業,2013000000,2013年,人
67644,100,常時従業者数,120,技術職,110,男,110,総合建設業,2012000000,2012年,人
72577,100,常時従業者数,120,技術職,110,男,110,総合建設業,2009000000,2009年,人
72864,100,常時従業者数,120,技術職,110,男,110,総合建設業,2008000000,2008年,人
73980,100,常時従業者数,120,技術職,110,男,110,総合建設業,2007000000,2007年,人
73772,100,常時従業者数,120,技術職,110,男,110,総合建設業,2006000000,2006年,人
34443,100,常時従業者数,120,技術職,110,男,120,設備工事業,2015000000,2015年,人
33867,100,常時従業者数,120,技術職,110,男,120,設備工事業,2014000000,2014年,人
35297,100,常時従業者数,120,技術職,110,男,120,設備工事業,2013000000,2013年,人
35301,100,常時従業者数,120,技術職,110,男,120,設備工事業,2012000000,2012年,人
35533,100,常時従業者数,120,技術職,110,男,120,設備工事業,2009000000,2009年,人
34511,100,常時従業者数,120,技術職,110,男,120,設備工事業,2008000000,2008年,人
33691,100,常時従業者数,120,技術職,110,男,120,設備工事業,2007000000,2007年,人
32331,100,常時従業者数,120,技術職,110,男,120,設備工事業,2006000000,2006年,人
4573,100,常時従業者数,120,技術職,120,女,100,計,2015000000,2015年,人
4099,100,常時従業者数,120,技術職,120,女,100,計,2014000000,2014年,人
3844,100,常時従業者数,120,技術職,120,女,100,計,2013000000,2013年,人
3862,100,常時従業者数,120,技術職,120,女,100,計,2012000000,2012年,人
3206,100,常時従業者数,120,技術職,120,女,100,計,2009000000,2009年,人
2942,100,常時従業者数,120,技術職,120,女,100,計,2008000000,2008年,人
2845,100,常時従業者数,120,技術職,120,女,100,計,2007000000,2007年,人
2985,100,常時従業者数,120,技術職,120,女,100,計,2006000000,2006年,人
3247,100,常時従業者数,120,技術職,120,女,110,総合建設業,2015000000,2015年,人
2899,100,常時従業者数,120,技術職,120,女,110,総合建設業,2014000000,2014年,人
2758,100,常時従業者数,120,技術職,120,女,110,総合建設業,2013000000,2013年,人
2591,100,常時従業者数,120,技術職,120,女,110,総合建設業,2012000000,2012年,人
2067,100,常時従業者数,120,技術職,120,女,110,総合建設業,2009000000,2009年,人
1953,100,常時従業者数,120,技術職,120,女,110,総合建設業,2008000000,2008年,人
1931,100,常時従業者数,120,技術職,120,女,110,総合建設業,2007000000,2007年,人
1814,100,常時従業者数,120,技術職,120,女,110,総合建設業,2006000000,2006年,人
1326,100,常時従業者数,120,技術職,120,女,120,設備工事業,2015000000,2015年,人
1200,100,常時従業者数,120,技術職,120,女,120,設備工事業,2014000000,2014年,人
1086,100,常時従業者数,120,技術職,120,女,120,設備工事業,2013000000,2013年,人
1271,100,常時従業者数,120,技術職,120,女,120,設備工事業,2012000000,2012年,人
1139,100,常時従業者数,120,技術職,120,女,120,設備工事業,2009000000,2009年,人
989,100,常時従業者数,120,技術職,120,女,120,設備工事業,2008000000,2008年,人
914,100,常時従業者数,120,技術職,120,女,120,設備工事業,2007000000,2007年,人
1171,100,常時従業者数,120,技術職,120,女,120,設備工事業,2006000000,2006年,人
13391,100,常時従業者数,130,技能職,100,計,100,計,2015000000,2015年,人
16077,100,常時従業者数,130,技能職,100,計,100,計,2014000000,2014年,人
14068,100,常時従業者数,130,技能職,100,計,100,計,2013000000,2013年,人
14024,100,常時従業者数,130,技能職,100,計,100,計,2012000000,2012年,人
13955,100,常時従業者数,130,技能職,100,計,100,計,2009000000,2009年,人
14365,100,常時従業者数,130,技能職,100,計,100,計,2008000000,2008年,人
14499,100,常時従業者数,130,技能職,100,計,100,計,2007000000,2007年,人
13609,100,常時従業者数,130,技能職,100,計,100,計,2006000000,2006年,人
3656,100,常時従業者数,130,技能職,100,計,110,総合建設業,2015000000,2015年,人
6149,100,常時従業者数,130,技能職,100,計,110,総合建設業,2014000000,2014年,人
3754,100,常時従業者数,130,技能職,100,計,110,総合建設業,2013000000,2013年,人
3436,100,常時従業者数,130,技能職,100,計,110,総合建設業,2012000000,2012年,人
3245,100,常時従業者数,130,技能職,100,計,110,総合建設業,2009000000,2009年,人
3284,100,常時従業者数,130,技能職,100,計,110,総合建設業,2008000000,2008年,人
3262,100,常時従業者数,130,技能職,100,計,110,総合建設業,2007000000,2007年,人
3055,100,常時従業者数,130,技能職,100,計,110,総合建設業,2006000000,2006年,人
9735,100,常時従業者数,130,技能職,100,計,120,設備工事業,2015000000,2015年,人
9928,100,常時従業者数,130,技能職,100,計,120,設備工事業,2014000000,2014年,人
10314,100,常時従業者数,130,技能職,100,計,120,設備工事業,2013000000,2013年,人
10588,100,常時従業者数,130,技能職,100,計,120,設備工事業,2012000000,2012年,人
10710,100,常時従業者数,130,技能職,100,計,120,設備工事業,2009000000,2009年,人
11081,100,常時従業者数,130,技能職,100,計,120,設備工事業,2008000000,2008年,人
11237,100,常時従業者数,130,技能職,100,計,120,設備工事業,2007000000,2007年,人
10554,100,常時従業者数,130,技能職,100,計,120,設備工事業,2006000000,2006年,人
13363,100,常時従業者数,130,技能職,110,男,100,計,2015000000,2015年,人
16067,100,常時従業者数,130,技能職,110,男,100,計,2014000000,2014年,人
14052,100,常時従業者数,130,技能職,110,男,100,計,2013000000,2013年,人
14010,100,常時従業者数,130,技能職,110,男,100,計,2012000000,2012年,人
13948,100,常時従業者数,130,技能職,110,男,100,計,2009000000,2009年,人
14358,100,常時従業者数,130,技能職,110,男,100,計,2008000000,2008年,人
14493,100,常時従業者数,130,技能職,110,男,100,計,2007000000,2007年,人
13591,100,常時従業者数,130,技能職,110,男,100,計,2006000000,2006年,人
3632,100,常時従業者数,130,技能職,110,男,110,総合建設業,2015000000,2015年,人
6142,100,常時従業者数,130,技能職,110,男,110,総合建設業,2014000000,2014年,人
3745,100,常時従業者数,130,技能職,110,男,110,総合建設業,2013000000,2013年,人
3428,100,常時従業者数,130,技能職,110,男,110,総合建設業,2012000000,2012年,人
3239,100,常時従業者数,130,技能職,110,男,110,総合建設業,2009000000,2009年,人
3278,100,常時従業者数,130,技能職,110,男,110,総合建設業,2008000000,2008年,人
3257,100,常時従業者数,130,技能職,110,男,110,総合建設業,2007000000,2007年,人
3039,100,常時従業者数,130,技能職,110,男,110,総合建設業,2006000000,2006年,人
9731,100,常時従業者数,130,技能職,110,男,120,設備工事業,2015000000,2015年,人
9925,100,常時従業者数,130,技能職,110,男,120,設備工事業,2014000000,2014年,人
10307,100,常時従業者数,130,技能職,110,男,120,設備工事業,2013000000,2013年,人
10582,100,常時従業者数,130,技能職,110,男,120,設備工事業,2012000000,2012年,人
10709,100,常時従業者数,130,技能職,110,男,120,設備工事業,2009000000,2009年,人
11080,100,常時従業者数,130,技能職,110,男,120,設備工事業,2008000000,2008年,人
11236,100,常時従業者数,130,技能職,110,男,120,設備工事業,2007000000,2007年,人
10552,100,常時従業者数,130,技能職,110,男,120,設備工事業,2006000000,2006年,人
28,100,常時従業者数,130,技能職,120,女,100,計,2015000000,2015年,人
10,100,常時従業者数,130,技能職,120,女,100,計,2014000000,2014年,人
16,100,常時従業者数,130,技能職,120,女,100,計,2013000000,2013年,人
14,100,常時従業者数,130,技能職,120,女,100,計,2012000000,2012年,人
7,100,常時従業者数,130,技能職,120,女,100,計,2009000000,2009年,人
7,100,常時従業者数,130,技能職,120,女,100,計,2008000000,2008年,人
6,100,常時従業者数,130,技能職,120,女,100,計,2007000000,2007年,人
18,100,常時従業者数,130,技能職,120,女,100,計,2006000000,2006年,人
24,100,常時従業者数,130,技能職,120,女,110,総合建設業,2015000000,2015年,人
7,100,常時従業者数,130,技能職,120,女,110,総合建設業,2014000000,2014年,人
9,100,常時従業者数,130,技能職,120,女,110,総合建設業,2013000000,2013年,人
8,100,常時従業者数,130,技能職,120,女,110,総合建設業,2012000000,2012年,人
6,100,常時従業者数,130,技能職,120,女,110,総合建設業,2009000000,2009年,人
6,100,常時従業者数,130,技能職,120,女,110,総合建設業,2008000000,2008年,人
5,100,常時従業者数,130,技能職,120,女,110,総合建設業,2007000000,2007年,人
16,100,常時従業者数,130,技能職,120,女,110,総合建設業,2006000000,2006年,人
4,100,常時従業者数,130,技能職,120,女,120,設備工事業,2015000000,2015年,人
3,100,常時従業者数,130,技能職,120,女,120,設備工事業,2014000000,2014年,人
7,100,常時従業者数,130,技能職,120,女,120,設備工事業,2013000000,2013年,人
6,100,常時従業者数,130,技能職,120,女,120,設備工事業,2012000000,2012年,人
1,100,常時従業者数,130,技能職,120,女,120,設備工事業,2009000000,2009年,人
1,100,常時従業者数,130,技能職,120,女,120,設備工事業,2008000000,2008年,人
1,100,常時従業者数,130,技能職,120,女,120,設備工事業,2007000000,2007年,人
2,100,常時従業者数,130,技能職,120,女,120,設備工事業,2006000000,2006年,人
1179,100,常時従業者数,140,その他,100,計,100,計,2015000000,2015年,人
1692,100,常時従業者数,140,その他,100,計,100,計,2014000000,2014年,人
2113,100,常時従業者数,140,その他,100,計,100,計,2013000000,2013年,人
2449,100,常時従業者数,140,その他,100,計,100,計,2012000000,2012年,人
1929,100,常時従業者数,140,その他,100,計,100,計,2009000000,2009年,人
2322,100,常時従業者数,140,その他,100,計,100,計,2008000000,2008年,人
2967,100,常時従業者数,140,その他,100,計,100,計,2007000000,2007年,人
2212,100,常時従業者数,140,その他,100,計,100,計,2006000000,2006年,人
591,100,常時従業者数,140,その他,100,計,110,総合建設業,2015000000,2015年,人
724,100,常時従業者数,140,その他,100,計,110,総合建設業,2014000000,2014年,人
711,100,常時従業者数,140,その他,100,計,110,総合建設業,2013000000,2013年,人
759,100,常時従業者数,140,その他,100,計,110,総合建設業,2012000000,2012年,人
956,100,常時従業者数,140,その他,100,計,110,総合建設業,2009000000,2009年,人
1020,100,常時従業者数,140,その他,100,計,110,総合建設業,2008000000,2008年,人
1252,100,常時従業者数,140,その他,100,計,110,総合建設業,2007000000,2007年,人
1103,100,常時従業者数,140,その他,100,計,110,総合建設業,2006000000,2006年,人
588,100,常時従業者数,140,その他,100,計,120,設備工事業,2015000000,2015年,人
