value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label,unit
－,110,採用企業数,100,計,50000,計,2015000000,2015年,社
－,110,採用企業数,100,計,50000,計,2014000000,2014年,社
－,110,採用企業数,100,計,50000,計,2013000000,2013年,社
－,110,採用企業数,100,計,50000,計,2012000000,2012年,社
－,110,採用企業数,100,計,50000,計,2009000000,2009年,社
－,110,採用企業数,100,計,50000,計,2008000000,2008年,社
－,110,採用企業数,100,計,50000,計,2007000000,2007年,社
－,110,採用企業数,100,計,50000,計,2006000000,2006年,社
15,110,採用企業数,100,計,50100,大韓民国,2015000000,2015年,社
15,110,採用企業数,100,計,50100,大韓民国,2014000000,2014年,社
12,110,採用企業数,100,計,50100,大韓民国,2013000000,2013年,社
17,110,採用企業数,100,計,50100,大韓民国,2012000000,2012年,社
12,110,採用企業数,100,計,50100,大韓民国,2009000000,2009年,社
9,110,採用企業数,100,計,50100,大韓民国,2008000000,2008年,社
8,110,採用企業数,100,計,50100,大韓民国,2007000000,2007年,社
9,110,採用企業数,100,計,50100,大韓民国,2006000000,2006年,社
27,110,採用企業数,100,計,50110,中華人民共和国,2015000000,2015年,社
25,110,採用企業数,100,計,50110,中華人民共和国,2014000000,2014年,社
21,110,採用企業数,100,計,50110,中華人民共和国,2013000000,2013年,社
21,110,採用企業数,100,計,50110,中華人民共和国,2012000000,2012年,社
23,110,採用企業数,100,計,50110,中華人民共和国,2009000000,2009年,社
20,110,採用企業数,100,計,50110,中華人民共和国,2008000000,2008年,社
17,110,採用企業数,100,計,50110,中華人民共和国,2007000000,2007年,社
16,110,採用企業数,100,計,50110,中華人民共和国,2006000000,2006年,社
7,110,採用企業数,100,計,50140,台湾（中華民国）,2015000000,2015年,社
5,110,採用企業数,100,計,50140,台湾（中華民国）,2014000000,2014年,社
2,110,採用企業数,100,計,50140,台湾（中華民国）,2007000000,2007年,社
3,110,採用企業数,100,計,50140,台湾（中華民国）,2006000000,2006年,社
18,110,採用企業数,100,計,50150,ベトナム社会主義共和国,2015000000,2015年,社
11,110,採用企業数,100,計,50150,ベトナム社会主義共和国,2014000000,2014年,社
9,110,採用企業数,100,計,50150,ベトナム社会主義共和国,2013000000,2013年,社
10,110,採用企業数,100,計,50150,ベトナム社会主義共和国,2012000000,2012年,社
6,110,採用企業数,100,計,50150,ベトナム社会主義共和国,2009000000,2009年,社
4,110,採用企業数,100,計,50150,ベトナム社会主義共和国,2008000000,2008年,社
5,110,採用企業数,100,計,50160,タイ王国,2013000000,2013年,社
3,110,採用企業数,100,計,50160,タイ王国,2009000000,2009年,社
12,110,採用企業数,100,計,50180,マレーシア,2015000000,2015年,社
8,110,採用企業数,100,計,50180,マレーシア,2014000000,2014年,社
8,110,採用企業数,100,計,50180,マレーシア,2013000000,2013年,社
7,110,採用企業数,100,計,50180,マレーシア,2012000000,2012年,社
7,110,採用企業数,100,計,50180,マレーシア,2009000000,2009年,社
5,110,採用企業数,100,計,50180,マレーシア,2008000000,2008年,社
3,110,採用企業数,100,計,50180,マレーシア,2007000000,2007年,社
3,110,採用企業数,100,計,50180,マレーシア,2006000000,2006年,社
8,110,採用企業数,100,計,50190,フィリピン共和国,2015000000,2015年,社
6,110,採用企業数,100,計,50190,フィリピン共和国,2014000000,2014年,社
3,110,採用企業数,100,計,50190,フィリピン共和国,2013000000,2013年,社
4,110,採用企業数,100,計,50190,フィリピン共和国,2012000000,2012年,社
4,110,採用企業数,100,計,50190,フィリピン共和国,2009000000,2009年,社
2,110,採用企業数,100,計,50190,フィリピン共和国,2008000000,2008年,社
3,110,採用企業数,100,計,50190,フィリピン共和国,2007000000,2007年,社
2,110,採用企業数,100,計,50190,フィリピン共和国,2006000000,2006年,社
8,110,採用企業数,100,計,50200,インドネシア共和国,2015000000,2015年,社
