value,tab,tab_label,cat01,cat01_label,time,time_label,unit
30,180,企業数,100,情報収集・調査・コミュニケーション能力,2015000000,2015年,社
31,180,企業数,100,情報収集・調査・コミュニケーション能力,2014000000,2014年,社
32,180,企業数,100,情報収集・調査・コミュニケーション能力,2013000000,2013年,社
29,180,企業数,100,情報収集・調査・コミュニケーション能力,2012000000,2012年,社
32,180,企業数,100,情報収集・調査・コミュニケーション能力,2009000000,2009年,社
29,180,企業数,100,情報収集・調査・コミュニケーション能力,2008000000,2008年,社
30,180,企業数,100,情報収集・調査・コミュニケーション能力,2007000000,2007年,社
28,180,企業数,100,情報収集・調査・コミュニケーション能力,2006000000,2006年,社
21,180,企業数,110,企画・マネジメント能力,2015000000,2015年,社
25,180,企業数,110,企画・マネジメント能力,2014000000,2014年,社
23,180,企業数,110,企画・マネジメント能力,2013000000,2013年,社
17,180,企業数,110,企画・マネジメント能力,2012000000,2012年,社
16,180,企業数,110,企画・マネジメント能力,2009000000,2009年,社
19,180,企業数,110,企画・マネジメント能力,2008000000,2008年,社
18,180,企業数,110,企画・マネジメント能力,2007000000,2007年,社
17,180,企業数,110,企画・マネジメント能力,2006000000,2006年,社
9,180,企業数,120,進出国のニーズに合った技術,2015000000,2015年,社
9,180,企業数,120,進出国のニーズに合った技術,2014000000,2014年,社
13,180,企業数,120,進出国のニーズに合った技術,2013000000,2013年,社
9,180,企業数,120,進出国のニーズに合った技術,2012000000,2012年,社
12,180,企業数,120,進出国のニーズに合った技術,2009000000,2009年,社
14,180,企業数,120,進出国のニーズに合った技術,2008000000,2008年,社
9,180,企業数,120,進出国のニーズに合った技術,2007000000,2007年,社
11,180,企業数,120,進出国のニーズに合った技術,2006000000,2006年,社
27,180,企業数,130,紛争予防・クレーム処理,2015000000,2015年,社
27,180,企業数,130,紛争予防・クレーム処理,2014000000,2014年,社
25,180,企業数,130,紛争予防・クレーム処理,2013000000,2013年,社
21,180,企業数,130,紛争予防・クレーム処理,2012000000,2012年,社
22,180,企業数,130,紛争予防・クレーム処理,2009000000,2009年,社
21,180,企業数,130,紛争予防・クレーム処理,2008000000,2008年,社
25,180,企業数,130,紛争予防・クレーム処理,2007000000,2007年,社
23,180,企業数,130,紛争予防・クレーム処理,2006000000,2006年,社
33,180,企業数,140,現地での労務管理・教育,2015000000,2015年,社
27,180,企業数,140,現地での労務管理・教育,2014000000,2014年,社
32,180,企業数,140,現地での労務管理・教育,2013000000,2013年,社
26,180,企業数,140,現地での労務管理・教育,2012000000,2012年,社
22,180,企業数,140,現地での労務管理・教育,2009000000,2009年,社
27,180,企業数,140,現地での労務管理・教育,2008000000,2008年,社
21,180,企業数,140,現地での労務管理・教育,2007000000,2007年,社
16,180,企業数,140,現地での労務管理・教育,2006000000,2006年,社
8,180,企業数,150,資金調達（ファイナンス）,2015000000,2015年,社
10,180,企業数,150,資金調達（ファイナンス）,2014000000,2014年,社
10,180,企業数,150,資金調達（ファイナンス）,2013000000,2013年,社
9,180,企業数,150,資金調達（ファイナンス）,2012000000,2012年,社
12,180,企業数,150,資金調達（ファイナンス）,2009000000,2009年,社
10,180,企業数,150,資金調達（ファイナンス）,2008000000,2008年,社
11,180,企業数,150,資金調達（ファイナンス）,2007000000,2007年,社
8,180,企業数,150,資金調達（ファイナンス）,2006000000,2006年,社
29,180,企業数,160,為替リスク対策,2015000000,2015年,社
24,180,企業数,160,為替リスク対策,2014000000,2014年,社
25,180,企業数,160,為替リスク対策,2013000000,2013年,社
23,180,企業数,160,為替リスク対策,2012000000,2012年,社
22,180,企業数,160,為替リスク対策,2009000000,2009年,社
23,180,企業数,160,為替リスク対策,2008000000,2008年,社
18,180,企業数,160,為替リスク対策,2007000000,2007年,社
21,180,企業数,160,為替リスク対策,2006000000,2006年,社
20,180,企業数,170,カントリーリスク対策,2015000000,2015年,社
19,180,企業数,170,カントリーリスク対策,2014000000,2014年,社
23,180,企業数,170,カントリーリスク対策,2013000000,2013年,社
21,180,企業数,170,カントリーリスク対策,2012000000,2012年,社
24,180,企業数,170,カントリーリスク対策,2009000000,2009年,社
19,180,企業数,170,カントリーリスク対策,2008000000,2008年,社
25,180,企業数,170,カントリーリスク対策,2007000000,2007年,社
20,180,企業数,170,カントリーリスク対策,2006000000,2006年,社
6,180,企業数,180,政府の支援体制,2015000000,2015年,社
7,180,企業数,180,政府の支援体制,2014000000,2014年,社
9,180,企業数,180,政府の支援体制,2013000000,2013年,社
9,180,企業数,180,政府の支援体制,2012000000,2012年,社
3,180,企業数,180,政府の支援体制,2009000000,2009年,社
1,180,企業数,180,政府の支援体制,2008000000,2008年,社
3,180,企業数,180,政府の支援体制,2007000000,2007年,社
5,180,企業数,180,政府の支援体制,2006000000,2006年,社
4,180,企業数,190,その他,2015000000,2015年,社
3,180,企業数,190,その他,2014000000,2014年,社
7,180,企業数,190,その他,2013000000,2013年,社
6,180,企業数,190,その他,2012000000,2012年,社
5,180,企業数,190,その他,2009000000,2009年,社
8,180,企業数,190,その他,2008000000,2008年,社
3,180,企業数,190,その他,2007000000,2007年,社
3,180,企業数,190,その他,2006000000,2006年,社
