value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label,unit
54,190,会社数,100,子会社,100,計,2015000000,2015年,社
105,190,会社数,100,子会社,100,計,2014000000,2014年,社
52,190,会社数,100,子会社,100,計,2013000000,2013年,社
54,190,会社数,100,子会社,100,計,2012000000,2012年,社
69,190,会社数,100,子会社,100,計,2009000000,2009年,社
106,190,会社数,100,子会社,100,計,2008000000,2008年,社
62,190,会社数,100,子会社,100,計,2007000000,2007年,社
64,190,会社数,100,子会社,100,計,2006000000,2006年,社
2,190,会社数,100,子会社,110,既存部門の分社化_自社ｸﾞﾙｰﾌﾟのみによる設立,2015000000,2015年,社
25,190,会社数,100,子会社,110,既存部門の分社化_自社ｸﾞﾙｰﾌﾟのみによる設立,2014000000,2014年,社
2,190,会社数,100,子会社,110,既存部門の分社化_自社ｸﾞﾙｰﾌﾟのみによる設立,2013000000,2013年,社
1,190,会社数,100,子会社,110,既存部門の分社化_自社ｸﾞﾙｰﾌﾟのみによる設立,2012000000,2012年,社
1,190,会社数,100,子会社,110,既存部門の分社化_自社ｸﾞﾙｰﾌﾟのみによる設立,2009000000,2009年,社
1,190,会社数,100,子会社,110,既存部門の分社化_自社ｸﾞﾙｰﾌﾟのみによる設立,2008000000,2008年,社
14,190,会社数,100,子会社,110,既存部門の分社化_自社ｸﾞﾙｰﾌﾟのみによる設立,2007000000,2007年,社
5,190,会社数,100,子会社,110,既存部門の分社化_自社ｸﾞﾙｰﾌﾟのみによる設立,2006000000,2006年,社
0,190,会社数,100,子会社,120,既存部門の分社化_他社との合弁,2015000000,2015年,社
1,190,会社数,100,子会社,120,既存部門の分社化_他社との合弁,2014000000,2014年,社
0,190,会社数,100,子会社,120,既存部門の分社化_他社との合弁,2013000000,2013年,社
0,190,会社数,100,子会社,120,既存部門の分社化_他社との合弁,2012000000,2012年,社
0,190,会社数,100,子会社,120,既存部門の分社化_他社との合弁,2009000000,2009年,社
0,190,会社数,100,子会社,120,既存部門の分社化_他社との合弁,2008000000,2008年,社
6,190,会社数,100,子会社,120,既存部門の分社化_他社との合弁,2007000000,2007年,社
0,190,会社数,100,子会社,120,既存部門の分社化_他社との合弁,2006000000,2006年,社
29,190,会社数,100,子会社,130,新規設立_自社ｸﾞﾙｰﾌﾟのみによる設立,2015000000,2015年,社
45,190,会社数,100,子会社,130,新規設立_自社ｸﾞﾙｰﾌﾟのみによる設立,2014000000,2014年,社
21,190,会社数,100,子会社,130,新規設立_自社ｸﾞﾙｰﾌﾟのみによる設立,2013000000,2013年,社
22,190,会社数,100,子会社,130,新規設立_自社ｸﾞﾙｰﾌﾟのみによる設立,2012000000,2012年,社
16,190,会社数,100,子会社,130,新規設立_自社ｸﾞﾙｰﾌﾟのみによる設立,2009000000,2009年,社
22,190,会社数,100,子会社,130,新規設立_自社ｸﾞﾙｰﾌﾟのみによる設立,2008000000,2008年,社
8,190,会社数,100,子会社,130,新規設立_自社ｸﾞﾙｰﾌﾟのみによる設立,2007000000,2007年,社
13,190,会社数,100,子会社,130,新規設立_自社ｸﾞﾙｰﾌﾟのみによる設立,2006000000,2006年,社
7,190,会社数,100,子会社,140,新規設立_他社との合弁,2015000000,2015年,社
6,190,会社数,100,子会社,140,新規設立_他社との合弁,2014000000,2014年,社
13,190,会社数,100,子会社,140,新規設立_他社との合弁,2013000000,2013年,社
