value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,time,time_label,unit
47.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210020,Ｃ 鉱業，採石業，砂利採取業(平成21年以降),2015000000,2015年,歳
47.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210020,Ｃ 鉱業，採石業，砂利採取業(平成21年以降),2014000000,2014年,歳
47.7,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210020,Ｃ 鉱業，採石業，砂利採取業(平成21年以降),2013000000,2013年,歳
47.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210020,Ｃ 鉱業，採石業，砂利採取業(平成21年以降),2012000000,2012年,歳
47.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210020,Ｃ 鉱業，採石業，砂利採取業(平成21年以降),2011000000,2011年,歳
47.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210020,Ｃ 鉱業，採石業，砂利採取業(平成21年以降),2010000000,2010年,歳
46.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210020,Ｃ 鉱業，採石業，砂利採取業(平成21年以降),2009000000,2009年,歳
43.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210030,Ｄ 建設業(平成21年以降),2015000000,2015年,歳
44.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210030,Ｄ 建設業(平成21年以降),2014000000,2014年,歳
43.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210030,Ｄ 建設業(平成21年以降),2013000000,2013年,歳
