value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label,unit
50.7,01,年齢,01,企業規模計（10人以上）,01,男女計,1031,管理的職業従事者,2021000000,2021年,歳
50.6,01,年齢,01,企業規模計（10人以上）,01,男女計,1031,管理的職業従事者,2020000000,2020年,歳
41.3,01,年齢,01,企業規模計（10人以上）,01,男女計,1051,研究者,2021000000,2021年,歳
39.0,01,年齢,01,企業規模計（10人以上）,01,男女計,1051,研究者,2020000000,2020年,歳
42.0,01,年齢,01,企業規模計（10人以上）,01,男女計,1072,電気・電子・電気通信技術者（通信ネットワーク技術者を除く）,2021000000,2021年,歳
42.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1072,電気・電子・電気通信技術者（通信ネットワーク技術者を除く）,2020000000,2020年,歳
41.5,01,年齢,01,企業規模計（10人以上）,01,男女計,1073,機械技術者,2021000000,2021年,歳
41.2,01,年齢,01,企業規模計（10人以上）,01,男女計,1073,機械技術者,2020000000,2020年,歳
40.4,01,年齢,01,企業規模計（10人以上）,01,男女計,1074,輸送用機器技術者,2021000000,2021年,歳
40.8,01,年齢,01,企業規模計（10人以上）,01,男女計,1074,輸送用機器技術者,2020000000,2020年,歳
40.7,01,年齢,01,企業規模計（10人以上）,01,男女計,1076,金属技術者,2021000000,2021年,歳
41.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1076,金属技術者,2020000000,2020年,歳
40.2,01,年齢,01,企業規模計（10人以上）,01,男女計,1077,化学技術者,2021000000,2021年,歳
38.6,01,年齢,01,企業規模計（10人以上）,01,男女計,1077,化学技術者,2020000000,2020年,歳
42.6,01,年齢,01,企業規模計（10人以上）,01,男女計,1091,建築技術者,2021000000,2021年,歳
42.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1091,建築技術者,2020000000,2020年,歳
45.4,01,年齢,01,企業規模計（10人以上）,01,男女計,1092,土木技術者,2021000000,2021年,歳
46.7,01,年齢,01,企業規模計（10人以上）,01,男女計,1092,土木技術者,2020000000,2020年,歳
43.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1093,測量技術者,2021000000,2021年,歳
44.2,01,年齢,01,企業規模計（10人以上）,01,男女計,1093,測量技術者,2020000000,2020年,歳
40.3,01,年齢,01,企業規模計（10人以上）,01,男女計,1101,システムコンサルタント・設計者,2021000000,2021年,歳
39.4,01,年齢,01,企業規模計（10人以上）,01,男女計,1101,システムコンサルタント・設計者,2020000000,2020年,歳
37.3,01,年齢,01,企業規模計（10人以上）,01,男女計,1104,ソフトウェア作成者,2021000000,2021年,歳
37.4,01,年齢,01,企業規模計（10人以上）,01,男女計,1104,ソフトウェア作成者,2020000000,2020年,歳
41.0,01,年齢,01,企業規模計（10人以上）,01,男女計,1109,その他の情報処理・通信技術者,2021000000,2021年,歳
40.2,01,年齢,01,企業規模計（10人以上）,01,男女計,1109,その他の情報処理・通信技術者,2020000000,2020年,歳
42.6,01,年齢,01,企業規模計（10人以上）,01,男女計,1119,他に分類されない技術者,2021000000,2021年,歳
42.9,01,年齢,01,企業規模計（10人以上）,01,男女計,1119,他に分類されない技術者,2020000000,2020年,歳
45.3,01,年齢,01,企業規模計（10人以上）,01,男女計,1121,医師,2021000000,2021年,歳
45.5,01,年齢,01,企業規模計（10人以上）,01,男女計,1121,医師,2020000000,2020年,歳
38.7,01,年齢,01,企業規模計（10人以上）,01,男女計,1122,歯科医師,2021000000,2021年,歳
39.6,01,年齢,01,企業規模計（10人以上）,01,男女計,1122,歯科医師,2020000000,2020年,歳
36.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1123,獣医師,2021000000,2021年,歳
37.7,01,年齢,01,企業規模計（10人以上）,01,男女計,1123,獣医師,2020000000,2020年,歳
41.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1124,薬剤師,2021000000,2021年,歳
41.2,01,年齢,01,企業規模計（10人以上）,01,男女計,1124,薬剤師,2020000000,2020年,歳
41.8,01,年齢,01,企業規模計（10人以上）,01,男女計,1131,保健師,2021000000,2021年,歳
38.4,01,年齢,01,企業規模計（10人以上）,01,男女計,1131,保健師,2020000000,2020年,歳
37.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1132,助産師,2021000000,2021年,歳
40.0,01,年齢,01,企業規模計（10人以上）,01,男女計,1132,助産師,2020000000,2020年,歳
41.2,01,年齢,01,企業規模計（10人以上）,01,男女計,1133,看護師,2021000000,2021年,歳
41.2,01,年齢,01,企業規模計（10人以上）,01,男女計,1133,看護師,2020000000,2020年,歳
50.4,01,年齢,01,企業規模計（10人以上）,01,男女計,1134,准看護師,2021000000,2021年,歳
50.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1134,准看護師,2020000000,2020年,歳
41.9,01,年齢,01,企業規模計（10人以上）,01,男女計,1141,診療放射線技師,2021000000,2021年,歳
41.4,01,年齢,01,企業規模計（10人以上）,01,男女計,1141,診療放射線技師,2020000000,2020年,歳
41.6,01,年齢,01,企業規模計（10人以上）,01,男女計,1143,臨床検査技師,2021000000,2021年,歳
41.2,01,年齢,01,企業規模計（10人以上）,01,男女計,1143,臨床検査技師,2020000000,2020年,歳
35.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1144,理学療法士，作業療法士，言語聴覚士，視能訓練士,2021000000,2021年,歳
33.9,01,年齢,01,企業規模計（10人以上）,01,男女計,1144,理学療法士，作業療法士，言語聴覚士，視能訓練士,2020000000,2020年,歳
34.9,01,年齢,01,企業規模計（10人以上）,01,男女計,1146,歯科衛生士,2021000000,2021年,歳
35.5,01,年齢,01,企業規模計（10人以上）,01,男女計,1146,歯科衛生士,2020000000,2020年,歳
39.4,01,年齢,01,企業規模計（10人以上）,01,男女計,1147,歯科技工士,2021000000,2021年,歳
41.1,01,年齢,01,企業規模計（10人以上）,01,男女計,1147,歯科技工士,2020000000,2020年,歳
