value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
548.9,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,01,経験年数計,2023000000,2023年,千円
539.1,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,01,経験年数計,2022000000,2022年,千円
528.9,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,01,経験年数計,2021000000,2021年,千円
535.6,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,01,経験年数計,2020000000,2020年,千円
556.9,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,02,0年,2023000000,2023年,千円
552.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,02,0年,2022000000,2022年,千円
526.9,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,02,0年,2021000000,2021年,千円
541.4,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,02,0年,2020000000,2020年,千円
551.6,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,03,1～4年,2023000000,2023年,千円
536.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,03,1～4年,2022000000,2022年,千円
522.3,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,03,1～4年,2021000000,2021年,千円
526.4,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,03,1～4年,2020000000,2020年,千円
535.8,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,04,5～9年,2023000000,2023年,千円
516.0,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,04,5～9年,2022000000,2022年,千円
517.5,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,04,5～9年,2021000000,2021年,千円
521.9,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,04,5～9年,2020000000,2020年,千円
521.6,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,05,10～14年,2023000000,2023年,千円
542.8,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,05,10～14年,2022000000,2022年,千円
515.4,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,05,10～14年,2021000000,2021年,千円
531.3,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,05,10～14年,2020000000,2020年,千円
557.0,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,06,15年以上,2023000000,2023年,千円
544.8,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,06,15年以上,2022000000,2022年,千円
539.0,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,06,15年以上,2021000000,2021年,千円
544.5,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,01,年齢計,06,15年以上,2020000000,2020年,千円
243.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,01,経験年数計,2023000000,2023年,千円
216.6,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,01,経験年数計,2022000000,2022年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,01,経験年数計,2021000000,2021年,千円
181.9,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,01,経験年数計,2020000000,2020年,千円
250.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,02,0年,2023000000,2023年,千円
213.2,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,02,0年,2022000000,2022年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,02,0年,2021000000,2021年,千円
173.0,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,02,0年,2020000000,2020年,千円
212.5,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,03,1～4年,2023000000,2023年,千円
228.4,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,03,1～4年,2022000000,2022年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,03,1～4年,2021000000,2021年,千円
185.0,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,03,1～4年,2020000000,2020年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,04,5～9年,2023000000,2023年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,04,5～9年,2022000000,2022年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,04,5～9年,2021000000,2021年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,04,5～9年,2020000000,2020年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,05,10～14年,2023000000,2023年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,05,10～14年,2022000000,2022年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,05,10～14年,2021000000,2021年,千円
